LA,ESTAB,URN,PERCTOT,PPERSABS10
394,4005,147532,9.9,29.4
394,4037,139852,11.5,36.2
394,4055,138103,10.6,34.7
394,4059,108862,11.5,35.8
394,4063,138923,11.1,35.6
394,4065,144937,10.9,30.4
394,4067,139839,10.7,32.4
394,4072,137262,9.7,29.1
394,4073,139184,12.7,36.8
394,4607,139538,7.8,27.1
394,4609,147142,7,18.3
394,4610,138054,8,25.7
394,6010,138567,10.4,37.7
394,6906,135818,10.6,32.3
394,6907,135878,11.2,37.6
394,7001,134184,6.9,20
394,7002,146640,35.6,74.3
394,7003,147841,10.1,39.4
394,7004,138530,10.8,35.2
394,7014,141153,10.7,35.4
394,7016,108882,10.1,30.9
394,7018,138526,12.4,43
420,4002,144638,6.4,12.2
702,2001,132412,5.7,12.5
702,2047,132391,6.1,16.7
702,2051,132374,5.4,8.9
702,2060,143027,5,6.1
702,2071,132415,7.4,23.2
702,2072,132414,6.4,12.7
702,2074,132417,5.9,15.8
702,2075,132419,7.4,21.8
702,2083,132684,6.4,19.4
702,2089,132370,8.1,23.6
702,2091,132691,5.1,12.5
702,4004,132416,9.8,36.4
702,4007,132420,5.7,15.8
800,2001,143108,10.4,32.2
800,2002,143915,3.6,SUPP
800,2003,144737,7.3,23.3
800,2004,144762,6.2,14.7
800,2005,145716,8.7,29.7
800,2006,145899,6.2,15.8
800,2007,146263,7.3,26.5
800,2008,147173,6.7,18.6
800,2009,146952,5.1,11.1
800,2010,147861,5.9,SUPP
800,2011,147890,5.7,12.2
800,2150,143557,7.3,18.8
800,2153,142716,7.7,19
800,2154,142715,8,24.3
800,2159,143558,7.1,20.9
800,2160,109007,11.4,47.3
800,2162,143010,3.3,4.1
800,2236,145511,5.7,11.8
800,2237,146788,5.6,12.7
800,2238,146979,5.4,10
800,2239,141767,4.9,6.9
800,2242,144038,5.4,10
800,2243,147992,6.4,14.8
800,2246,146978,4.9,9.4
800,2248,146707,5.3,9.3
800,2249,142941,6.5,22.5
800,2250,146409,6,15.2
800,2251,147800,6.6,16.7
800,2258,144283,5.3,14
800,2259,144830,5.8,12.8
800,2270,109089,5.8,14.2
800,2293,142942,6.1,13.4
800,3032,143560,6.6,18.1
800,3033,145513,7.3,21
800,3034,145514,6.7,19.7
800,3076,145512,7.3,24
800,3077,145582,6.5,14.6
800,3078,146976,8,26.1
