2021 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
,,,,,,,,,
    TOTAL FEMALE,5,3,5,7,5,2,1,0,28
,,,,,,,,,
    % FEMALE ,17.9,10.7,17.9,25,17.9,7.1,3.6,0,
,,,,,,,,,
    TOTAL MALE,0,2,1,2,4,1,2,0,12
,,,,,,,,,
    % MALE ,0,16.7,8.3,16.7,33.3,8.3,16.7,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    LIOTUÁINIS,38,21,44,21,11,3,4,2,144
,,,,,,,,,
    LITHUANIAN,26.4,14.6,30.6,14.6,7.6,2.1,2.8,1.4,
,,,,,,,,,
    TOTAL FEMALE,30,16,25,11,3,1,3,0,89
,,,,,,,,,
    % FEMALE ,33.7,18,28.1,12.4,3.4,1.1,3.4,0,
,,,,,,,,,
    TOTAL MALE,8,5,19,10,8,2,1,2,55
,,,,,,,,,
    % MALE ,14.5,9.1,34.5,18.2,14.5,3.6,1.8,3.6,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    UNGÁIRIS,16,7,9,7,3,2,1,2,47
,,,,,,,,,
    HUNGARIAN,34,14.9,19.1,14.9,6.4,4.3,2.1,4.3,
,,,,,,,,,
    TOTAL FEMALE,7,4,6,3,1,2,0,0,23
,,,,,,,,,
    % FEMALE ,30.4,17.4,26.1,13,4.3,8.7,0,0,
,,,,,,,,,
    TOTAL MALE,9,3,3,4,2,0,1,2,24
,,,,,,,,,
    % MALE ,37.5,12.5,12.5,16.7,8.3,0,4.2,8.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    RÓMÁINIS,100,59,70,53,29,11,3,0,325
,,,,,,,,,
    ROMANIAN,30.8,18.2,21.5,16.3,8.9,3.4,0.9,0,
,,,,,,,,,
    TOTAL FEMALE,56,37,40,15,11,2,0,0,161
,,,,,,,,,
    % FEMALE ,34.8,23,24.8,9.3,6.8,1.2,0,0,
,,,,,,,,,
    TOTAL MALE,44,22,30,38,18,9,3,0,164
,,,,,,,,,
    % MALE ,26.8,13.4,18.3,23.2,11,5.5,1.8,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GRAFAIC DHEARAIDH ,1058,1381,1199,761,361,163,44,43,5010
,,,,,,,,,
    DESIGN & COMMUNICA,21.1,27.6,23.9,15.2,7.2,3.3,0.9,0.9,
,,,,,,,,,
    TOTAL FEMALE,249,243,169,99,23,6,4,11,804
,,,,,,,,,
    % FEMALE ,31,30.2,21,12.3,2.9,0.7,0.5,1.4,
,,,,,,,,,
    TOTAL MALE,809,1138,1030,662,338,157,40,32,4206
,,,,,,,,,
    % MALE ,19.2,27.1,24.5,15.7,8,3.7,1,0.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CRÓITIS,20,25,8,12,5,2,0,0,72
,,,,,,,,,
    CROATIAN,27.8,34.7,11.1,16.7,6.9,2.8,0,0,
,,,,,,,,,
    TOTAL FEMALE,13,19,1,3,1,1,0,0,38
,,,,,,,,,
    % FEMALE ,34.2,50,2.6,7.9,2.6,2.6,0,0,
,,,,,,,,,
    TOTAL MALE,7,6,7,9,4,1,0,0,34
,,,,,,,,,
    % MALE ,20.6,17.6,20.6,26.5,11.8,2.9,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    AN PHOLAITÍOCHT AG,265,363,462,393,284,158,46,21,1992
,,,,,,,,,
    POLITICS AND SOCIE,13.3,18.2,23.2,19.7,14.3,7.9,2.3,1.1,
,,,,,,,,,
    TOTAL FEMALE,164,222,250,195,112,61,20,1,1025
,,,,,,,,,
    % FEMALE ,16,21.7,24.4,19,10.9,6,2,0.1,
,,,,,,,,,
    TOTAL MALE,101,141,212,198,172,97,26,20,967
,,,,,,,,,
    % MALE ,10.4,14.6,21.9,20.5,17.8,10,2.7,2.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
