2021 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
ORDINARY LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
    CEOL,29,98,97,77,38,48,13,25,425
,,,,,,,,,
    MUSIC,6.8,23.1,22.8,18.1,8.9,11.3,3.1,5.9,
,,,,,,,,,
    TOTAL FEMALE,21,53,58,39,19,28,4,13,235
,,,,,,,,,
    % FEMALE ,8.9,22.6,24.7,16.6,8.1,11.9,1.7,5.5,
,,,,,,,,,
    TOTAL MALE,8,45,39,38,19,20,9,12,190
,,,,,,,,,
    % MALE ,4.2,23.7,20.5,20,10,10.5,4.7,6.3,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    EACNAMAÍOCHT BHAIL,47,149,325,380,344,269,75,90,1679
,,,,,,,,,
    HOME ECONOMICS S &,2.8,8.9,19.3,22.6,20.5,16,4.5,5.4,
,,,,,,,,,
    TOTAL FEMALE,37,125,242,293,238,165,45,56,1201
,,,,,,,,,
    % FEMALE ,3.1,10.4,20.1,24.4,19.8,13.7,3.7,4.7,
,,,,,,,,,
    TOTAL MALE,10,24,83,87,106,104,30,34,478
,,,,,,,,,
    % MALE ,2.1,5,17.2,18.2,22.2,21.8,6.3,7.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    OIDEACHAS REILIGIÚ,0,5,8,16,19,24,4,7,83
,,,,,,,,,
    RELIGIOUS EDUCATIO,0,6,9.6,19.3,22.9,28.9,4.8,8.4,
,,,,,,,,,
    TOTAL FEMALE,0,3,2,12,16,13,2,5,53
,,,,,,,,,
    % FEMALE ,0,5.7,3.8,22.6,30.2,24.5,3.8,9.4,
,,,,,,,,,
    TOTAL MALE,0,2,6,4,3,11,2,2,30
,,,,,,,,,
    % MALE ,0,6.7,20,13.3,10,36.7,6.7,6.7,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CORPOIDEACHAS,0,9,13,17,15,25,6,14,99
,,,,,,,,,
    PHYSICAL EDUCATION,0,9.1,13.1,17.2,15.2,25.3,6.1,14.1,
,,,,,,,,,
    TOTAL FEMALE,0,3,1,5,2,4,1,3,19
,,,,,,,,,
    % FEMALE ,0,15.8,5.3,26.3,10.5,21.1,5.3,15.8,
,,,,,,,,,
    TOTAL MALE,0,6,12,12,13,21,5,11,80
,,,,,,,,,
    % MALE ,0,7.5,15,15,16.3,26.3,6.3,13.8,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    GRAFAIC DHEARAIDH ,104,168,188,148,100,78,32,38,856
,,,,,,,,,
    DESIGN & COMMUNICA,12.1,19.6,22,17.3,11.7,9.1,3.7,4.4,
,,,,,,,,,
    TOTAL FEMALE,13,21,12,15,8,14,3,6,92
,,,,,,,,,
    % FEMALE ,14.1,22.8,13,16.3,8.7,15.2,3.3,6.5,
,,,,,,,,,
    TOTAL MALE,91,147,176,133,92,64,29,32,764
,,,,,,,,,
    % MALE ,11.9,19.2,23,17.4,12,8.4,3.8,4.2,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    AN PHOLAITÍOCHT AG,3,12,44,42,42,45,20,22,230
,,,,,,,,,
    POLITICS AND SOCIE,1.3,5.2,19.1,18.3,18.3,19.6,8.7,9.6,
,,,,,,,,,
    TOTAL FEMALE,0,6,15,18,20,17,4,8,88
,,,,,,,,,
    % FEMALE ,0,6.8,17,20.5,22.7,19.3,4.5,9.1,
,,,,,,,,,
    TOTAL MALE,3,6,29,24,22,28,16,14,142
,,,,,,,,,
    % MALE ,2.1,4.2,20.4,16.9,15.5,19.7,11.3,9.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
