RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,ALL_SCORE,ALL_UPPER,ALL_LOWER,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_UPPER,ACADAGEN_LOWER,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_UPPER,TLEV_LOWER,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_UPPER,OTHER_LOWER,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,341,4427,104698,Calderstones School,CY,0,0,-1,8,-10,86,74%,0%,73%,21%,21%,0%,1%,86,74%,-1,7,-9,0,0%,NA,NA,NA,0,0%,NA,NA,NA,81%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,341,4429,104700,Gateacre School,CY,0,0,14,28,0,35,74%,0%,74%,9%,9%,0%,0%,31,71%,8,22,-6,4,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,82%,0%,82%,SUPP,SUPP,0%,0%
1,341,4690,104703,King David High School,VA,0,0,6,16,-4,70,86%,0%,86%,39%,30%,1%,0%,70,86%,6,15,-3,0,0%,NA,NA,NA,0,0%,NA,NA,NA,86%,0%,86%,43%,29%,SUPP,0%
1,341,4781,104705,Archbishop Blanch School,VA,0,0,5,15,-5,64,80%,0%,80%,25%,20%,2%,0%,64,80%,5,15,-5,0,0%,NA,NA,NA,0,0%,NA,NA,NA,78%,0%,78%,11%,11%,SUPP,0%
1,341,4782,104706,Notre Dame Catholic College,VA,0,0,6,19,-7,38,71%,0%,71%,8%,8%,0%,0%,36,75%,10,23,-3,2,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,72%,0%,72%,0%,0%,0%,0%
1,341,4787,138183,Bellerive FCJ Catholic College,ACC,0,0,7,16,-2,73,79%,3%,77%,14%,12%,1%,0%,73,79%,7,16,-2,0,0%,NA,NA,NA,0,0%,NA,NA,NA,68%,0%,68%,6%,6%,SUPP,0%
1,341,4790,104712,St Julie's Catholic High School,VA,0,0,1,12,-10,59,68%,2%,64%,14%,10%,0%,2%,58,69%,1,11,-9,0,0%,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,59%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,341,4792,104713,Broughton Hall Catholic High School,VA,0,0,4,14,-6,72,76%,1%,75%,24%,24%,1%,0%,68,78%,4,13,-5,4,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,93%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,341,4793,104714,Cardinal Heenan Catholic High School,VA,0,0,-15,-4,-25,66,58%,3%,55%,26%,24%,0%,0%,63,59%,-15,-4,-25,3,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,64%,0%,64%,29%,21%,0%,0%
1,341,4794,104715,St John Bosco Arts College,VA,0,0,15,31,-1,28,86%,0%,86%,11%,7%,0%,0%,28,86%,15,30,0,0,0%,NA,NA,NA,0,0%,NA,NA,NA,86%,0%,86%,SUPP,SUPP,0%,0%
1,341,4796,104717,Archbishop Beck Catholic College,VA,0,0,-15,-6,-23,93,46%,0%,46%,6%,6%,0%,0%,79,53%,-12,-2,-21,0,0%,NA,NA,NA,14,7%,-31,-5,-56,42%,0%,42%,4%,4%,0%,0%
1,341,5400,138463,St Francis Xavier's College,ACC,0,0,-1,7,-9,106,66%,3%,63%,12%,12%,1%,0%,92,68%,-3,5,-11,1,SUPP,SUPP,SUPP,SUPP,13,46%,9,35,-17,58%,0%,58%,0%,0%,SUPP,0%
1,341,5402,138850,St Margaret's Church of England Academy,ACC,0,0,-4,4,-12,107,69%,1%,68%,26%,22%,0%,0%,103,68%,-7,0,-14,4,SUPP,SUPP,SUPP,SUPP,0,0%,NA,NA,NA,50%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,341,5403,104721,St Hilda's Church of England High School,VA,0,0,11,20,1,74,81%,1%,77%,14%,15%,0%,3%,74,81%,11,20,1,0,0%,NA,NA,NA,0,0%,NA,NA,NA,87%,SUPP,83%,9%,13%,0%,SUPP
1,341,5404,137916,The Blue Coat School,ACC,0,0,3,9,-3,151,93%,2%,91%,74%,72%,6%,0%,151,93%,3,9,-3,0,0%,NA,NA,NA,0,0%,NA,NA,NA,94%,0%,94%,69%,69%,6%,0%
1,341,5900,136735,St Edward's College,ACC,0,0,4,11,-3,122,84%,0%,82%,32%,32%,2%,2%,122,84%,4,11,-3,0,0%,NA,NA,NA,0,0%,NA,NA,NA,96%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,341,6906,131065,North Liverpool Academy,AC,0,0,16,27,4,57,79%,0%,77%,19%,18%,0%,2%,43,81%,13,25,0,14,71%,24,49,-1,0,0%,NA,NA,NA,77%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,341,6907,135174,The Belvedere Academy,AC,0,0,1,8,-6,122,83%,2%,80%,37%,35%,2%,2%,122,83%,1,8,-6,0,0%,NA,NA,NA,0,0%,NA,NA,NA,96%,0%,96%,42%,42%,0%,0%
1,341,8017,130487,The City of Liverpool College,General Further Education College,0,0,0,3,-3,648,48%,1%,43%,3%,2%,SP,4%,180,56%,-6,0,-12,38,42%,0,15,-15,430,45%,3,7,-1,47%,0%,42%,2%,2%,SUPP,6%
