"Year","Achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2016","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","45","40","0.884","0"
"2017","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","45","45","0.9560000000000001","0"
"2018","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","35","30","0.8","0"
"2019","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","40","40","0.905","0"
"2020","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","205","195","0.961","0"
"2021","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","70","60","0.806","0"
"2022","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","115","85","0.744","0"
"2023","17 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","80","70","0.897","0"
"2010","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","20","10","0.667","0"
"2012","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","20","20","0.8180000000000001","0"
"2013","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2014","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","20","15","0.81","0"
"2015","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","20","15","0.81","0"
"2016","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","20","20","1","0"
"2017","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","20","20","0.9","0"
"2018","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","15","15","0.867","0"
"2019","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","30","30","1","0"
"2020","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","100","95","0.9500000000000001","0"
"2021","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","75","60","0.8","0"
"2022","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","105","90","0.841","0"
"2023","18 point(s)","Quintile 4","Main scheme applicant","Not main scheme application","50","45","0.922","0"
"2010","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","20","20","0.864","0"
"2011","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2012","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","20","15","0.81","0"
"2013","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","15","15","1","0"
"2014","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","15","15","0.882","0"
"2015","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","20","10","0.667","0"
"2016","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","20","20","0.9550000000000001","0"
"2017","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","15","15","1","0"
"2018","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2019","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","25","25","0.923","0"
"2020","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","10","10","1","0"
"2022","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","20","20","0.9","0"
"2023","3 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","50","45","0.917","0"
"2010","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","100","85","0.86","0"
"2011","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","115","95","0.841","0"
"2012","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","80","70","0.85","0"
"2013","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","65","55","0.891","0"
"2014","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","80","70","0.911","0"
"2015","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","80","75","0.913","0"
"2016","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","70","65","0.926","0"
"2017","4 point(s)","Quintile 5","Main scheme applicant","Not main scheme application","60","55","0.918","0"
