"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Medium tariff","25 - 29","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Lower tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Lower tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2021","Lower tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Lower tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Higher tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2021","Higher tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Higher tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","10","0"," "
"2019","Medium tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Medium tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Medium tariff","30 - 34","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Lower tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","10","5"," "
"2020","Lower tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","15","5"," "
"2021","Lower tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","10","10"," "
"2022","Lower tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2023","Lower tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Higher tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","5","5"," "
"2022","Higher tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Medium tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Medium tariff","35 and over","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Higher tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2021","Higher tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Higher tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2023","Higher tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","15","0"," "
"2019","Medium tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Medium tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Medium tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Medium tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Medium tariff","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Higher tariff","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Higher tariff","19","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2023","Higher tariff","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Medium tariff","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Medium tariff","19","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Higher tariff","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Higher tariff","20","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2022","Higher tariff","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Higher tariff","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Medium tariff","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Medium tariff","20","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Lower tariff","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1125","545","0.484"
"2020","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1240","620","0.5"
"2021","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1545","595","0.385"
"2022","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","1105","535","0.486"
"2023","Higher tariff","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","950","500","0.526"
