"Year","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2023","Higher tariff","18","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.6880000000000001"
"2020","Medium tariff","18","England","Female","Main scheme applicant","Not main scheme application","30","25","0.833"
"2021","Medium tariff","18","England","Female","Main scheme applicant","Not main scheme application","15","10","0.6880000000000001"
"2022","Medium tariff","18","England","Female","Main scheme applicant","Not main scheme application","45","20","0.467"
"2023","Medium tariff","18","England","Female","Main scheme applicant","Not main scheme application","70","55","0.8260000000000001"
"2019","Lower tariff","19","England","Female","Main scheme applicant","Not main scheme application","35","20","0.667"
"2020","Lower tariff","19","England","Female","Main scheme applicant","Not main scheme application","20","15","0.591"
"2021","Lower tariff","19","England","Female","Main scheme applicant","Not main scheme application","25","5"," "
"2022","Lower tariff","19","England","Female","Main scheme applicant","Not main scheme application","35","20","0.559"
"2023","Lower tariff","19","England","Female","Main scheme applicant","Not main scheme application","40","25","0.658"
"2021","Higher tariff","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Higher tariff","19","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Higher tariff","19","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Medium tariff","19","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Medium tariff","19","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Medium tariff","19","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2022","Medium tariff","19","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Medium tariff","19","England","Female","Main scheme applicant","Not main scheme application","20","15","0.682"
"2019","Lower tariff","20","England","Female","Main scheme applicant","Not main scheme application","20","10","0.5710000000000001"
"2020","Lower tariff","20","England","Female","Main scheme applicant","Not main scheme application","20","15","0.667"
"2021","Lower tariff","20","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2022","Lower tariff","20","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2023","Lower tariff","20","England","Female","Main scheme applicant","Not main scheme application","25","15","0.538"
"2021","Higher tariff","20","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Higher tariff","20","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","20","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Medium tariff","20","England","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2022","Medium tariff","20","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Medium tariff","20","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2019","Lower tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","50","25","0.529"
"2020","Lower tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","25","15","0.56"
"2021","Lower tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","30","15","0.548"
"2022","Lower tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","45","15","0.378"
"2023","Lower tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","35","15","0.47100000000000003"
"2021","Higher tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Higher tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2020","Medium tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Medium tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2022","Medium tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2023","Medium tariff","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","Lower tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","40","30","0.6900000000000001"
"2020","Lower tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","25","15","0.609"
"2021","Lower tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","20","10","0.545"
"2022","Lower tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","40","20","0.526"
"2023","Lower tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","30","15","0.586"
"2021","Higher tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Medium tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","10","0"," "
"2020","Medium tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Medium tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Medium tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2023","Medium tariff","25 - 29","England","Female","Main scheme applicant","Not main scheme application","10","10"," "
