"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2021","Northern Ireland","19","All","Female","Main scheme applicant","Main scheme application","470","125","0.265"
"2022","Northern Ireland","19","All","Female","Main scheme applicant","Main scheme application","420","90","0.211"
"2023","Northern Ireland","19","All","Female","Main scheme applicant","Main scheme application","340","90","0.266"
"2019","Scotland","19","All","Female","Main scheme applicant","Main scheme application","885","390","0.442"
"2020","Scotland","19","All","Female","Main scheme applicant","Main scheme application","825","410","0.495"
"2021","Scotland","19","All","Female","Main scheme applicant","Main scheme application","900","345","0.386"
"2022","Scotland","19","All","Female","Main scheme applicant","Main scheme application","740","255","0.34400000000000003"
"2023","Scotland","19","All","Female","Main scheme applicant","Main scheme application","650","260","0.402"
"2019","Wales","19","All","Female","Main scheme applicant","Main scheme application","535","160","0.297"
"2020","Wales","19","All","Female","Main scheme applicant","Main scheme application","430","135","0.315"
"2021","Wales","19","All","Female","Main scheme applicant","Main scheme application","530","135","0.255"
"2022","Wales","19","All","Female","Main scheme applicant","Main scheme application","510","115","0.227"
"2023","Wales","19","All","Female","Main scheme applicant","Main scheme application","395","95","0.242"
"2019","England","20","All","Female","Main scheme applicant","Main scheme application","2015","940","0.467"
"2020","England","20","All","Female","Main scheme applicant","Main scheme application","2255","1160","0.515"
"2021","England","20","All","Female","Main scheme applicant","Main scheme application","2445","1055","0.432"
"2022","England","20","All","Female","Main scheme applicant","Main scheme application","2305","935","0.405"
"2023","England","20","All","Female","Main scheme applicant","Main scheme application","2180","905","0.41400000000000003"
"2019","Northern Ireland","20","All","Female","Main scheme applicant","Main scheme application","210","65","0.3"
"2020","Northern Ireland","20","All","Female","Main scheme applicant","Main scheme application","200","75","0.379"
"2021","Northern Ireland","20","All","Female","Main scheme applicant","Main scheme application","195","45","0.228"
"2022","Northern Ireland","20","All","Female","Main scheme applicant","Main scheme application","225","60","0.269"
"2023","Northern Ireland","20","All","Female","Main scheme applicant","Main scheme application","185","55","0.29"
"2019","Scotland","20","All","Female","Main scheme applicant","Main scheme application","485","210","0.434"
"2020","Scotland","20","All","Female","Main scheme applicant","Main scheme application","510","245","0.481"
"2021","Scotland","20","All","Female","Main scheme applicant","Main scheme application","515","220","0.431"
"2022","Scotland","20","All","Female","Main scheme applicant","Main scheme application","445","195","0.434"
"2023","Scotland","20","All","Female","Main scheme applicant","Main scheme application","350","140","0.406"
"2019","Wales","20","All","Female","Main scheme applicant","Main scheme application","250","70","0.28500000000000003"
"2020","Wales","20","All","Female","Main scheme applicant","Main scheme application","255","85","0.332"
"2021","Wales","20","All","Female","Main scheme applicant","Main scheme application","305","75","0.252"
"2022","Wales","20","All","Female","Main scheme applicant","Main scheme application","210","65","0.297"
"2023","Wales","20","All","Female","Main scheme applicant","Main scheme application","215","55","0.251"
"2019","England","21 - 24","All","Female","Main scheme applicant","Main scheme application","4215","2170","0.515"
"2020","England","21 - 24","All","Female","Main scheme applicant","Main scheme application","4750","2640","0.555"
"2021","England","21 - 24","All","Female","Main scheme applicant","Main scheme application","5475","2575","0.47000000000000003"
"2022","England","21 - 24","All","Female","Main scheme applicant","Main scheme application","4655","1985","0.427"
"2023","England","21 - 24","All","Female","Main scheme applicant","Main scheme application","3765","1610","0.428"
"2019","Northern Ireland","21 - 24","All","Female","Main scheme applicant","Main scheme application","345","130","0.384"
