"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2019","International","Not EU","Ghana","18","Female","5","0","0"
"2020","International","Not EU","Ghana","18","Female","5","0","0"
"2021","International","Not EU","Ghana","18","Female","5","0","0"
"2022","International","Not EU","Ghana","18","Female","5","0","0"
"2023","International","Not EU","Ghana","18","Female","5","0","0"
"2019","International","Not EU","Gibraltar","18","Female","10","10","10"
"2020","International","Not EU","Gibraltar","18","Female","10","10","10"
"2021","International","Not EU","Gibraltar","18","Female","5","0","0"
"2022","International","Not EU","Gibraltar","18","Female","10","5","5"
"2023","International","Not EU","Gibraltar","18","Female","10","5","5"
"2019","International","Not EU","Hong Kong","18","Female","140","35","35"
"2020","International","Not EU","Hong Kong","18","Female","255","70","70"
"2021","International","Not EU","Hong Kong","18","Female","195","40","40"
"2022","International","Not EU","Hong Kong","18","Female","190","25","25"
"2023","International","Not EU","Hong Kong","18","Female","195","40","40"
"2019","International","Not EU","India","18","Female","70","15","15"
"2020","International","Not EU","India","18","Female","110","40","40"
"2021","International","Not EU","India","18","Female","115","20","15"
"2022","International","Not EU","India","18","Female","70","20","15"
"2023","International","Not EU","India","18","Female","90","20","20"
"2019","International","Not EU","Indonesia","18","Female","10","5","5"
"2020","International","Not EU","Indonesia","18","Female","10","5","5"
"2021","International","Not EU","Indonesia","18","Female","15","0","0"
"2022","International","Not EU","Indonesia","18","Female","15","5","5"
"2023","International","Not EU","Indonesia","18","Female","15","5","5"
"2021","International","Not EU","Iran, Islamic Republic of","18","Female","5","0","0"
"2019","International","Not EU","Japan","18","Female","5","0","0"
"2020","International","Not EU","Japan","18","Female","10","5","5"
"2021","International","Not EU","Japan","18","Female","10","0","0"
"2022","International","Not EU","Japan","18","Female","10","5","5"
"2023","International","Not EU","Japan","18","Female","10","0","0"
"2019","International","Not EU","Jordan","18","Female","10","5","0"
"2020","International","Not EU","Jordan","18","Female","15","5","5"
"2021","International","Not EU","Jordan","18","Female","5","0","0"
"2022","International","Not EU","Jordan","18","Female","10","5","5"
"2023","International","Not EU","Jordan","18","Female","5","5","5"
"2019","International","Not EU","Kenya","18","Female","15","5","5"
"2020","International","Not EU","Kenya","18","Female","10","5","5"
"2021","International","Not EU","Kenya","18","Female","15","5","5"
"2022","International","Not EU","Kenya","18","Female","20","10","10"
"2023","International","Not EU","Kenya","18","Female","20","5","5"
"2019","International","Not EU","Korea, Republic of","18","Female","15","5","5"
"2020","International","Not EU","Korea, Republic of","18","Female","20","5","5"
"2021","International","Not EU","Korea, Republic of","18","Female","10","0","0"
"2022","International","Not EU","Korea, Republic of","18","Female","15","0","0"
"2023","International","Not EU","Korea, Republic of","18","Female","10","0","0"
"2020","International","Not EU","Kuwait","18","Female","5","0","0"
"2021","International","Not EU","Kuwait","18","Female","5","0","0"
"2022","International","Not EU","Kuwait","18","Female","5","0","0"
"2020","International","Not EU","Lebanon","18","Female","5","0","0"
"2021","International","Not EU","Lebanon","18","Female","5","0","0"
"2023","International","Not EU","Lebanon","18","Female","5","0","0"
"2019","International","Not EU","Macao","18","Female","5","5","5"
"2021","International","Not EU","Macao","18","Female","5","0","0"
"2023","International","Not EU","Macao","18","Female","5","0","0"
"2019","International","Not EU","Malaysia","18","Female","30","5","5"
"2020","International","Not EU","Malaysia","18","Female","40","15","15"
