"Year","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","35 and over","Wales","Female","Main scheme applicant","Main scheme application","65","20","0.303","0"
"2020","35 and over","Wales","Female","Main scheme applicant","Main scheme application","65","20","0.303","0"
"2021","35 and over","Wales","Female","Main scheme applicant","Main scheme application","80","20","0.272","0"
"2022","35 and over","Wales","Female","Main scheme applicant","Main scheme application","65","30","0.418","0"
"2023","35 and over","Wales","Female","Main scheme applicant","Main scheme application","60","30","0.484","0"
"2019","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","17 and under","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","18","Not EU","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
"2020","18","Not EU","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2021","18","Not EU","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2022","18","Not EU","Female","Main scheme applicant","Main scheme application","25","5"," ","0"
"2023","18","Not EU","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2019","19","Not EU","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2020","19","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","19","Not EU","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2022","19","Not EU","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2023","19","Not EU","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2019","20","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","20","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","20","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","20","Not EU","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","20","Not EU","Female","Main scheme applicant","Main scheme application","15","0"," ","0"
"2019","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2020","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","30","0"," ","0"
"2022","21 - 24","Not EU","Female","Main scheme applicant","Main scheme application","30","5"," ","0"
