"Year","Difference between predicted and achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","3 points","All","Northern Ireland","Female","All","All","10","10"," ","0"
"2020","3 points","All","Northern Ireland","Female","All","All","25","20","0.769","0"
"2021","3 points","All","Northern Ireland","Female","All","All","25","20","0.88","0"
"2022","3 points","All","Northern Ireland","Female","All","All","10","10"," ","0"
"2023","3 points","All","Northern Ireland","Female","All","All","10","5"," ","0"
"2010","3 points","All","England","Female","All","All","330","270","0.8170000000000001","0"
"2011","3 points","All","England","Female","All","All","285","225","0.792","0"
"2012","3 points","All","England","Female","All","All","1550","1245","0.803","0"
"2013","3 points","All","England","Female","All","All","1330","1085","0.8170000000000001","0"
"2014","3 points","All","England","Female","All","All","1350","1100","0.8150000000000001","0"
"2015","3 points","All","England","Female","All","All","1105","915","0.8250000000000001","0"
"2016","3 points","All","England","Female","All","All","770","645","0.835","0"
"2017","3 points","All","England","Female","All","All","705","600","0.851","0"
"2018","3 points","All","England","Female","All","All","505","425","0.842","0"
"2019","3 points","All","England","Female","All","All","380","325","0.853","0"
"2020","3 points","All","England","Female","All","All","555","495","0.892","0"
"2021","3 points","All","England","Female","All","All","680","585","0.86","0"
"2022","3 points","All","England","Female","All","All","485","420","0.867","0"
"2023","3 points","All","England","Female","All","All","310","275","0.896","0"
"2010","3 points","All","Wales","Female","All","All","10","10"," ","0"
"2011","3 points","All","Wales","Female","All","All","20","15","0.762","0"
"2012","3 points","All","Wales","Female","All","All","40","35","0.805","0"
"2013","3 points","All","Wales","Female","All","All","35","30","0.778","0"
"2014","3 points","All","Wales","Female","All","All","35","35","0.892","0"
"2015","3 points","All","Wales","Female","All","All","45","35","0.804","0"
"2016","3 points","All","Wales","Female","All","All","25","20","0.75","0"
"2017","3 points","All","Wales","Female","All","All","20","20","0.909","0"
"2018","3 points","All","Wales","Female","All","All","20","20","0.9","0"
"2019","3 points","All","Wales","Female","All","All","20","20","0.905","0"
"2020","3 points","All","Wales","Female","All","All","25","20","0.76","0"
"2021","3 points","All","Wales","Female","All","All","25","20","0.783","0"
"2022","3 points","All","Wales","Female","All","All","20","15","0.737","0"
"2023","3 points","All","Wales","Female","All","All","10","10","0.909","0"
"2013","More than 3 points","All","Northern Ireland","Female","All","All","5","5"," ","0"
"2014","More than 3 points","All","Northern Ireland","Female","All","All","5","5"," ","0"
"2015","More than 3 points","All","Northern Ireland","Female","All","All","5","5"," ","0"
"2020","More than 3 points","All","Northern Ireland","Female","All","All","5","0"," ","0"
"2021","More than 3 points","All","Northern Ireland","Female","All","All","5","0"," ","0"
"2010","More than 3 points","All","England","Female","All","All","70","50","0.75","0"
"2011","More than 3 points","All","England","Female","All","All","60","50","0.8310000000000001","0"
"2012","More than 3 points","All","England","Female","All","All","360","285","0.785","0"
"2013","More than 3 points","All","England","Female","All","All","395","315","0.796","0"
"2014","More than 3 points","All","England","Female","All","All","370","310","0.8310000000000001","0"
"2015","More than 3 points","All","England","Female","All","All","350","285","0.8180000000000001","0"
"2016","More than 3 points","All","England","Female","All","All","205","165","0.801","0"
"2017","More than 3 points","All","England","Female","All","All","230","190","0.8310000000000001","0"
"2018","More than 3 points","All","England","Female","All","All","125","110","0.873","0"
"2019","More than 3 points","All","England","Female","All","All","80","65","0.8230000000000001","0"
"2020","More than 3 points","All","England","Female","All","All","135","110","0.8280000000000001","0"
"2021","More than 3 points","All","England","Female","All","All","155","135","0.889","0"
"2022","More than 3 points","All","England","Female","All","All","105","85","0.8130000000000001","0"
