"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2014","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","940"
"2015","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1165"
"2016","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1190"
"2017","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1365"
"2018","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1365"
"2019","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1630"
"2020","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1770"
"2021","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1175"
"2022","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1550"
"2023","Direct Clearing","19","England","Female","Not main scheme applicant","Not main scheme application","1945"
"2006","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1095"
"2007","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1210"
"2008","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1330"
"2009","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","940"
"2010","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","485"
"2011","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","410"
"2012","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","630"
"2013","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","735"
"2014","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","860"
"2015","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","990"
"2016","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1065"
"2017","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1215"
"2018","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1630"
"2019","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1770"
"2020","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1650"
"2021","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1545"
"2022","RPA","19","England","Female","Not main scheme applicant","Not main scheme application","1620"
