"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","25 - 29","England","Male","25","5"," "
"2022","25 - 29","England","Male","10","5"," "
"2023","25 - 29","England","Male","5","0"," "
"2019","30 - 34","England","Male","15","5"," "
"2021","30 - 34","England","Male","15","5"," "
"2022","30 - 34","England","Male","15","5"," "
"2023","30 - 34","England","Male","10","5"," "
"2019","35 and over","England","Male","10","5"," "
"2020","35 and over","England","Male","10","5"," "
"2021","35 and over","England","Male","15","0"," "
"2022","35 and over","England","Male","10","0"," "
"2023","35 and over","England","Male","20","0"," "
"2019","18","Scotland","Male","5","0"," "
"2021","18","Scotland","Male","5","0"," "
"2023","19","Scotland","Male","5","0"," "
"2022","21 - 24","Scotland","Male","5","5"," "
"2021","35 and over","Scotland","Male","5","0"," "
"2022","18","Wales","Male","5","0"," "
"2023","18","Wales","Male","5","5"," "
"2019","21 - 24","Wales","Male","5","0"," "
"2023","25 - 29","Wales","Male","5","5"," "
"2020","35 and over","Wales","Male","5","0"," "
"2022","21 - 24","Not EU","Male","5","0"," "
"2023","21 - 24","Not EU","Male","10","0"," "
"2021","25 - 29","Not EU","Male","5","0"," "
"2022","30 - 34","Not EU","Male","5","0"," "
"2022","35 and over","Not EU","Male","5","0"," "
"2020","17 and under","EU (excluding UK)","Male","5","0"," "
"2021","18","EU (excluding UK)","Male","5","0"," "
"2023","18","EU (excluding UK)","Male","5","0"," "
"2020","21 - 24","EU (excluding UK)","Male","5","0"," "
"2020","25 - 29","EU (excluding UK)","Male","5","0"," "
"2019","All","Northern Ireland","Female","905","135","0.147"
"2020","All","Northern Ireland","Female","875","175","0.198"
"2021","All","Northern Ireland","Female","1120","160","0.14100000000000001"
"2022","All","Northern Ireland","Female","1050","175","0.168"
"2023","All","Northern Ireland","Female","870","125","0.146"
"2019","All","England","Female","23585","5735","0.243"
"2020","All","England","Female","24220","6755","0.279"
"2021","All","England","Female","31360","7265","0.232"
"2022","All","England","Female","29120","6305","0.217"
"2023","All","England","Female","23000","6675","0.29"
"2019","All","Scotland","Female","1910","375","0.196"
"2020","All","Scotland","Female","2020","405","0.201"
"2021","All","Scotland","Female","2720","365","0.135"
"2022","All","Scotland","Female","2245","355","0.159"
"2023","All","Scotland","Female","1555","370","0.23700000000000002"
"2019","All","Wales","Female","1750","235","0.133"
"2020","All","Wales","Female","1760","290","0.166"
"2021","All","Wales","Female","2455","320","0.13"
"2022","All","Wales","Female","1830","330","0.179"
"2023","All","Wales","Female","1385","320","0.232"
"2019","All","Not EU","Female","260","35","0.135"
"2020","All","Not EU","Female","225","30","0.133"
"2021","All","Not EU","Female","350","40","0.114"
"2022","All","Not EU","Female","400","40","0.098"
"2023","All","Not EU","Female","325","60","0.188"
"2019","All","EU (excluding UK)","Female","510","40","0.078"
"2020","All","EU (excluding UK)","Female","540","60","0.111"
"2021","All","EU (excluding UK)","Female","540","40","0.074"
"2022","All","EU (excluding UK)","Female","515","30","0.058"
"2023","All","EU (excluding UK)","Female","350","50","0.149"
"2019","All","Northern Ireland","Male","5","0"," "
"2020","All","Northern Ireland","Male","5","0"," "
"2021","All","Northern Ireland","Male","5","0"," "
"2022","All","Northern Ireland","Male","5","0"," "
"2023","All","Northern Ireland","Male","5","0"," "
"2019","All","England","Male","60","15","0.267"
"2020","All","England","Male","45","15","0.289"
"2021","All","England","Male","115","25","0.209"
"2022","All","England","Male","105","15","0.152"
"2023","All","England","Male","65","15","0.231"
"2019","All","Scotland","Male","5","0"," "
"2020","All","Scotland","Male","5","0"," "
"2021","All","Scotland","Male","10","0"," "
"2022","All","Scotland","Male","5","5"," "
"2023","All","Scotland","Male","5","0"," "
"2019","All","Wales","Male","5","0"," "
"2020","All","Wales","Male","5","0"," "
"2022","All","Wales","Male","5","0"," "
"2023","All","Wales","Male","15","5"," "
"2020","All","Not EU","Male","5","0"," "
"2021","All","Not EU","Male","5","0"," "
"2022","All","Not EU","Male","15","0"," "
"2023","All","Not EU","Male","15","0"," "
"2019","All","EU (excluding UK)","Male","5","0"," "
"2020","All","EU (excluding UK)","Male","15","0"," "
