"Year","Subject group HECoS","Detailed subject group HECoS","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Scotland","All","315","250","0.8"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Scotland","All","280","225","0.81"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Scotland","All","300","260","0.873"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Scotland","All","285","240","0.851"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","All","Scotland","All","315","275","0.872"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Scotland","All","15","15","0.88"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Scotland","All","30","20","0.653"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Scotland","All","15","10"," "
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Scotland","All","30","25","0.767"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-05) forestry and arboriculture","All","Scotland","All","25","20","0.784"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Scotland","All","15","10","0.803"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Scotland","All","15","10","0.741"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Scotland","All","15","10"," "
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Scotland","All","10","5"," "
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","All","Scotland","All","5","5"," "
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Scotland","All","65","40","0.629"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Scotland","All","105","95","0.904"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Scotland","All","125","105","0.846"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Scotland","All","125","105","0.833"
"2023","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","All","Scotland","All","155","125","0.8150000000000001"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","Scotland","All","105","95","0.918"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-06) food and beverage studies (non-specific)","All","Scotland","All","5","5"," "
"2019","(CAH16) law","(CAH16-01-01) law","All","Scotland","All","8140","5120","0.629"
"2020","(CAH16) law","(CAH16-01-01) law","All","Scotland","All","8275","5260","0.635"
"2021","(CAH16) law","(CAH16-01-01) law","All","Scotland","All","9590","5405","0.5630000000000001"
"2022","(CAH16) law","(CAH16-01-01) law","All","Scotland","All","9295","5260","0.5660000000000001"
"2023","(CAH16) law","(CAH16-01-01) law","All","Scotland","All","8830","5600","0.634"
