"Year","Difference between predicted and achieved SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","-5 points","18","Scotland","Female","Main scheme applicant","Main scheme application","95","80","0.8320000000000001","0"
"2023","-5 points","18","Scotland","Female","Main scheme applicant","Main scheme application","110","95","0.865","0"
"2010","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","45","35","0.804","0"
"2011","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","55","40","0.759","0"
"2012","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","50","45","0.922","0"
"2013","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","45","40","0.907","0"
"2014","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","45","35","0.8220000000000001","0"
"2015","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","45","35","0.8140000000000001","0"
"2016","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","50","40","0.731","0"
"2017","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","35","25","0.788","0"
"2018","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","40","35","0.85","0"
"2019","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","55","40","0.764","0"
"2020","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","25","25","0.885","0"
"2021","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","30","25","0.8","0"
"2022","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","65","55","0.844","0"
"2023","-6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","70","65","0.917","0"
"2010","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","95","75","0.802","0"
"2011","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","75","60","0.784","0"
"2012","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","80","70","0.873","0"
"2013","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","85","70","0.845","0"
"2014","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","75","65","0.878","0"
"2015","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","75","60","0.789","0"
"2016","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","70","60","0.806","0"
"2017","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","100","75","0.778","0"
"2018","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","100","90","0.889","0"
"2019","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","105","75","0.728","0"
"2020","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","35","25","0.8180000000000001","0"
"2021","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","70","60","0.8170000000000001","0"
"2022","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","115","100","0.852","0"
"2023","Less than -6 points","18","Scotland","Female","Main scheme applicant","Main scheme application","90","80","0.87","0"
"2010","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","255","235","0.929","0"
"2011","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","260","240","0.93","0"
"2012","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","265","240","0.906","0"
"2013","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","335","300","0.901","0"
"2014","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","290","275","0.9490000000000001","0"
"2015","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","360","335","0.925","0"
"2016","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","335","310","0.92","0"
"2017","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","335","315","0.9430000000000001","0"
"2018","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","320","305","0.9500000000000001","0"
"2019","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","295","275","0.932","0"
"2020","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","495","455","0.911","0"
"2021","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","560","515","0.92","0"
"2022","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","385","360","0.928","0"
"2023","0 points","18","Scotland","Male","Main scheme applicant","Main scheme application","415","390","0.9450000000000001","0"
"2010","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","45","40","0.909","0"
"2011","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","50","45","0.922","0"
"2012","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","40","35","0.895","0"
"2013","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","45","45","0.915","0"
"2014","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","45","40","0.911","0"
"2015","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","45","45","1","0"
"2016","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","45","45","1","0"
"2017","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","30","25","0.897","0"
"2018","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","45","40","0.886","0"
"2019","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","40","35","0.9470000000000001","0"
"2020","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","65","60","0.909","0"
"2021","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","65","60","0.866","0"
"2022","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","35","35","1","0"
"2023","1 points","18","Scotland","Male","Main scheme applicant","Main scheme application","30","25","0.793","0"
"2010","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","15","15","0.882","0"
"2011","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","15","15","0.867","0"
"2012","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.923","0"
"2013","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","10","10","0.909","0"
"2014","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","15","15","1","0"
"2015","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","15","15","0.867","0"
"2016","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.786","0"
"2017","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","10","10"," ","0"
"2019","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2020","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","15","15","1","0"
"2021","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","15","15","0.875","0"
"2022","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","15","10","0.846","0"
"2023","2 points","18","Scotland","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","0"," ","0"
"2013","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","10","10","1","0"
"2021","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","3 points","18","Scotland","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
