"Year","Age group","Individual age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","20","20","England","Female","Not main scheme applicant","Not main scheme application","875","805","0.92","250"
"2012","20","20","England","Female","Not main scheme applicant","Not main scheme application","1240","1175","0.9460000000000001","150"
"2013","20","20","England","Female","Not main scheme applicant","Not main scheme application","1600","1510","0.9440000000000001","165"
"2014","20","20","England","Female","Not main scheme applicant","Not main scheme application","1670","1585","0.9490000000000001","155"
"2015","20","20","England","Female","Not main scheme applicant","Not main scheme application","1860","1755","0.9450000000000001","205"
"2016","20","20","England","Female","Not main scheme applicant","Not main scheme application","1835","1730","0.9440000000000001","135"
"2017","20","20","England","Female","Not main scheme applicant","Not main scheme application","2085","1950","0.936","135"
"2018","20","20","England","Female","Not main scheme applicant","Not main scheme application","2405","2270","0.9430000000000001","105"
"2019","20","20","England","Female","Not main scheme applicant","Not main scheme application","2810","2635","0.9380000000000001","110"
"2020","20","20","England","Female","Not main scheme applicant","Not main scheme application","2630","2455","0.934","160"
"2021","20","20","England","Female","Not main scheme applicant","Not main scheme application","2215","2035","0.92","100"
"2022","20","20","England","Female","Not main scheme applicant","Not main scheme application","2375","2165","0.911","155"
"2023","20","20","England","Female","Not main scheme applicant","Not main scheme application","2750","2505","0.911","165"
"2006","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","985","970","0.985","135"
"2007","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1135","1120","0.984","140"
"2008","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1380","1350","0.978","215"
"2009","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1100","1035","0.9420000000000001","290"
"2010","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","790","735","0.93","240"
"2011","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","730","655","0.896","255"
"2012","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1055","965","0.917","140"
"2013","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1120","1060","0.9450000000000001","145"
"2014","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1185","1105","0.933","150"
"2015","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1325","1240","0.936","150"
"2016","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1310","1225","0.937","135"
"2017","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1520","1415","0.931","120"
"2018","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1855","1740","0.9400000000000001","105"
"2019","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","2040","1915","0.9390000000000001","85"
"2020","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1895","1745","0.921","145"
"2021","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1570","1435","0.915","90"
"2022","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","1845","1675","0.907","125"
"2023","21 - 24","21","England","Female","Not main scheme applicant","Not main scheme application","2075","1900","0.917","145"
"2006","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","690","680","0.98","115"
"2007","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","795","780","0.976","110"
"2008","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","925","900","0.974","155"
"2009","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","795","755","0.9450000000000001","220"
"2010","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","530","500","0.9420000000000001","185"
"2011","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","560","515","0.92","205"
"2012","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","705","645","0.916","150"
"2013","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","825","775","0.9390000000000001","130"
"2014","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","930","865","0.933","110"
"2015","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","945","870","0.924","105"
"2016","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","910","850","0.9380000000000001","120"
"2017","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","995","925","0.93","95"
"2018","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","1300","1215","0.936","70"
"2019","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","1460","1355","0.927","100"
"2020","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","1530","1415","0.925","110"
"2021","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","1215","1090","0.899","70"
"2022","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","1485","1355","0.912","85"
"2023","21 - 24","22","England","Female","Not main scheme applicant","Not main scheme application","1565","1395","0.891","100"
"2006","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","580","570","0.99","80"
"2007","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","575","560","0.977","90"
"2008","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","710","695","0.979","130"
"2009","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","635","585","0.924","175"
"2010","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","400","365","0.915","145"
"2011","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","365","335","0.907","155"
"2012","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","545","495","0.907","100"
"2013","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","610","560","0.92","110"
"2014","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","650","610","0.937","120"
"2015","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","705","660","0.9380000000000001","130"
"2016","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","620","575","0.924","80"
"2017","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","805","735","0.909","80"
"2018","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","960","900","0.935","50"
"2019","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","1145","1070","0.931","60"
"2020","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","1245","1130","0.906","115"
"2021","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","990","905","0.913","60"
"2022","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","1205","1100","0.912","70"
"2023","21 - 24","23","England","Female","Not main scheme applicant","Not main scheme application","1180","1055","0.895","85"
"2006","21 - 24","24","England","Female","Not main scheme applicant","Not main scheme application","460","455","0.991","80"
"2007","21 - 24","24","England","Female","Not main scheme applicant","Not main scheme application","485","470","0.971","80"
"2008","21 - 24","24","England","Female","Not main scheme applicant","Not main scheme application","555","545","0.977","90"
"2009","21 - 24","24","England","Female","Not main scheme applicant","Not main scheme application","515","480","0.93","145"
"2010","21 - 24","24","England","Female","Not main scheme applicant","Not main scheme application","330","310","0.934","130"
"2011","21 - 24","24","England","Female","Not main scheme applicant","Not main scheme application","295","275","0.926","135"
"2012","21 - 24","24","England","Female","Not main scheme applicant","Not main scheme application","390","345","0.882","100"
"2013","21 - 24","24","England","Female","Not main scheme applicant","Not main scheme application","470","440","0.9400000000000001","110"
"2014","21 - 24","24","England","Female","Not main scheme applicant","Not main scheme application","520","485","0.929","75"
