"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","UK","England","England","25 - 29","Female","Main scheme applicant","Not main scheme application","50","25","0.47100000000000003","0"
"2023","UK","England","England","25 - 29","Female","Main scheme applicant","Not main scheme application","40","25","0.658","0"
"2019","UK","Northern Ireland","Northern Ireland","25 - 29","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Northern Ireland","Northern Ireland","25 - 29","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2022","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Scotland","Scotland","25 - 29","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Wales","Wales","25 - 29","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Wales","Wales","25 - 29","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Wales","Wales","25 - 29","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Wales","Wales","25 - 29","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","England","England","30 - 34","Female","Main scheme applicant","Not main scheme application","35","20","0.606","0"
"2020","UK","England","England","30 - 34","Female","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2021","UK","England","England","30 - 34","Female","Main scheme applicant","Not main scheme application","30","15","0.438","0"
"2022","UK","England","England","30 - 34","Female","Main scheme applicant","Not main scheme application","30","15","0.406","0"
"2023","UK","England","England","30 - 34","Female","Main scheme applicant","Not main scheme application","25","15","0.654","0"
"2019","UK","Northern Ireland","Northern Ireland","30 - 34","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Northern Ireland","Northern Ireland","30 - 34","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","Scotland","Scotland","30 - 34","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Wales","Wales","30 - 34","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Wales","Wales","30 - 34","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Wales","Wales","30 - 34","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Wales","Wales","30 - 34","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Wales","Wales","30 - 34","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","UK","England","England","35 and over","Female","Main scheme applicant","Not main scheme application","30","20","0.5630000000000001","0"
"2020","UK","England","England","35 and over","Female","Main scheme applicant","Not main scheme application","30","20","0.6","0"
"2021","UK","England","England","35 and over","Female","Main scheme applicant","Not main scheme application","25","10"," ","0"
"2022","UK","England","England","35 and over","Female","Main scheme applicant","Not main scheme application","35","15","0.47200000000000003","0"
"2023","UK","England","England","35 and over","Female","Main scheme applicant","Not main scheme application","50","30","0.625","0"
"2019","UK","Northern Ireland","Northern Ireland","35 and over","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Scotland","Scotland","35 and over","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","UK","Wales","Wales","35 and over","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Wales","Wales","35 and over","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","Wales","Wales","35 and over","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","England","England","17 and under","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","UK","England","England","17 and under","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","UK","England","England","17 and under","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","UK","England","England","17 and under","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","UK","Northern Ireland","Northern Ireland","17 and under","Female","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","17 and under","Female","Main scheme applicant","Main scheme application","10","0"," ","0"
"2020","UK","Scotland","Scotland","17 and under","Female","Main scheme applicant","Main scheme application","20","0"," ","0"
