"Year","Difference between predicted and achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2020","-3 points","White","All","Main scheme application","20","5"," ","0"
"2021","-3 points","White","All","Main scheme application","15","10","0.588","0"
"2022","-3 points","White","All","Main scheme application","20","10","0.47600000000000003","0"
"2023","-3 points","White","All","Main scheme application","20","15","0.833","0"
"2010","-4 points","White","All","Main scheme application","20","10","0.5","0"
"2011","-4 points","White","All","Main scheme application","20","5"," ","0"
"2012","-4 points","White","All","Main scheme application","45","15","0.311","0"
"2013","-4 points","White","All","Main scheme application","15","10"," ","0"
"2014","-4 points","White","All","Main scheme application","40","15","0.41500000000000004","0"
"2015","-4 points","White","All","Main scheme application","40","10","0.28200000000000003","0"
"2016","-4 points","White","All","Main scheme application","35","15","0.35100000000000003","0"
"2017","-4 points","White","All","Main scheme application","30","15","0.46900000000000003","0"
"2018","-4 points","White","All","Main scheme application","35","20","0.529","0"
"2019","-4 points","White","All","Main scheme application","35","15","0.5","0"
"2020","-4 points","White","All","Main scheme application","20","10","0.6","0"
"2021","-4 points","White","All","Main scheme application","10","10"," ","0"
"2022","-4 points","White","All","Main scheme application","10","5"," ","0"
"2023","-4 points","White","All","Main scheme application","15","5"," ","0"
"2010","-5 points","White","All","Main scheme application","25","5"," ","0"
"2011","-5 points","White","All","Main scheme application","20","5"," ","0"
"2012","-5 points","White","All","Main scheme application","35","10","0.333","0"
"2013","-5 points","White","All","Main scheme application","25","10"," ","0"
"2014","-5 points","White","All","Main scheme application","20","5"," ","0"
"2015","-5 points","White","All","Main scheme application","25","5"," ","0"
"2016","-5 points","White","All","Main scheme application","25","5"," ","0"
"2017","-5 points","White","All","Main scheme application","20","10"," ","0"
"2018","-5 points","White","All","Main scheme application","30","15","0.586","0"
"2019","-5 points","White","All","Main scheme application","20","10"," ","0"
"2020","-5 points","White","All","Main scheme application","10","5"," ","0"
"2021","-5 points","White","All","Main scheme application","10","5"," ","0"
"2022","-5 points","White","All","Main scheme application","5","5"," ","0"
"2023","-5 points","White","All","Main scheme application","10","5"," ","0"
"2010","-6 points","White","All","Main scheme application","20","5"," ","0"
"2011","-6 points","White","All","Main scheme application","15","0"," ","0"
"2012","-6 points","White","All","Main scheme application","25","5"," ","0"
"2013","-6 points","White","All","Main scheme application","15","0"," ","0"
"2014","-6 points","White","All","Main scheme application","15","0"," ","0"
"2015","-6 points","White","All","Main scheme application","20","5"," ","0"
"2016","-6 points","White","All","Main scheme application","25","5"," ","0"
"2017","-6 points","White","All","Main scheme application","25","5"," ","0"
"2018","-6 points","White","All","Main scheme application","20","5"," ","0"
"2019","-6 points","White","All","Main scheme application","20","10"," ","0"
"2020","-6 points","White","All","Main scheme application","5","0"," ","0"
"2021","-6 points","White","All","Main scheme application","10","5"," ","0"
"2022","-6 points","White","All","Main scheme application","10","5"," ","0"
"2023","-6 points","White","All","Main scheme application","5","5"," ","0"
"2010","Less than -6 points","White","All","Main scheme application","40","5"," ","0"
"2011","Less than -6 points","White","All","Main scheme application","40","5"," ","0"
"2012","Less than -6 points","White","All","Main scheme application","55","5"," ","0"
"2013","Less than -6 points","White","All","Main scheme application","45","5"," ","0"
"2014","Less than -6 points","White","All","Main scheme application","60","5"," ","0"
"2015","Less than -6 points","White","All","Main scheme application","65","10"," ","0"
"2016","Less than -6 points","White","All","Main scheme application","40","5"," ","0"
"2017","Less than -6 points","White","All","Main scheme application","40","5"," ","0"
"2018","Less than -6 points","White","All","Main scheme application","50","15","0.26","0"
"2019","Less than -6 points","White","All","Main scheme application","40","10"," ","0"
"2020","Less than -6 points","White","All","Main scheme application","10","0"," ","0"
"2021","Less than -6 points","White","All","Main scheme application","30","15","0.433","0"
"2022","Less than -6 points","White","All","Main scheme application","30","10"," ","0"
"2023","Less than -6 points","White","All","Main scheme application","35","10"," ","0"
"2020","0 points","Black","All","Main scheme application","5","5"," ","0"
"2021","0 points","Black","All","Main scheme application","5","5"," ","0"
"2022","0 points","Black","All","Main scheme application","5","5"," ","0"
"2021","2 points","Black","All","Main scheme application","5","5"," ","0"
"2021","More than 3 points","Black","All","Main scheme application","5","5"," ","0"
"2019","-1 points","Black","All","Main scheme application","5","5"," ","0"
"2022","-1 points","Black","All","Main scheme application","5","5"," ","0"
"2016","-2 points","Black","All","Main scheme application","5","0"," ","0"
"2023","-2 points","Black","All","Main scheme application","5","0"," ","0"
"2012","-3 points","Black","All","Main scheme application","5","0"," ","0"
"2018","-3 points","Black","All","Main scheme application","5","0"," ","0"
"2022","-4 points","Black","All","Main scheme application","5","5"," ","0"
"2018","-5 points","Black","All","Main scheme application","5","0"," ","0"
"2019","-6 points","Black","All","Main scheme application","5","0"," ","0"
"2015","Less than -6 points","Black","All","Main scheme application","5","0"," ","0"
"2017","Less than -6 points","Black","All","Main scheme application","5","0"," ","0"
"2022","Less than -6 points","Black","All","Main scheme application","5","0"," ","0"
"2023","Less than -6 points","Black","All","Main scheme application","10","0"," ","0"
"2010","0 points","Asian","All","Main scheme application","5","0"," ","0"
"2011","0 points","Asian","All","Main scheme application","5","5"," ","0"
"2012","0 points","Asian","All","Main scheme application","5","0"," ","0"
"2013","0 points","Asian","All","Main scheme application","5","5"," ","0"
"2014","0 points","Asian","All","Main scheme application","5","5"," ","0"
"2015","0 points","Asian","All","Main scheme application","10","5"," ","0"
"2016","0 points","Asian","All","Main scheme application","5","5"," ","0"
"2017","0 points","Asian","All","Main scheme application","5","5"," ","0"
"2018","0 points","Asian","All","Main scheme application","10","10"," ","0"
"2020","0 points","Asian","All","Main scheme application","10","5"," ","0"
"2021","0 points","Asian","All","Main scheme application","5","5"," ","0"
"2022","0 points","Asian","All","Main scheme application","10","10"," ","0"
"2023","0 points","Asian","All","Main scheme application","5","0"," ","0"
"2011","1 points","Asian","All","Main scheme application","5","5"," ","0"
"2014","1 points","Asian","All","Main scheme application","5","5"," ","0"
"2015","1 points","Asian","All","Main scheme application","5","0"," ","0"
"2017","1 points","Asian","All","Main scheme application","5","5"," ","0"
"2018","1 points","Asian","All","Main scheme application","5","5"," ","0"
"2020","1 points","Asian","All","Main scheme application","5","5"," ","0"
"2021","1 points","Asian","All","Main scheme application","5","5"," ","0"
"2022","1 points","Asian","All","Main scheme application","5","5"," ","0"
"2023","1 points","Asian","All","Main scheme application","10","10"," ","0"
"2010","2 points","Asian","All","Main scheme application","5","0"," ","0"
"2013","2 points","Asian","All","Main scheme application","5","5"," ","0"
"2014","2 points","Asian","All","Main scheme application","5","5"," ","0"
"2015","2 points","Asian","All","Main scheme application","5","5"," ","0"
"2019","2 points","Asian","All","Main scheme application","5","5"," ","0"
"2020","2 points","Asian","All","Main scheme application","5","5"," ","0"
"2021","2 points","Asian","All","Main scheme application","5","0"," ","0"
"2012","3 points","Asian","All","Main scheme application","5","0"," ","0"
"2020","3 points","Asian","All","Main scheme application","5","5"," ","0"
