"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10","1","5"
"2016","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2017","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2018","Less than -6 points","White","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2019","Less than -6 points","White","Not main scheme applicant","Not main scheme application","20","20","1","5"
"2020","Less than -6 points","White","Not main scheme applicant","Not main scheme application","35","30","0.909","10"
"2021","Less than -6 points","White","Not main scheme applicant","Not main scheme application","25","20","0.913","5"
"2022","Less than -6 points","White","Not main scheme applicant","Not main scheme application","15","15","0.933","0"
"2023","Less than -6 points","White","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2011","0 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-1 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-1 points","Black","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","-3 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-4 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Less than -6 points","Black","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","-1 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-2 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-2 points","Asian","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","-3 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","Less than -6 points","Asian","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","Mixed","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","0 points","White","Main scheme applicant","Not main scheme application","395","280","0.718","0"
"2011","0 points","White","Main scheme applicant","Not main scheme application","470","340","0.718","0"
"2012","0 points","White","Main scheme applicant","Not main scheme application","195","140","0.727","0"
"2013","0 points","White","Main scheme applicant","Not main scheme application","285","230","0.809","0"
"2014","0 points","White","Main scheme applicant","Not main scheme application","335","245","0.728","0"
"2015","0 points","White","Main scheme applicant","Not main scheme application","430","335","0.779","0"
"2016","0 points","White","Main scheme applicant","Not main scheme application","430","335","0.777","0"
"2017","0 points","White","Main scheme applicant","Not main scheme application","350","295","0.84","0"
"2018","0 points","White","Main scheme applicant","Not main scheme application","325","285","0.865","0"
"2019","0 points","White","Main scheme applicant","Not main scheme application","250","215","0.863","0"
"2020","0 points","White","Main scheme applicant","Not main scheme application","285","265","0.916","0"
"2021","0 points","White","Main scheme applicant","Not main scheme application","385","335","0.868","0"
"2022","0 points","White","Main scheme applicant","Not main scheme application","275","240","0.869","0"
"2023","0 points","White","Main scheme applicant","Not main scheme application","245","220","0.897","0"
"2010","1 points","White","Main scheme applicant","Not main scheme application","175","135","0.763","0"
"2011","1 points","White","Main scheme applicant","Not main scheme application","215","155","0.724","0"
"2012","1 points","White","Main scheme applicant","Not main scheme application","205","160","0.794","0"
"2013","1 points","White","Main scheme applicant","Not main scheme application","160","125","0.797","0"
"2014","1 points","White","Main scheme applicant","Not main scheme application","150","110","0.747","0"
"2015","1 points","White","Main scheme applicant","Not main scheme application","190","155","0.8170000000000001","0"
"2016","1 points","White","Main scheme applicant","Not main scheme application","195","160","0.8210000000000001","0"
"2017","1 points","White","Main scheme applicant","Not main scheme application","180","150","0.837","0"
"2018","1 points","White","Main scheme applicant","Not main scheme application","150","135","0.907","0"
"2019","1 points","White","Main scheme applicant","Not main scheme application","130","120","0.917","0"
"2020","1 points","White","Main scheme applicant","Not main scheme application","150","140","0.9470000000000001","0"
"2021","1 points","White","Main scheme applicant","Not main scheme application","190","170","0.894","0"
"2022","1 points","White","Main scheme applicant","Not main scheme application","175","155","0.886","0"
"2023","1 points","White","Main scheme applicant","Not main scheme application","135","115","0.837","0"
"2010","2 points","White","Main scheme applicant","Not main scheme application","70","50","0.721","0"
"2011","2 points","White","Main scheme applicant","Not main scheme application","110","85","0.789","0"
"2012","2 points","White","Main scheme applicant","Not main scheme application","120","90","0.75","0"
"2013","2 points","White","Main scheme applicant","Not main scheme application","115","85","0.754","0"
"2014","2 points","White","Main scheme applicant","Not main scheme application","100","80","0.8180000000000001","0"
"2015","2 points","White","Main scheme applicant","Not main scheme application","130","100","0.779","0"
"2016","2 points","White","Main scheme applicant","Not main scheme application","95","70","0.732","0"
"2017","2 points","White","Main scheme applicant","Not main scheme application","70","55","0.789","0"
"2018","2 points","White","Main scheme applicant","Not main scheme application","85","80","0.931","0"
"2019","2 points","White","Main scheme applicant","Not main scheme application","60","55","0.903","0"
"2020","2 points","White","Main scheme applicant","Not main scheme application","90","80","0.932","0"
"2021","2 points","White","Main scheme applicant","Not main scheme application","115","95","0.833","0"
"2022","2 points","White","Main scheme applicant","Not main scheme application","95","80","0.8130000000000001","0"
"2023","2 points","White","Main scheme applicant","Not main scheme application","55","55","0.964","0"
"2010","3 points","White","Main scheme applicant","Not main scheme application","30","20","0.655","0"
"2011","3 points","White","Main scheme applicant","Not main scheme application","40","35","0.805","0"
"2012","3 points","White","Main scheme applicant","Not main scheme application","120","95","0.783","0"
"2013","3 points","White","Main scheme applicant","Not main scheme application","120","90","0.75","0"
"2014","3 points","White","Main scheme applicant","Not main scheme application","115","85","0.75","0"
"2015","3 points","White","Main scheme applicant","Not main scheme application","90","75","0.793","0"
"2016","3 points","White","Main scheme applicant","Not main scheme application","80","60","0.795","0"
"2017","3 points","White","Main scheme applicant","Not main scheme application","45","35","0.841","0"
"2018","3 points","White","Main scheme applicant","Not main scheme application","30","25","0.8130000000000001","0"
"2019","3 points","White","Main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2020","3 points","White","Main scheme applicant","Not main scheme application","30","25","0.8130000000000001","0"
"2021","3 points","White","Main scheme applicant","Not main scheme application","50","45","0.904","0"
"2022","3 points","White","Main scheme applicant","Not main scheme application","25","20","0.833","0"
"2023","3 points","White","Main scheme applicant","Not main scheme application","20","20","1","0"
"2010","More than 3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","More than 3 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","More than 3 points","White","Main scheme applicant","Not main scheme application","40","30","0.8210000000000001","0"
"2013","More than 3 points","White","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2014","More than 3 points","White","Main scheme applicant","Not main scheme application","20","15","0.75","0"
"2015","More than 3 points","White","Main scheme applicant","Not main scheme application","20","15","0.75","0"
"2016","More than 3 points","White","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2017","More than 3 points","White","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2018","More than 3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","More than 3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","More than 3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","More than 3 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","More than 3 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","More than 3 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","White","Main scheme applicant","Not main scheme application","125","90","0.72","0"
"2011","-1 points","White","Main scheme applicant","Not main scheme application","145","95","0.646","0"
"2012","-1 points","White","Main scheme applicant","Not main scheme application","160","120","0.733","0"
"2013","-1 points","White","Main scheme applicant","Not main scheme application","140","110","0.79","0"
"2014","-1 points","White","Main scheme applicant","Not main scheme application","190","150","0.804","0"
"2015","-1 points","White","Main scheme applicant","Not main scheme application","180","140","0.779","0"
"2016","-1 points","White","Main scheme applicant","Not main scheme application","200","160","0.809","0"
"2017","-1 points","White","Main scheme applicant","Not main scheme application","140","115","0.836","0"
"2018","-1 points","White","Main scheme applicant","Not main scheme application","115","100","0.861","0"
"2019","-1 points","White","Main scheme applicant","Not main scheme application","125","115","0.928","0"
"2020","-1 points","White","Main scheme applicant","Not main scheme application","110","95","0.839","0"
"2021","-1 points","White","Main scheme applicant","Not main scheme application","165","145","0.878","0"
"2022","-1 points","White","Main scheme applicant","Not main scheme application","180","155","0.867","0"
"2023","-1 points","White","Main scheme applicant","Not main scheme application","155","135","0.872","0"
"2010","-2 points","White","Main scheme applicant","Not main scheme application","75","55","0.77","0"
"2011","-2 points","White","Main scheme applicant","Not main scheme application","85","60","0.678","0"
"2012","-2 points","White","Main scheme applicant","Not main scheme application","90","60","0.67","0"
"2013","-2 points","White","Main scheme applicant","Not main scheme application","95","65","0.713","0"
"2014","-2 points","White","Main scheme applicant","Not main scheme application","100","80","0.79","0"
"2015","-2 points","White","Main scheme applicant","Not main scheme application","130","110","0.838","0"
"2016","-2 points","White","Main scheme applicant","Not main scheme application","125","105","0.87","0"
"2017","-2 points","White","Main scheme applicant","Not main scheme application","80","65","0.808","0"
"2018","-2 points","White","Main scheme applicant","Not main scheme application","70","60","0.886","0"
"2019","-2 points","White","Main scheme applicant","Not main scheme application","95","85","0.894","0"
"2020","-2 points","White","Main scheme applicant","Not main scheme application","60","50","0.862","0"
"2021","-2 points","White","Main scheme applicant","Not main scheme application","95","85","0.896","0"
"2022","-2 points","White","Main scheme applicant","Not main scheme application","140","115","0.8290000000000001","0"
"2023","-2 points","White","Main scheme applicant","Not main scheme application","105","100","0.916","0"
"2010","-3 points","White","Main scheme applicant","Not main scheme application","30","20","0.71","0"
"2011","-3 points","White","Main scheme applicant","Not main scheme application","50","30","0.612","0"
"2012","-3 points","White","Main scheme applicant","Not main scheme application","50","40","0.84","0"
"2013","-3 points","White","Main scheme applicant","Not main scheme application","55","40","0.6910000000000001","0"
"2014","-3 points","White","Main scheme applicant","Not main scheme application","75","55","0.76","0"
"2015","-3 points","White","Main scheme applicant","Not main scheme application","75","65","0.8290000000000001","0"
"2016","-3 points","White","Main scheme applicant","Not main scheme application","65","50","0.785","0"
"2017","-3 points","White","Main scheme applicant","Not main scheme application","50","40","0.8160000000000001","0"
"2018","-3 points","White","Main scheme applicant","Not main scheme application","45","40","0.891","0"
"2019","-3 points","White","Main scheme applicant","Not main scheme application","40","30","0.8210000000000001","0"
"2020","-3 points","White","Main scheme applicant","Not main scheme application","30","25","0.806","0"
"2021","-3 points","White","Main scheme applicant","Not main scheme application","45","35","0.8","0"
"2022","-3 points","White","Main scheme applicant","Not main scheme application","70","60","0.806","0"
"2023","-3 points","White","Main scheme applicant","Not main scheme application","40","35","0.875","0"
"2010","-4 points","White","Main scheme applicant","Not main scheme application","25","20","0.76","0"
"2011","-4 points","White","Main scheme applicant","Not main scheme application","25","15","0.708","0"
"2012","-4 points","White","Main scheme applicant","Not main scheme application","35","25","0.735","0"
"2013","-4 points","White","Main scheme applicant","Not main scheme application","30","20","0.759","0"
"2014","-4 points","White","Main scheme applicant","Not main scheme application","50","40","0.765","0"
"2015","-4 points","White","Main scheme applicant","Not main scheme application","55","40","0.727","0"
"2016","-4 points","White","Main scheme applicant","Not main scheme application","35","25","0.765","0"
"2017","-4 points","White","Main scheme applicant","Not main scheme application","30","30","0.875","0"
"2018","-4 points","White","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2019","-4 points","White","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2020","-4 points","White","Main scheme applicant","Not main scheme application","25","20","0.769","0"
"2021","-4 points","White","Main scheme applicant","Not main scheme application","35","30","0.882","0"
"2022","-4 points","White","Main scheme applicant","Not main scheme application","45","30","0.721","0"
"2023","-4 points","White","Main scheme applicant","Not main scheme application","25","20","0.778","0"
"2010","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-5 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","-5 points","White","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2013","-5 points","White","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2014","-5 points","White","Main scheme applicant","Not main scheme application","30","20","0.759","0"
"2015","-5 points","White","Main scheme applicant","Not main scheme application","30","20","0.655","0"
"2016","-5 points","White","Main scheme applicant","Not main scheme application","20","15","0.722","0"
"2017","-5 points","White","Main scheme applicant","Not main scheme application","20","15","0.722","0"
"2018","-5 points","White","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2019","-5 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","-5 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-5 points","White","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2022","-5 points","White","Main scheme applicant","Not main scheme application","15","10","0.647","0"
"2023","-5 points","White","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2010","-6 points","White","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","-6 points","White","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2012","-6 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","-6 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-6 points","White","Main scheme applicant","Not main scheme application","20","15","0.727","0"
"2015","-6 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-6 points","White","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2017","-6 points","White","Main scheme applicant","Not main scheme application","15","10","0.75","0"
"2018","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-6 points","White","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","-6 points","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","White","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","Less than -6 points","White","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2012","Less than -6 points","White","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2013","Less than -6 points","White","Main scheme applicant","Not main scheme application","15","15","0.8240000000000001","0"
"2014","Less than -6 points","White","Main scheme applicant","Not main scheme application","35","20","0.618","0"
"2015","Less than -6 points","White","Main scheme applicant","Not main scheme application","40","30","0.725","0"
"2016","Less than -6 points","White","Main scheme applicant","Not main scheme application","30","25","0.774","0"
"2017","Less than -6 points","White","Main scheme applicant","Not main scheme application","35","30","0.8290000000000001","0"
"2018","Less than -6 points","White","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2019","Less than -6 points","White","Main scheme applicant","Not main scheme application","20","15","0.8","0"
"2020","Less than -6 points","White","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2021","Less than -6 points","White","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2022","Less than -6 points","White","Main scheme applicant","Not main scheme application","20","10","0.579","0"
"2023","Less than -6 points","White","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","0 points","Black","Main scheme applicant","Not main scheme application","45","40","0.8260000000000001","0"
"2011","0 points","Black","Main scheme applicant","Not main scheme application","85","60","0.6980000000000001","0"
"2012","0 points","Black","Main scheme applicant","Not main scheme application","55","45","0.887","0"
"2013","0 points","Black","Main scheme applicant","Not main scheme application","65","60","0.892","0"
"2014","0 points","Black","Main scheme applicant","Not main scheme application","85","70","0.8140000000000001","0"
"2015","0 points","Black","Main scheme applicant","Not main scheme application","130","120","0.923","0"
"2016","0 points","Black","Main scheme applicant","Not main scheme application","115","100","0.878","0"
"2017","0 points","Black","Main scheme applicant","Not main scheme application","90","85","0.9440000000000001","0"
"2018","0 points","Black","Main scheme applicant","Not main scheme application","70","65","0.914","0"
"2019","0 points","Black","Main scheme applicant","Not main scheme application","85","75","0.894","0"
"2020","0 points","Black","Main scheme applicant","Not main scheme application","85","80","0.918","0"
"2021","0 points","Black","Main scheme applicant","Not main scheme application","105","95","0.906","0"
"2022","0 points","Black","Main scheme applicant","Not main scheme application","130","120","0.922","0"
"2023","0 points","Black","Main scheme applicant","Not main scheme application","125","120","0.937","0"
"2010","1 points","Black","Main scheme applicant","Not main scheme application","20","15","0.8","0"
"2011","1 points","Black","Main scheme applicant","Not main scheme application","45","40","0.8260000000000001","0"
"2012","1 points","Black","Main scheme applicant","Not main scheme application","55","45","0.789","0"
"2013","1 points","Black","Main scheme applicant","Not main scheme application","45","35","0.86","0"
"2014","1 points","Black","Main scheme applicant","Not main scheme application","45","40","0.8260000000000001","0"
"2015","1 points","Black","Main scheme applicant","Not main scheme application","70","65","0.889","0"
"2016","1 points","Black","Main scheme applicant","Not main scheme application","80","70","0.897","0"
"2017","1 points","Black","Main scheme applicant","Not main scheme application","70","65","0.917","0"
"2018","1 points","Black","Main scheme applicant","Not main scheme application","65","55","0.905","0"
"2019","1 points","Black","Main scheme applicant","Not main scheme application","65","65","0.985","0"
"2020","1 points","Black","Main scheme applicant","Not main scheme application","55","45","0.855","0"
"2021","1 points","Black","Main scheme applicant","Not main scheme application","80","70","0.899","0"
"2022","1 points","Black","Main scheme applicant","Not main scheme application","85","75","0.894","0"
"2023","1 points","Black","Main scheme applicant","Not main scheme application","70","65","0.928","0"
"2010","2 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","2 points","Black","Main scheme applicant","Not main scheme application","20","15","0.8","0"
"2012","2 points","Black","Main scheme applicant","Not main scheme application","30","25","0.8210000000000001","0"
"2013","2 points","Black","Main scheme applicant","Not main scheme application","40","30","0.789","0"
"2014","2 points","Black","Main scheme applicant","Not main scheme application","40","30","0.842","0"
"2015","2 points","Black","Main scheme applicant","Not main scheme application","40","35","0.902","0"
"2016","2 points","Black","Main scheme applicant","Not main scheme application","40","35","0.786","0"
"2017","2 points","Black","Main scheme applicant","Not main scheme application","35","30","0.889","0"
"2018","2 points","Black","Main scheme applicant","Not main scheme application","30","25","0.931","0"
"2019","2 points","Black","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2020","2 points","Black","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2021","2 points","Black","Main scheme applicant","Not main scheme application","40","40","0.927","0"
"2022","2 points","Black","Main scheme applicant","Not main scheme application","45","40","0.872","0"
"2023","2 points","Black","Main scheme applicant","Not main scheme application","45","40","0.864","0"
"2010","3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","3 points","Black","Main scheme applicant","Not main scheme application","30","20","0.724","0"
"2013","3 points","Black","Main scheme applicant","Not main scheme application","30","25","0.857","0"
"2014","3 points","Black","Main scheme applicant","Not main scheme application","20","20","0.857","0"
"2015","3 points","Black","Main scheme applicant","Not main scheme application","35","25","0.788","0"
"2016","3 points","Black","Main scheme applicant","Not main scheme application","30","20","0.759","0"
"2017","3 points","Black","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2018","3 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","3 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","3 points","Black","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2021","3 points","Black","Main scheme applicant","Not main scheme application","25","25","1","0"
"2022","3 points","Black","Main scheme applicant","Not main scheme application","20","20","1","0"
"2023","3 points","Black","Main scheme applicant","Not main scheme application","15","15","1","0"
"2011","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","More than 3 points","Black","Main scheme applicant","Not main scheme application","10","10","1","0"
"2013","More than 3 points","Black","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2014","More than 3 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","More than 3 points","Black","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2016","More than 3 points","Black","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2017","More than 3 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","More than 3 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","More than 3 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","More than 3 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","Black","Main scheme applicant","Not main scheme application","30","20","0.625","0"
"2011","-1 points","Black","Main scheme applicant","Not main scheme application","45","30","0.721","0"
"2012","-1 points","Black","Main scheme applicant","Not main scheme application","45","35","0.778","0"
"2013","-1 points","Black","Main scheme applicant","Not main scheme application","60","50","0.881","0"
"2014","-1 points","Black","Main scheme applicant","Not main scheme application","55","50","0.895","0"
"2015","-1 points","Black","Main scheme applicant","Not main scheme application","85","75","0.869","0"
"2016","-1 points","Black","Main scheme applicant","Not main scheme application","80","70","0.863","0"
"2017","-1 points","Black","Main scheme applicant","Not main scheme application","70","65","0.9420000000000001","0"
"2018","-1 points","Black","Main scheme applicant","Not main scheme application","45","40","0.9530000000000001","0"
"2019","-1 points","Black","Main scheme applicant","Not main scheme application","80","75","0.914","0"
"2020","-1 points","Black","Main scheme applicant","Not main scheme application","75","70","0.895","0"
"2021","-1 points","Black","Main scheme applicant","Not main scheme application","85","85","0.9540000000000001","0"
"2022","-1 points","Black","Main scheme applicant","Not main scheme application","110","105","0.937","0"
"2023","-1 points","Black","Main scheme applicant","Not main scheme application","115","105","0.93","0"
"2010","-2 points","Black","Main scheme applicant","Not main scheme application","20","10","0.579","0"
"2011","-2 points","Black","Main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2012","-2 points","Black","Main scheme applicant","Not main scheme application","20","10","0.611","0"
"2013","-2 points","Black","Main scheme applicant","Not main scheme application","35","30","0.848","0"
"2014","-2 points","Black","Main scheme applicant","Not main scheme application","45","40","0.889","0"
"2015","-2 points","Black","Main scheme applicant","Not main scheme application","50","45","0.86","0"
"2016","-2 points","Black","Main scheme applicant","Not main scheme application","40","35","0.8250000000000001","0"
"2017","-2 points","Black","Main scheme applicant","Not main scheme application","40","35","0.923","0"
"2018","-2 points","Black","Main scheme applicant","Not main scheme application","40","35","0.925","0"
"2019","-2 points","Black","Main scheme applicant","Not main scheme application","40","40","0.905","0"
"2020","-2 points","Black","Main scheme applicant","Not main scheme application","45","40","0.911","0"
"2021","-2 points","Black","Main scheme applicant","Not main scheme application","55","45","0.887","0"
"2022","-2 points","Black","Main scheme applicant","Not main scheme application","70","60","0.897","0"
"2023","-2 points","Black","Main scheme applicant","Not main scheme application","75","70","0.9460000000000001","0"
"2010","-3 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","-3 points","Black","Main scheme applicant","Not main scheme application","15","10","0.714","0"
"2012","-3 points","Black","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2013","-3 points","Black","Main scheme applicant","Not main scheme application","20","15","0.81","0"
"2014","-3 points","Black","Main scheme applicant","Not main scheme application","25","20","0.875","0"
"2015","-3 points","Black","Main scheme applicant","Not main scheme application","35","30","0.833","0"
"2016","-3 points","Black","Main scheme applicant","Not main scheme application","25","20","0.875","0"
"2017","-3 points","Black","Main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2018","-3 points","Black","Main scheme applicant","Not main scheme application","20","15","0.773","0"
"2019","-3 points","Black","Main scheme applicant","Not main scheme application","30","25","0.867","0"
"2020","-3 points","Black","Main scheme applicant","Not main scheme application","30","25","0.929","0"
"2021","-3 points","Black","Main scheme applicant","Not main scheme application","45","40","0.977","0"
"2022","-3 points","Black","Main scheme applicant","Not main scheme application","45","35","0.8140000000000001","0"
"2023","-3 points","Black","Main scheme applicant","Not main scheme application","45","40","0.872","0"
"2010","-4 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-4 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","-4 points","Black","Main scheme applicant","Not main scheme application","15","10","0.706","0"
"2013","-4 points","Black","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2014","-4 points","Black","Main scheme applicant","Not main scheme application","15","10","0.706","0"
"2015","-4 points","Black","Main scheme applicant","Not main scheme application","25","20","0.731","0"
"2016","-4 points","Black","Main scheme applicant","Not main scheme application","10","10","1","0"
"2017","-4 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","-4 points","Black","Main scheme applicant","Not main scheme application","20","20","0.909","0"
"2019","-4 points","Black","Main scheme applicant","Not main scheme application","20","20","0.864","0"
"2020","-4 points","Black","Main scheme applicant","Not main scheme application","20","20","1","0"
"2021","-4 points","Black","Main scheme applicant","Not main scheme application","25","20","0.9570000000000001","0"
"2022","-4 points","Black","Main scheme applicant","Not main scheme application","30","25","0.862","0"
"2023","-4 points","Black","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2010","-5 points","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2011","-5 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","-5 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-5 points","Black","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2015","-5 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-5 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","-5 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","-5 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","-5 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","-5 points","Black","Main scheme applicant","Not main scheme application","15","15","1","0"
"2021","-5 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","-5 points","Black","Main scheme applicant","Not main scheme application","30","25","0.767","0"
"2011","-6 points","Black","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-6 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","-6 points","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-6 points","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","-6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","Less than -6 points","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
