"Year","Difference between predicted and achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","-1 points","Mixed","Main scheme applicant","All","175","145","0.808","0"
"2020","-1 points","Mixed","Main scheme applicant","All","180","160","0.894","0"
"2021","-1 points","Mixed","Main scheme applicant","All","220","180","0.8260000000000001","0"
"2022","-1 points","Mixed","Main scheme applicant","All","210","170","0.806","0"
"2023","-1 points","Mixed","Main scheme applicant","All","240","195","0.8200000000000001","0"
"2010","-2 points","Mixed","Main scheme applicant","All","35","20","0.514","0"
"2011","-2 points","Mixed","Main scheme applicant","All","40","20","0.429","0"
"2012","-2 points","Mixed","Main scheme applicant","All","60","40","0.677","0"
"2013","-2 points","Mixed","Main scheme applicant","All","60","40","0.644","0"
"2014","-2 points","Mixed","Main scheme applicant","All","85","60","0.726","0"
"2015","-2 points","Mixed","Main scheme applicant","All","90","65","0.727","0"
"2016","-2 points","Mixed","Main scheme applicant","All","95","65","0.6910000000000001","0"
"2017","-2 points","Mixed","Main scheme applicant","All","70","55","0.786","0"
"2018","-2 points","Mixed","Main scheme applicant","All","70","60","0.859","0"
"2019","-2 points","Mixed","Main scheme applicant","All","95","80","0.851","0"
"2020","-2 points","Mixed","Main scheme applicant","All","95","85","0.915","0"
"2021","-2 points","Mixed","Main scheme applicant","All","110","90","0.807","0"
"2022","-2 points","Mixed","Main scheme applicant","All","145","110","0.772","0"
"2023","-2 points","Mixed","Main scheme applicant","All","130","95","0.725","0"
"2010","-3 points","Mixed","Main scheme applicant","All","30","15","0.464","0"
"2011","-3 points","Mixed","Main scheme applicant","All","20","10","0.524","0"
"2012","-3 points","Mixed","Main scheme applicant","All","25","15","0.609","0"
"2013","-3 points","Mixed","Main scheme applicant","All","40","25","0.711","0"
"2014","-3 points","Mixed","Main scheme applicant","All","50","35","0.68","0"
"2015","-3 points","Mixed","Main scheme applicant","All","45","30","0.727","0"
"2016","-3 points","Mixed","Main scheme applicant","All","55","40","0.737","0"
"2017","-3 points","Mixed","Main scheme applicant","All","35","25","0.743","0"
"2018","-3 points","Mixed","Main scheme applicant","All","40","30","0.789","0"
"2019","-3 points","Mixed","Main scheme applicant","All","55","45","0.8300000000000001","0"
"2020","-3 points","Mixed","Main scheme applicant","All","50","45","0.898","0"
"2021","-3 points","Mixed","Main scheme applicant","All","40","35","0.8250000000000001","0"
"2022","-3 points","Mixed","Main scheme applicant","All","55","45","0.768","0"
"2023","-3 points","Mixed","Main scheme applicant","All","60","50","0.8140000000000001","0"
"2010","-4 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2011","-4 points","Mixed","Main scheme applicant","All","20","10","0.5","0"
"2012","-4 points","Mixed","Main scheme applicant","All","35","15","0.41200000000000003","0"
"2013","-4 points","Mixed","Main scheme applicant","All","20","10","0.632","0"
"2014","-4 points","Mixed","Main scheme applicant","All","25","10","0.444","0"
"2015","-4 points","Mixed","Main scheme applicant","All","35","15","0.429","0"
"2016","-4 points","Mixed","Main scheme applicant","All","35","20","0.636","0"
"2017","-4 points","Mixed","Main scheme applicant","All","20","15","0.773","0"
"2018","-4 points","Mixed","Main scheme applicant","All","20","10","0.545","0"
"2019","-4 points","Mixed","Main scheme applicant","All","30","15","0.533","0"
"2020","-4 points","Mixed","Main scheme applicant","All","25","20","0.778","0"
"2021","-4 points","Mixed","Main scheme applicant","All","25","15","0.6","0"
"2022","-4 points","Mixed","Main scheme applicant","All","40","30","0.683","0"
"2023","-4 points","Mixed","Main scheme applicant","All","30","15","0.5","0"
"2010","-5 points","Mixed","Main scheme applicant","All","10","10"," ","0"
"2011","-5 points","Mixed","Main scheme applicant","All","15","10"," ","0"
"2012","-5 points","Mixed","Main scheme applicant","All","10","10"," ","0"
"2013","-5 points","Mixed","Main scheme applicant","All","20","10"," ","0"
"2014","-5 points","Mixed","Main scheme applicant","All","20","10","0.5710000000000001","0"
"2015","-5 points","Mixed","Main scheme applicant","All","15","10"," ","0"
"2016","-5 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2017","-5 points","Mixed","Main scheme applicant","All","20","15","0.7000000000000001","0"
"2018","-5 points","Mixed","Main scheme applicant","All","10","10"," ","0"
"2019","-5 points","Mixed","Main scheme applicant","All","20","10","0.6","0"
"2020","-5 points","Mixed","Main scheme applicant","All","10","10"," ","0"
"2021","-5 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2022","-5 points","Mixed","Main scheme applicant","All","25","15","0.609","0"
"2023","-5 points","Mixed","Main scheme applicant","All","15","5"," ","0"
"2010","-6 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2011","-6 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2012","-6 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2013","-6 points","Mixed","Main scheme applicant","All","10","10","0.833","0"
"2014","-6 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2015","-6 points","Mixed","Main scheme applicant","All","15","5"," ","0"
"2016","-6 points","Mixed","Main scheme applicant","All","15","5"," ","0"
"2017","-6 points","Mixed","Main scheme applicant","All","15","5"," ","0"
"2018","-6 points","Mixed","Main scheme applicant","All","10","10"," ","0"
"2019","-6 points","Mixed","Main scheme applicant","All","10","10"," ","0"
"2020","-6 points","Mixed","Main scheme applicant","All","10","10"," ","0"
"2021","-6 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2022","-6 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2023","-6 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2011","Less than -6 points","Mixed","Main scheme applicant","All","10","10"," ","0"
"2012","Less than -6 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2013","Less than -6 points","Mixed","Main scheme applicant","All","20","10","0.5710000000000001","0"
"2014","Less than -6 points","Mixed","Main scheme applicant","All","15","10","0.786","0"
"2015","Less than -6 points","Mixed","Main scheme applicant","All","45","35","0.756","0"
"2016","Less than -6 points","Mixed","Main scheme applicant","All","25","20","0.667","0"
"2017","Less than -6 points","Mixed","Main scheme applicant","All","25","15","0.739","0"
"2018","Less than -6 points","Mixed","Main scheme applicant","All","35","20","0.667","0"
"2019","Less than -6 points","Mixed","Main scheme applicant","All","30","20","0.679","0"
"2020","Less than -6 points","Mixed","Main scheme applicant","All","20","15","0.833","0"
"2021","Less than -6 points","Mixed","Main scheme applicant","All","10","5"," ","0"
"2022","Less than -6 points","Mixed","Main scheme applicant","All","25","10","0.40700000000000003","0"
"2023","Less than -6 points","Mixed","Main scheme applicant","All","20","10","0.6","0"
"2010","0 points","Other","Main scheme applicant","All","60","50","0.787","0"
"2011","0 points","Other","Main scheme applicant","All","65","55","0.836","0"
"2012","0 points","Other","Main scheme applicant","All","55","50","0.893","0"
"2013","0 points","Other","Main scheme applicant","All","70","55","0.838","0"
"2014","0 points","Other","Main scheme applicant","All","85","75","0.849","0"
"2015","0 points","Other","Main scheme applicant","All","140","125","0.907","0"
"2016","0 points","Other","Main scheme applicant","All","115","110","0.9390000000000001","0"
"2017","0 points","Other","Main scheme applicant","All","145","135","0.918","0"
"2018","0 points","Other","Main scheme applicant","All","165","160","0.9520000000000001","0"
"2019","0 points","Other","Main scheme applicant","All","150","130","0.886","0"
"2020","0 points","Other","Main scheme applicant","All","185","170","0.904","0"
"2021","0 points","Other","Main scheme applicant","All","255","240","0.93","0"
"2022","0 points","Other","Main scheme applicant","All","190","170","0.905","0"
"2023","0 points","Other","Main scheme applicant","All","205","180","0.86","0"
"2010","1 points","Other","Main scheme applicant","All","35","25","0.794","0"
"2011","1 points","Other","Main scheme applicant","All","45","40","0.884","0"
"2012","1 points","Other","Main scheme applicant","All","40","35","0.854","0"
"2013","1 points","Other","Main scheme applicant","All","55","55","0.964","0"
"2014","1 points","Other","Main scheme applicant","All","60","55","0.917","0"
"2015","1 points","Other","Main scheme applicant","All","90","85","0.935","0"
"2016","1 points","Other","Main scheme applicant","All","85","75","0.884","0"
"2017","1 points","Other","Main scheme applicant","All","95","90","0.9380000000000001","0"
"2018","1 points","Other","Main scheme applicant","All","100","90","0.918","0"
"2019","1 points","Other","Main scheme applicant","All","105","100","0.934","0"
"2020","1 points","Other","Main scheme applicant","All","140","130","0.921","0"
"2021","1 points","Other","Main scheme applicant","All","135","120","0.91","0"
"2022","1 points","Other","Main scheme applicant","All","165","155","0.916","0"
"2023","1 points","Other","Main scheme applicant","All","160","150","0.932","0"
"2010","2 points","Other","Main scheme applicant","All","15","15","0.9410000000000001","0"
"2011","2 points","Other","Main scheme applicant","All","10","5"," ","0"
"2012","2 points","Other","Main scheme applicant","All","20","15","0.889","0"
"2013","2 points","Other","Main scheme applicant","All","40","35","0.833","0"
"2014","2 points","Other","Main scheme applicant","All","35","30","0.909","0"
"2015","2 points","Other","Main scheme applicant","All","35","30","0.9390000000000001","0"
"2016","2 points","Other","Main scheme applicant","All","45","40","0.851","0"
"2017","2 points","Other","Main scheme applicant","All","50","50","0.923","0"
"2018","2 points","Other","Main scheme applicant","All","45","40","0.9550000000000001","0"
"2019","2 points","Other","Main scheme applicant","All","50","45","0.918","0"
"2020","2 points","Other","Main scheme applicant","All","60","55","0.917","0"
"2021","2 points","Other","Main scheme applicant","All","60","55","0.919","0"
"2022","2 points","Other","Main scheme applicant","All","80","75","0.9510000000000001","0"
"2023","2 points","Other","Main scheme applicant","All","70","60","0.886","0"
"2011","3 points","Other","Main scheme applicant","All","5","5"," ","0"
"2012","3 points","Other","Main scheme applicant","All","20","20","0.905","0"
"2013","3 points","Other","Main scheme applicant","All","25","25","0.962","0"
"2014","3 points","Other","Main scheme applicant","All","25","25","0.926","0"
"2015","3 points","Other","Main scheme applicant","All","25","20","0.917","0"
"2016","3 points","Other","Main scheme applicant","All","25","25","0.852","0"
"2017","3 points","Other","Main scheme applicant","All","25","20","0.913","0"
"2018","3 points","Other","Main scheme applicant","All","20","20","0.9500000000000001","0"
"2019","3 points","Other","Main scheme applicant","All","20","15","0.9440000000000001","0"
"2020","3 points","Other","Main scheme applicant","All","20","20","1","0"
"2021","3 points","Other","Main scheme applicant","All","30","30","0.933","0"
"2022","3 points","Other","Main scheme applicant","All","30","25","0.893","0"
"2023","3 points","Other","Main scheme applicant","All","30","25","0.867","0"
"2011","More than 3 points","Other","Main scheme applicant","All","5","5"," ","0"
"2012","More than 3 points","Other","Main scheme applicant","All","5","5"," ","0"
"2013","More than 3 points","Other","Main scheme applicant","All","10","10"," ","0"
"2014","More than 3 points","Other","Main scheme applicant","All","10","10","1","0"
"2015","More than 3 points","Other","Main scheme applicant","All","20","15","0.778","0"
"2016","More than 3 points","Other","Main scheme applicant","All","10","5"," ","0"
"2017","More than 3 points","Other","Main scheme applicant","All","5","5"," ","0"
"2018","More than 3 points","Other","Main scheme applicant","All","10","10"," ","0"
"2019","More than 3 points","Other","Main scheme applicant","All","5","5"," ","0"
"2020","More than 3 points","Other","Main scheme applicant","All","5","5"," ","0"
"2021","More than 3 points","Other","Main scheme applicant","All","15","10","0.923","0"
"2022","More than 3 points","Other","Main scheme applicant","All","10","5"," ","0"
"2023","More than 3 points","Other","Main scheme applicant","All","10","10"," ","0"
"2010","-1 points","Other","Main scheme applicant","All","20","15","0.65","0"
"2011","-1 points","Other","Main scheme applicant","All","25","15","0.708","0"
"2012","-1 points","Other","Main scheme applicant","All","20","15","0.8","0"
"2013","-1 points","Other","Main scheme applicant","All","50","40","0.804","0"
"2014","-1 points","Other","Main scheme applicant","All","65","50","0.769","0"
"2015","-1 points","Other","Main scheme applicant","All","65","60","0.909","0"
"2016","-1 points","Other","Main scheme applicant","All","75","65","0.877","0"
"2017","-1 points","Other","Main scheme applicant","All","60","55","0.869","0"
"2018","-1 points","Other","Main scheme applicant","All","80","70","0.872","0"
"2019","-1 points","Other","Main scheme applicant","All","100","90","0.911","0"
"2020","-1 points","Other","Main scheme applicant","All","95","85","0.905","0"
"2021","-1 points","Other","Main scheme applicant","All","140","130","0.928","0"
"2022","-1 points","Other","Main scheme applicant","All","160","135","0.862","0"
