"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","All","25 - 29","EU (excluding UK)","195","35","0.19"
"2022","All","25 - 29","EU (excluding UK)","140","45","0.336"
"2023","All","25 - 29","EU (excluding UK)","70","15","0.186"
"2019","All","30 - 34","EU (excluding UK)","120","25","0.2"
"2020","All","30 - 34","EU (excluding UK)","95","25","0.274"
"2021","All","30 - 34","EU (excluding UK)","55","5"," "
"2022","All","30 - 34","EU (excluding UK)","35","10"," "
"2023","All","30 - 34","EU (excluding UK)","25","5"," "
"2019","All","35 and over","EU (excluding UK)","55","10","0.218"
"2020","All","35 and over","EU (excluding UK)","50","10"," "
"2021","All","35 and over","EU (excluding UK)","30","0"," "
"2022","All","35 and over","EU (excluding UK)","35","5"," "
"2023","All","35 and over","EU (excluding UK)","35","5"," "
"2019","Female","All","Northern Ireland","225","40","0.178"
"2020","Female","All","Northern Ireland","165","30","0.194"
"2021","Female","All","Northern Ireland","240","45","0.192"
"2022","Female","All","Northern Ireland","160","40","0.263"
"2023","Female","All","Northern Ireland","125","20","0.16"
"2019","Male","All","Northern Ireland","75","10","0.147"
"2020","Male","All","Northern Ireland","50","5"," "
"2021","Male","All","Northern Ireland","110","10","0.1"
"2022","Male","All","Northern Ireland","100","35","0.37"
"2023","Male","All","Northern Ireland","35","10","0.28600000000000003"
"2019","Female","All","England","245","70","0.278"
"2020","Female","All","England","185","55","0.28600000000000003"
"2021","Female","All","England","370","95","0.254"
"2022","Female","All","England","360","120","0.339"
"2023","Female","All","England","245","105","0.437"
"2019","Male","All","England","105","25","0.257"
"2020","Male","All","England","105","30","0.276"
"2021","Male","All","England","130","30","0.223"
"2022","Male","All","England","180","50","0.267"
"2023","Male","All","England","150","60","0.40700000000000003"
"2019","Female","All","Scotland","10865","2530","0.233"
"2020","Female","All","Scotland","11265","2735","0.243"
"2021","Female","All","Scotland","14145","2920","0.20600000000000002"
"2022","Female","All","Scotland","10075","2670","0.265"
"2023","Female","All","Scotland","8015","2395","0.299"
"2019","Male","All","Scotland","4280","930","0.218"
"2020","Male","All","Scotland","4230","985","0.233"
"2021","Male","All","Scotland","5410","1075","0.199"
"2022","Male","All","Scotland","4140","990","0.23900000000000002"
"2023","Male","All","Scotland","3150","810","0.257"
"2019","Female","All","Wales","10","5"," "
"2020","Female","All","Wales","25","5"," "
"2021","Female","All","Wales","5","0"," "
"2022","Female","All","Wales","1710","905","0.53"
"2023","Female","All","Wales","1550","790","0.509"
"2019","Male","All","Wales","10","0"," "
"2020","Male","All","Wales","10","0"," "
"2021","Male","All","Wales","5","0"," "
"2022","Male","All","Wales","690","330","0.48"
"2023","Male","All","Wales","600","305","0.512"
"2019","Female","All","Not EU","140","35","0.243"
"2020","Female","All","Not EU","165","45","0.267"
"2021","Female","All","Not EU","155","30","0.187"
"2022","Female","All","Not EU","225","55","0.249"
"2023","Female","All","Not EU","220","35","0.155"
"2019","Male","All","Not EU","50","10"," "
"2020","Male","All","Not EU","65","15","0.215"
"2021","Male","All","Not EU","60","5"," "
"2022","Male","All","Not EU","170","45","0.253"
"2023","Male","All","Not EU","95","20","0.189"
"2019","Female","All","EU (excluding UK)","605","110","0.179"
"2020","Female","All","EU (excluding UK)","690","140","0.203"
"2021","Female","All","EU (excluding UK)","450","80","0.182"
"2022","Female","All","EU (excluding UK)","310","80","0.265"
"2023","Female","All","EU (excluding UK)","230","55","0.23"
"2019","Male","All","EU (excluding UK)","210","35","0.157"
"2020","Male","All","EU (excluding UK)","220","50","0.223"
"2021","Male","All","EU (excluding UK)","125","15","0.136"
"2022","Male","All","EU (excluding UK)","110","20","0.17300000000000001"
"2023","Male","All","EU (excluding UK)","60","5"," "
"2019","All","All","Northern Ireland","300","50","0.17"
"2020","All","All","Northern Ireland","215","35","0.167"
"2021","All","All","Northern Ireland","350","55","0.163"
"2022","All","All","Northern Ireland","260","80","0.304"
"2023","All","All","Northern Ireland","155","30","0.194"
"2019","All","All","England","355","95","0.268"
"2020","All","All","England","295","80","0.278"
"2021","All","All","England","500","125","0.246"
"2022","All","All","England","540","170","0.315"
"2023","All","All","England","395","170","0.425"
"2019","All","All","Scotland","15145","3460","0.229"
"2020","All","All","Scotland","15495","3720","0.24"
"2021","All","All","Scotland","19555","3995","0.20400000000000001"
"2022","All","All","Scotland","14220","3660","0.257"
"2023","All","All","Scotland","11165","3205","0.28700000000000003"
"2019","All","All","Wales","20","5"," "
"2020","All","All","Wales","30","5"," "
"2021","All","All","Wales","10","5"," "
"2022","All","All","Wales","2400","1235","0.515"
"2023","All","All","Wales","2150","1095","0.51"
"2019","All","All","Not EU","195","40","0.215"
"2020","All","All","Not EU","230","60","0.252"
