"Year","Subject group HECoS","Age group","Domicile","Gender","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2020","(CAH06) agriculture, food and related studies","18","Northern Ireland","Female","0","15","10","30"
"2020","(CAH06) agriculture, food and related studies","18","Wales","Female","0","10","40","55"
"2021","(CAH06) agriculture, food and related studies","18","England","Female","0","50","35","85"
"2022","(CAH06) agriculture, food and related studies","18","England","Female","0","150","45","190"
"2022","(CAH06) agriculture, food and related studies","18","Wales","Female","0","5","10","15"
"2023","(CAH06) agriculture, food and related studies","18","England","Female","0","125","10","135"
"2023","(CAH06) agriculture, food and related studies","18","Northern Ireland","Female","0","5","0","5"
"2023","(CAH06) agriculture, food and related studies","18","Wales","Female","0","0","5","5"
"2019","(CAH16) law","18","England","Female","4090","1475","860","6425"
"2019","(CAH16) law","18","Northern Ireland","Female","25","15","5","40"
"2019","(CAH16) law","18","Wales","Female","90","135","20","245"
"2020","(CAH16) law","18","England","Female","1940","3150","2090","7180"
"2020","(CAH16) law","18","Northern Ireland","Female","10","15","65","95"
"2020","(CAH16) law","18","Wales","Female","25","160","210","395"
"2021","(CAH16) law","18","England","Female","0","975","125","1095"
"2021","(CAH16) law","18","Northern Ireland","Female","0","10","0","10"
"2021","(CAH16) law","18","Wales","Female","0","145","25","165"
"2022","(CAH16) law","18","England","Female","265","1670","475","2405"
"2022","(CAH16) law","18","Northern Ireland","Female","0","10","5","15"
"2022","(CAH16) law","18","Wales","Female","5","50","50","100"
"2023","(CAH16) law","18","England","Female","0","1270","285","1560"
"2023","(CAH16) law","18","Northern Ireland","Female","0","5","0","5"
"2023","(CAH16) law","18","Wales","Female","0","10","15","25"
"2019","(CAH05) veterinary sciences","18","England","Female","5","0","0","5"
"2020","(CAH05) veterinary sciences","18","England","Female","0","35","5","40"
"2020","(CAH05) veterinary sciences","18","Wales","Female","0","5","0","5"
"2021","(CAH05) veterinary sciences","18","England","Female","0","10","0","10"
"2022","(CAH05) veterinary sciences","18","England","Female","0","5","5","10"
"2023","(CAH05) veterinary sciences","18","England","Female","0","5","10","15"
"2019","(CAH25) design, and creative and performing arts","18","England","Male","2265","2455","770","5495"
"2019","(CAH25) design, and creative and performing arts","18","Northern Ireland","Male","25","25","5","55"
"2019","(CAH25) design, and creative and performing arts","18","Wales","Male","60","185","20","265"
"2020","(CAH25) design, and creative and performing arts","18","England","Male","990","3255","1790","6035"
"2020","(CAH25) design, and creative and performing arts","18","Northern Ireland","Male","5","35","40","80"
"2020","(CAH25) design, and creative and performing arts","18","Wales","Male","15","220","85","320"
"2021","(CAH25) design, and creative and performing arts","18","England","Male","0","2505","530","3030"
"2021","(CAH25) design, and creative and performing arts","18","Northern Ireland","Male","0","20","5","25"
"2021","(CAH25) design, and creative and performing arts","18","Wales","Male","0","200","10","210"
"2022","(CAH25) design, and creative and performing arts","18","England","Male","155","3580","475","4210"
"2022","(CAH25) design, and creative and performing arts","18","Northern Ireland","Male","0","35","0","40"
"2022","(CAH25) design, and creative and performing arts","18","Wales","Male","0","155","15","175"
"2023","(CAH25) design, and creative and performing arts","18","England","Male","0","2235","1125","3360"
"2023","(CAH25) design, and creative and performing arts","18","Northern Ireland","Male","0","15","10","25"
"2023","(CAH25) design, and creative and performing arts","18","Wales","Male","0","120","40","160"
"2019","(CAH10) engineering and technology","18","England","Male","2875","755","670","4300"
"2019","(CAH10) engineering and technology","18","Northern Ireland","Male","30","10","5","40"
"2019","(CAH10) engineering and technology","18","Wales","Male","65","90","15","170"
"2020","(CAH10) engineering and technology","18","England","Male","905","1715","1830","4445"
"2020","(CAH10) engineering and technology","18","Northern Ireland","Male","5","20","80","110"
"2020","(CAH10) engineering and technology","18","Wales","Male","15","65","65","145"
"2021","(CAH10) engineering and technology","18","England","Male","0","705","55","760"
"2021","(CAH10) engineering and technology","18","Northern Ireland","Male","0","15","0","15"
"2021","(CAH10) engineering and technology","18","Wales","Male","0","75","0","75"
"2022","(CAH10) engineering and technology","18","England","Male","255","765","235","1250"
"2022","(CAH10) engineering and technology","18","Northern Ireland","Male","5","5","0","10"
"2022","(CAH10) engineering and technology","18","Wales","Male","10","20","5","35"
"2023","(CAH10) engineering and technology","18","England","Male","0","490","260","750"
"2023","(CAH10) engineering and technology","18","Wales","Male","0","5","5","10"
"2019","(CAH02) subjects allied to medicine","18","England","Male","780","315","210","1305"
"2019","(CAH02) subjects allied to medicine","18","Northern Ireland","Male","5","0","5","10"
"2019","(CAH02) subjects allied to medicine","18","Wales","Male","5","0","5","10"
"2020","(CAH02) subjects allied to medicine","18","England","Male","265","585","375","1225"
"2020","(CAH02) subjects allied to medicine","18","Northern Ireland","Male","0","10","20","25"
"2020","(CAH02) subjects allied to medicine","18","Wales","Male","5","5","20","30"
"2021","(CAH02) subjects allied to medicine","18","England","Male","0","330","35","365"
"2021","(CAH02) subjects allied to medicine","18","Northern Ireland","Male","0","5","0","5"
"2021","(CAH02) subjects allied to medicine","18","Wales","Male","0","20","0","20"
"2022","(CAH02) subjects allied to medicine","18","England","Male","70","445","150","660"
"2022","(CAH02) subjects allied to medicine","18","Northern Ireland","Male","0","5","0","5"
"2022","(CAH02) subjects allied to medicine","18","Wales","Male","0","10","5","20"
"2023","(CAH02) subjects allied to medicine","18","England","Male","0","265","110","375"
"2023","(CAH02) subjects allied to medicine","18","Northern Ireland","Male","0","0","0","5"
"2023","(CAH02) subjects allied to medicine","18","Wales","Male","0","0","5","5"
"2019","(CAH19) language and area studies","18","England","Male","935","170","180","1285"
"2019","(CAH19) language and area studies","18","Northern Ireland","Male","10","0","5","15"
"2019","(CAH19) language and area studies","18","Wales","Male","25","10","5","40"
"2020","(CAH19) language and area studies","18","England","Male","220","470","335","1025"
"2020","(CAH19) language and area studies","18","Northern Ireland","Male","5","10","15","30"
"2020","(CAH19) language and area studies","18","Wales","Male","5","15","45","65"
"2021","(CAH19) language and area studies","18","England","Male","0","170","10","180"
"2021","(CAH19) language and area studies","18","Northern Ireland","Male","0","5","0","5"
"2021","(CAH19) language and area studies","18","Wales","Male","0","10","0","10"
"2022","(CAH19) language and area studies","18","England","Male","20","145","75","240"
"2022","(CAH19) language and area studies","18","Wales","Male","0","0","10","10"
"2023","(CAH19) language and area studies","18","England","Male","0","150","55","205"
"2023","(CAH19) language and area studies","18","Wales","Male","0","5","5","10"
"2019","(CAH24) media, journalism and communications","18","England","Male","1175","630","365","2170"
"2019","(CAH24) media, journalism and communications","18","Northern Ireland","Male","15","5","5","25"
"2019","(CAH24) media, journalism and communications","18","Wales","Male","45","50","10","105"
"2020","(CAH24) media, journalism and communications","18","England","Male","560","1275","750","2585"
"2020","(CAH24) media, journalism and communications","18","Northern Ireland","Male","0","15","35","50"
"2020","(CAH24) media, journalism and communications","18","Wales","Male","5","55","65","125"
"2021","(CAH24) media, journalism and communications","18","England","Male","0","460","80","540"
"2021","(CAH24) media, journalism and communications","18","Northern Ireland","Male","0","5","0","5"
