"Year","Tariff group of provider released from","Tariff group of provider accepted to","Age group","Domicile","Gender","Placed after self-releasing"
"2020","Higher tariff","Lower tariff","20","England","Female","5"
"2021","Higher tariff","Lower tariff","20","England","Female","10"
"2022","Higher tariff","Lower tariff","20","England","Female","5"
"2023","Higher tariff","Lower tariff","20","England","Female","10"
"2019","Lower tariff","Medium tariff","20","England","Female","40"
"2020","Lower tariff","Medium tariff","20","England","Female","60"
"2021","Lower tariff","Medium tariff","20","England","Female","55"
"2022","Lower tariff","Medium tariff","20","England","Female","40"
"2023","Lower tariff","Medium tariff","20","England","Female","60"
"2019","Medium tariff","Medium tariff","20","England","Female","55"
"2020","Medium tariff","Medium tariff","20","England","Female","65"
"2021","Medium tariff","Medium tariff","20","England","Female","45"
"2022","Medium tariff","Medium tariff","20","England","Female","45"
"2023","Medium tariff","Medium tariff","20","England","Female","60"
"2019","Higher tariff","Medium tariff","20","England","Female","5"
"2020","Higher tariff","Medium tariff","20","England","Female","10"
"2021","Higher tariff","Medium tariff","20","England","Female","20"
"2022","Higher tariff","Medium tariff","20","England","Female","15"
"2023","Higher tariff","Medium tariff","20","England","Female","10"
"2019","Lower tariff","Higher tariff","20","England","Female","10"
"2020","Lower tariff","Higher tariff","20","England","Female","10"
"2021","Lower tariff","Higher tariff","20","England","Female","5"
"2022","Lower tariff","Higher tariff","20","England","Female","5"
"2023","Lower tariff","Higher tariff","20","England","Female","10"
"2019","Medium tariff","Higher tariff","20","England","Female","15"
"2020","Medium tariff","Higher tariff","20","England","Female","25"
"2021","Medium tariff","Higher tariff","20","England","Female","10"
"2022","Medium tariff","Higher tariff","20","England","Female","10"
"2023","Medium tariff","Higher tariff","20","England","Female","20"
"2019","Higher tariff","Higher tariff","20","England","Female","15"
"2020","Higher tariff","Higher tariff","20","England","Female","25"
"2021","Higher tariff","Higher tariff","20","England","Female","10"
"2022","Higher tariff","Higher tariff","20","England","Female","10"
"2023","Higher tariff","Higher tariff","20","England","Female","15"
"2019","N/A","N/A","21 - 24","England","Female","5"
"2021","N/A","N/A","21 - 24","England","Female","5"
"2022","N/A","N/A","21 - 24","England","Female","15"
"2023","N/A","N/A","21 - 24","England","Female","10"
"2019","Lower tariff","Lower tariff","21 - 24","England","Female","120"
"2020","Lower tariff","Lower tariff","21 - 24","England","Female","140"
"2021","Lower tariff","Lower tariff","21 - 24","England","Female","125"
"2022","Lower tariff","Lower tariff","21 - 24","England","Female","110"
"2023","Lower tariff","Lower tariff","21 - 24","England","Female","125"
"2019","Medium tariff","Lower tariff","21 - 24","England","Female","35"
"2020","Medium tariff","Lower tariff","21 - 24","England","Female","40"
"2021","Medium tariff","Lower tariff","21 - 24","England","Female","40"
"2022","Medium tariff","Lower tariff","21 - 24","England","Female","35"
"2023","Medium tariff","Lower tariff","21 - 24","England","Female","30"
"2019","Higher tariff","Lower tariff","21 - 24","England","Female","5"
"2020","Higher tariff","Lower tariff","21 - 24","England","Female","15"
"2021","Higher tariff","Lower tariff","21 - 24","England","Female","10"
"2022","Higher tariff","Lower tariff","21 - 24","England","Female","5"
"2023","Higher tariff","Lower tariff","21 - 24","England","Female","5"
"2019","Lower tariff","Medium tariff","21 - 24","England","Female","25"
"2020","Lower tariff","Medium tariff","21 - 24","England","Female","55"
"2021","Lower tariff","Medium tariff","21 - 24","England","Female","60"
"2022","Lower tariff","Medium tariff","21 - 24","England","Female","50"
"2023","Lower tariff","Medium tariff","21 - 24","England","Female","45"
"2019","Medium tariff","Medium tariff","21 - 24","England","Female","30"
"2020","Medium tariff","Medium tariff","21 - 24","England","Female","55"
"2021","Medium tariff","Medium tariff","21 - 24","England","Female","40"
"2022","Medium tariff","Medium tariff","21 - 24","England","Female","40"
"2023","Medium tariff","Medium tariff","21 - 24","England","Female","45"
"2019","Higher tariff","Medium tariff","21 - 24","England","Female","5"
"2020","Higher tariff","Medium tariff","21 - 24","England","Female","5"
"2021","Higher tariff","Medium tariff","21 - 24","England","Female","10"
"2022","Higher tariff","Medium tariff","21 - 24","England","Female","10"
"2023","Higher tariff","Medium tariff","21 - 24","England","Female","10"
"2019","Lower tariff","Higher tariff","21 - 24","England","Female","10"
"2020","Lower tariff","Higher tariff","21 - 24","England","Female","10"
"2021","Lower tariff","Higher tariff","21 - 24","England","Female","5"
"2022","Lower tariff","Higher tariff","21 - 24","England","Female","10"
"2023","Lower tariff","Higher tariff","21 - 24","England","Female","5"
"2019","Medium tariff","Higher tariff","21 - 24","England","Female","10"
"2020","Medium tariff","Higher tariff","21 - 24","England","Female","15"
"2021","Medium tariff","Higher tariff","21 - 24","England","Female","5"
"2022","Medium tariff","Higher tariff","21 - 24","England","Female","10"
"2023","Medium tariff","Higher tariff","21 - 24","England","Female","5"
"2019","Higher tariff","Higher tariff","21 - 24","England","Female","15"
"2020","Higher tariff","Higher tariff","21 - 24","England","Female","10"
"2021","Higher tariff","Higher tariff","21 - 24","England","Female","5"
"2022","Higher tariff","Higher tariff","21 - 24","England","Female","10"
"2023","Higher tariff","Higher tariff","21 - 24","England","Female","10"
"2019","N/A","N/A","25 - 29","England","Female","5"
"2020","N/A","N/A","25 - 29","England","Female","5"
"2019","Lower tariff","Lower tariff","25 - 29","England","Female","55"
"2020","Lower tariff","Lower tariff","25 - 29","England","Female","65"
"2021","Lower tariff","Lower tariff","25 - 29","England","Female","40"
"2022","Lower tariff","Lower tariff","25 - 29","England","Female","40"
"2023","Lower tariff","Lower tariff","25 - 29","England","Female","45"
