"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","Male","25 - 29","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","Male","25 - 29","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","25 - 29","England","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","Male","25 - 29","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","25 - 29","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","30 - 34","England","Main scheme applicant","Main scheme application","705","305","0.435","0"
"2020","Female","30 - 34","England","Main scheme applicant","Main scheme application","825","385","0.466","0"
"2021","Female","30 - 34","England","Main scheme applicant","Main scheme application","1180","495","0.422","0"
"2022","Female","30 - 34","England","Main scheme applicant","Main scheme application","1060","445","0.418","0"
"2023","Female","30 - 34","England","Main scheme applicant","Main scheme application","765","340","0.446","0"
"2019","Male","30 - 34","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","30 - 34","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Male","30 - 34","England","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","Male","30 - 34","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","35 and over","England","Main scheme applicant","Main scheme application","780","305","0.395","0"
"2020","Female","35 and over","England","Main scheme applicant","Main scheme application","955","400","0.421","0"
"2021","Female","35 and over","England","Main scheme applicant","Main scheme application","1235","455","0.368","0"
"2022","Female","35 and over","England","Main scheme applicant","Main scheme application","1100","415","0.379","0"
"2023","Female","35 and over","England","Main scheme applicant","Main scheme application","980","425","0.435","0"
"2019","Male","35 and over","England","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","Male","35 and over","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","35 and over","England","Main scheme applicant","Main scheme application","10","0"," ","0"
"2022","Male","35 and over","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","35 and over","England","Main scheme applicant","Main scheme application","10","0"," ","0"
"2019","Female","17 and under","Scotland","Main scheme applicant","Main scheme application","10","0"," ","0"
"2020","Female","17 and under","Scotland","Main scheme applicant","Main scheme application","20","0"," ","0"
"2021","Female","17 and under","Scotland","Main scheme applicant","Main scheme application","15","5"," ","0"
"2022","Female","17 and under","Scotland","Main scheme applicant","Main scheme application","20","0"," ","0"
"2023","Female","17 and under","Scotland","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","Female","18","Scotland","Main scheme applicant","Main scheme application","305","65","0.20600000000000002","0"
"2020","Female","18","Scotland","Main scheme applicant","Main scheme application","245","65","0.273","0"
"2021","Female","18","Scotland","Main scheme applicant","Main scheme application","350","55","0.161","0"
"2022","Female","18","Scotland","Main scheme applicant","Main scheme application","295","60","0.209","0"
"2023","Female","18","Scotland","Main scheme applicant","Main scheme application","195","55","0.272","0"
"2021","Male","18","Scotland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","19","Scotland","Main scheme applicant","Main scheme application","95","25","0.277","0"
"2020","Female","19","Scotland","Main scheme applicant","Main scheme application","85","25","0.321","0"
"2021","Female","19","Scotland","Main scheme applicant","Main scheme application","115","15","0.124","0"
"2022","Female","19","Scotland","Main scheme applicant","Main scheme application","100","20","0.2","0"
"2023","Female","19","Scotland","Main scheme applicant","Main scheme application","95","30","0.32","0"
"2019","Female","20","Scotland","Main scheme applicant","Main scheme application","50","10","0.216","0"
"2020","Female","20","Scotland","Main scheme applicant","Main scheme application","65","10","0.19","0"
"2021","Female","20","Scotland","Main scheme applicant","Main scheme application","65","10","0.149","0"
"2022","Female","20","Scotland","Main scheme applicant","Main scheme application","70","15","0.23500000000000001","0"
"2023","Female","20","Scotland","Main scheme applicant","Main scheme application","45","5"," ","0"
"2019","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","150","35","0.24","0"
"2020","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","200","45","0.222","0"
"2021","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","205","35","0.18","0"
"2022","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","200","40","0.212","0"
"2023","Female","21 - 24","Scotland","Main scheme applicant","Main scheme application","130","40","0.298","0"
"2019","Female","25 - 29","Scotland","Main scheme applicant","Main scheme application","155","45","0.274","0"
"2020","Female","25 - 29","Scotland","Main scheme applicant","Main scheme application","205","50","0.23600000000000002","0"
"2021","Female","25 - 29","Scotland","Main scheme applicant","Main scheme application","270","50","0.193","0"
