"Year","Predicted SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","13 point(s)","All","All","Main scheme application","15","10"," ","0"
"2018","13 point(s)","All","All","Main scheme application","30","10","0.333","0"
"2019","13 point(s)","All","All","Main scheme application","25","5"," ","0"
"2020","13 point(s)","All","All","Main scheme application","25","15","0.52","0"
"2021","13 point(s)","All","All","Main scheme application","30","20","0.655","0"
"2022","13 point(s)","All","All","Main scheme application","10","5"," ","0"
"2023","13 point(s)","All","All","Main scheme application","20","15","0.591","0"
"2010","14 point(s)","All","All","Main scheme application","50","25","0.51","0"
"2011","14 point(s)","All","All","Main scheme application","50","20","0.449","0"
"2012","14 point(s)","All","All","Main scheme application","60","20","0.323","0"
"2013","14 point(s)","All","All","Main scheme application","60","25","0.39","0"
"2014","14 point(s)","All","All","Main scheme application","70","30","0.417","0"
"2015","14 point(s)","All","All","Main scheme application","80","25","0.316","0"
"2016","14 point(s)","All","All","Main scheme application","50","20","0.449","0"
"2017","14 point(s)","All","All","Main scheme application","55","25","0.491","0"
"2018","14 point(s)","All","All","Main scheme application","45","25","0.511","0"
"2019","14 point(s)","All","All","Main scheme application","30","15","0.406","0"
"2020","14 point(s)","All","All","Main scheme application","40","25","0.659","0"
"2021","14 point(s)","All","All","Main scheme application","35","20","0.636","0"
"2022","14 point(s)","All","All","Main scheme application","20","15","0.591","0"
"2023","14 point(s)","All","All","Main scheme application","35","20","0.559","0"
"2010","15 point(s)","All","All","Main scheme application","60","30","0.542","0"
"2011","15 point(s)","All","All","Main scheme application","55","30","0.509","0"
"2012","15 point(s)","All","All","Main scheme application","80","35","0.456","0"
"2013","15 point(s)","All","All","Main scheme application","70","40","0.551","0"
"2014","15 point(s)","All","All","Main scheme application","80","35","0.449","0"
"2015","15 point(s)","All","All","Main scheme application","90","45","0.5","0"
"2016","15 point(s)","All","All","Main scheme application","50","30","0.549","0"
"2017","15 point(s)","All","All","Main scheme application","60","30","0.483","0"
"2018","15 point(s)","All","All","Main scheme application","65","40","0.591","0"
"2019","15 point(s)","All","All","Main scheme application","55","30","0.5660000000000001","0"
"2020","15 point(s)","All","All","Main scheme application","40","25","0.632","0"
"2021","15 point(s)","All","All","Main scheme application","45","30","0.674","0"
"2022","15 point(s)","All","All","Main scheme application","30","15","0.607","0"
"2023","15 point(s)","All","All","Main scheme application","45","30","0.622","0"
"2010","16 point(s)","All","All","Main scheme application","35","25","0.714","0"
"2011","16 point(s)","All","All","Main scheme application","40","20","0.524","0"
"2012","16 point(s)","All","All","Main scheme application","50","30","0.625","0"
"2013","16 point(s)","All","All","Main scheme application","45","30","0.652","0"
"2014","16 point(s)","All","All","Main scheme application","60","35","0.586","0"
"2015","16 point(s)","All","All","Main scheme application","65","20","0.302","0"
"2016","16 point(s)","All","All","Main scheme application","55","30","0.509","0"
"2017","16 point(s)","All","All","Main scheme application","65","35","0.5690000000000001","0"
"2018","16 point(s)","All","All","Main scheme application","55","30","0.509","0"
"2019","16 point(s)","All","All","Main scheme application","55","35","0.655","0"
"2020","16 point(s)","All","All","Main scheme application","60","40","0.707","0"
"2021","16 point(s)","All","All","Main scheme application","40","25","0.634","0"
"2022","16 point(s)","All","All","Main scheme application","40","30","0.769","0"
"2023","16 point(s)","All","All","Main scheme application","45","25","0.5650000000000001","0"
"2010","17 point(s)","All","All","Main scheme application","25","15","0.667","0"
"2011","17 point(s)","All","All","Main scheme application","25","20","0.6920000000000001","0"
"2012","17 point(s)","All","All","Main scheme application","40","30","0.6900000000000001","0"
"2013","17 point(s)","All","All","Main scheme application","35","30","0.784","0"
"2014","17 point(s)","All","All","Main scheme application","50","30","0.5690000000000001","0"
"2015","17 point(s)","All","All","Main scheme application","60","35","0.593","0"
"2016","17 point(s)","All","All","Main scheme application","65","35","0.531","0"
"2017","17 point(s)","All","All","Main scheme application","45","30","0.596","0"
"2018","17 point(s)","All","All","Main scheme application","55","40","0.759","0"
"2019","17 point(s)","All","All","Main scheme application","40","25","0.548","0"
"2020","17 point(s)","All","All","Main scheme application","55","35","0.614","0"
"2021","17 point(s)","All","All","Main scheme application","60","50","0.8140000000000001","0"
"2022","17 point(s)","All","All","Main scheme application","35","15","0.441","0"
"2023","17 point(s)","All","All","Main scheme application","35","25","0.722","0"
"2010","18 point(s)","All","All","Main scheme application","15","10","0.714","0"
"2011","18 point(s)","All","All","Main scheme application","25","20","0.783","0"
"2012","18 point(s)","All","All","Main scheme application","25","15","0.654","0"
"2013","18 point(s)","All","All","Main scheme application","20","15","0.636","0"
"2014","18 point(s)","All","All","Main scheme application","40","25","0.65","0"
"2015","18 point(s)","All","All","Main scheme application","45","35","0.7020000000000001","0"
