"Year","Difference between predicted and achieved A level points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2010","-1 points","Quintile 5","All","Not main scheme application","1115","1015","0.91","0"
"2011","-1 points","Quintile 5","All","Not main scheme application","1295","1175","0.907","0"
"2012","-1 points","Quintile 5","All","Not main scheme application","1140","1065","0.935","0"
"2013","-1 points","Quintile 5","All","Not main scheme application","975","905","0.928","0"
"2014","-1 points","Quintile 5","All","Not main scheme application","1005","935","0.931","0"
"2015","-1 points","Quintile 5","All","Not main scheme application","1060","985","0.93","0"
"2016","-1 points","Quintile 5","All","Not main scheme application","1085","1020","0.9390000000000001","0"
"2017","-1 points","Quintile 5","All","Not main scheme application","1080","1025","0.9460000000000001","0"
"2018","-1 points","Quintile 5","All","Not main scheme application","970","915","0.9450000000000001","0"
"2019","-1 points","Quintile 5","All","Not main scheme application","920","870","0.9440000000000001","0"
"2020","-1 points","Quintile 5","All","Not main scheme application","2650","2550","0.962","10"
"2021","-1 points","Quintile 5","All","Not main scheme application","1240","1165","0.9420000000000001","0"
"2022","-1 points","Quintile 5","All","Not main scheme application","1205","1095","0.908","0"
"2023","-1 points","Quintile 5","All","Not main scheme application","805","735","0.913","0"
"2010","-2 points","Quintile 5","All","Not main scheme application","1485","1365","0.919","0"
"2011","-2 points","Quintile 5","All","Not main scheme application","1850","1710","0.924","0"
"2012","-2 points","Quintile 5","All","Not main scheme application","1540","1445","0.9400000000000001","0"
"2013","-2 points","Quintile 5","All","Not main scheme application","1430","1335","0.932","0"
"2014","-2 points","Quintile 5","All","Not main scheme application","1590","1465","0.923","0"
"2015","-2 points","Quintile 5","All","Not main scheme application","1555","1460","0.9380000000000001","0"
"2016","-2 points","Quintile 5","All","Not main scheme application","1765","1655","0.9380000000000001","0"
"2017","-2 points","Quintile 5","All","Not main scheme application","1610","1510","0.937","0"
