"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","30","25","0.811"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","25","20","0.85"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","20","15","0.775"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","15","10","0.767"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","Unknown","15","10"," "
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","25","15","0.6940000000000001"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","20","15","0.65"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","20","15","0.625"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","10","5"," "
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","Unknown","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-04-01) French studies","Unknown","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-04-01) French studies","Unknown","10","5"," "
"2021","(CAH19) language and area studies","(CAH19-04-01) French studies","Unknown","5","0"," "
"2019","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","Unknown","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","Unknown","10","5"," "
"2019","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Unknown","15","10","0.743"
"2020","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Unknown","10","10"," "
"2021","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","Unknown","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-04-03) Italian studies","Unknown","5","5"," "
"2020","(CAH19) language and area studies","(CAH19-04-03) Italian studies","Unknown","5","0"," "
"2020","(CAH19) language and area studies","(CAH19-01-07) linguistics","Unknown","5","5"," "
"2021","(CAH19) language and area studies","(CAH19-01-07) linguistics","Unknown","5","5"," "
"2022","(CAH19) language and area studies","(CAH19-01-07) linguistics","Unknown","5","5"," "
"2019","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Unknown","20","15","0.6920000000000001"
"2020","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Unknown","20","20","0.884"
"2021","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Unknown","5","0"," "
"2023","(CAH19) language and area studies","(CAH19-04-09) others in language and area studies","Unknown","5","0"," "
"2019","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Unknown","5","0"," "
"2020","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Unknown","5","5"," "
"2021","(CAH19) language and area studies","(CAH19-04-06) Asian studies","Unknown","10","5"," "
