"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","965","560","0.584"
"2022","Wales","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Wales","21 - 24","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","950","515","0.545"
"2020","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","895","475","0.533"
"2021","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","1145","530","0.464"
"2022","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","765","425","0.555"
"2023","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","550","300","0.542"
"2023","Wales","25 - 29","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","410","185","0.448"
"2020","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","435","235","0.543"
"2021","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","485","185","0.386"
"2022","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","310","170","0.549"
"2023","Scotland","30 - 34","Scotland","Female","Main scheme applicant","Main scheme application","255","145","0.5710000000000001"
"2019","Scotland","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","760","325","0.426"
"2020","Scotland","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","835","385","0.461"
"2021","Scotland","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","875","335","0.382"
"2022","Scotland","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","595","295","0.498"
"2023","Scotland","35 and over","Scotland","Female","Main scheme applicant","Main scheme application","515","275","0.538"
"2020","England","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Wales","18","Wales","Female","Main scheme applicant","Main scheme application","15","0"," "
"2020","Scotland","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Scotland","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Scotland","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Wales","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","485","355","0.731"
"2023","Wales","21 - 24","Wales","Female","Main scheme applicant","Main scheme application","440","305","0.6890000000000001"
"2022","Scotland","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Wales","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","160","105","0.648"
"2023","Wales","25 - 29","Wales","Female","Main scheme applicant","Main scheme application","145","100","0.6990000000000001"
"2022","Wales","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","60","45","0.767"
"2023","Wales","30 - 34","Wales","Female","Main scheme applicant","Main scheme application","55","35","0.632"
"2022","Wales","35 and over","Wales","Female","Main scheme applicant","Main scheme application","90","50","0.533"
"2023","Wales","35 and over","Wales","Female","Main scheme applicant","Main scheme application","65","40","0.621"
