"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","80"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","85"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","65"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","60"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","400"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","495"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","225"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","290"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","430"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","45"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","70"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","190"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","75"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","80"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","50"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","145"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","135"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","110"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","115"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2019","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","15"
"2020","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","60"
