"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","2295"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","430"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","425"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","435"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","445"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","580"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1035"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1445"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","795"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1030"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","1295"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","90"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","140"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","30"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","80"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","165"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","No disability declared","No impairment","Not main scheme applicant","Not main scheme application","5"
