"Year","Predicted BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","5 points (DMM)","Black","Main scheme applicant","Not main scheme application","100","90","0.899","0"
"2010","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","15","10","0.6880000000000001","0"
"2011","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","35","30","0.757","0"
"2012","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","40","30","0.8","0"
"2013","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","55","45","0.887","0"
"2014","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","75","65","0.8310000000000001","0"
"2015","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","90","75","0.864","0"
"2016","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","80","70","0.84","0"
"2017","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","70","60","0.899","0"
"2018","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","70","60","0.87","0"
"2019","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","60","55","0.932","0"
"2020","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","60","55","0.934","0"
"2021","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","90","85","0.9440000000000001","0"
"2022","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","105","95","0.894","0"
"2023","6 points (DDM)","Black","Main scheme applicant","Not main scheme application","100","90","0.908","0"
"2010","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2011","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","45","35","0.717","0"
"2012","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","45","35","0.745","0"
"2013","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","55","45","0.849","0"
"2014","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","55","45","0.836","0"
"2015","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","85","70","0.845","0"
"2016","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","75","60","0.8270000000000001","0"
"2017","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","60","55","0.931","0"
"2018","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","55","50","0.907","0"
"2019","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","75","75","0.9480000000000001","0"
"2020","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","80","70","0.887","0"
"2021","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","85","75","0.916","0"
"2022","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","80","70","0.887","0"
"2023","7 points (DDD)","Black","Main scheme applicant","Not main scheme application","100","90","0.891","0"
"2012","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2015","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2016","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","40","35","0.868","0"
"2017","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","30","25","0.871","0"
"2018","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","25","20","0.9570000000000001","0"
"2019","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","30","30","0.933","0"
"2020","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","35","30","0.909","0"
"2021","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","45","40","0.889","0"
"2022","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","50","45","0.898","0"
"2023","8 points (D*DD)","Black","Main scheme applicant","Not main scheme application","45","40","0.93","0"
"2012","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","30","25","0.844","0"
"2016","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","25","20","0.75","0"
"2017","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","30","30","1","0"
"2018","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2019","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","35","25","0.8180000000000001","0"
"2020","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","25","25","0.962","0"
"2021","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","35","30","0.8290000000000001","0"
"2022","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","15","15","1","0"
"2023","9 points (D*D*D)","Black","Main scheme applicant","Not main scheme application","25","25","0.9580000000000001","0"
"2013","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","25","20","0.808","0"
"2015","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","50","45","0.8270000000000001","0"
"2016","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","45","40","0.851","0"
"2017","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","45","45","0.935","0"
"2018","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","25","20","0.917","0"
"2019","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","40","35","0.881","0"
"2020","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","30","25","0.893","0"
"2021","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","30","30","1","0"
"2022","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2023","10 points (D*D*D*)","Black","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2010","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","15","15","1","0"
"2016","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2021","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2022","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","20","20","0.9","0"
"2023","1 point (PPP)","Asian","Main scheme applicant","Not main scheme application","25","25","0.889","0"
"2010","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2012","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2013","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","20","15","0.842","0"
"2014","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2015","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2016","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","20","20","1","0"
"2017","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2019","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2021","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2022","2 points (MPP)","Asian","Main scheme applicant","Not main scheme application","25","20","0.88","0"
