"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","UK","Wales","Wales","25 - 29","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","England","England","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","UK","Scotland","Scotland","30 - 34","Female","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2022","UK","Wales","Wales","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Wales","Wales","30 - 34","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","England","England","35 and over","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2020","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","20","10","0.5710000000000001","0"
"2021","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","15","10","0.733","0"
"2022","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","15","10","0.706","0"
"2023","UK","Scotland","Scotland","35 and over","Female","Not main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2022","UK","Wales","Wales","35 and over","Female","Not main scheme applicant","Not main scheme application","15","10","0.786","0"
"2023","UK","Wales","Wales","35 and over","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","England","England","21 - 24","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","England","England","21 - 24","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","England","England","21 - 24","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","UK","Scotland","Scotland","21 - 24","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","UK","Scotland","Scotland","21 - 24","Male","Not main scheme applicant","Not main scheme application","15","10","0.8","0"
"2021","UK","Scotland","Scotland","21 - 24","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Scotland","Scotland","21 - 24","Male","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2023","UK","Scotland","Scotland","21 - 24","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","UK","Wales","Wales","21 - 24","Male","Not main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2023","UK","Wales","Wales","21 - 24","Male","Not main scheme applicant","Not main scheme application","25","20","0.846","0"
"2020","UK","England","England","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","England","England","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","England","England","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","UK","Scotland","Scotland","25 - 29","Male","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","UK","Scotland","Scotland","25 - 29","Male","Not main scheme applicant","Not main scheme application","25","20","0.8150000000000001","0"
"2021","UK","Scotland","Scotland","25 - 29","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Scotland","Scotland","25 - 29","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","UK","Scotland","Scotland","25 - 29","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","UK","Wales","Wales","25 - 29","Male","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2023","UK","Wales","Wales","25 - 29","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","UK","Scotland","Scotland","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Scotland","Scotland","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Scotland","Scotland","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Wales","Wales","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","England","England","35 and over","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","35 and over","Male","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","UK","Scotland","Scotland","35 and over","Male","Not main scheme applicant","Not main scheme application","20","15","0.789","0"
"2021","UK","Scotland","Scotland","35 and over","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Scotland","Scotland","35 and over","Male","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","UK","Scotland","Scotland","35 and over","Male","Not main scheme applicant","Not main scheme application","20","15","0.9440000000000001","0"
"2022","UK","Wales","Wales","35 and over","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Wales","Wales","35 and over","Male","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","60","30","0.484","0"
"2020","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","60","10"," ","0"
"2021","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","85","25","0.321","0"
"2022","UK","Scotland","Scotland","21 - 24","Female","Main scheme applicant","Not main scheme application","55","30","0.5660000000000001","0"
