"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","North East","925","195","0.21"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","North East","1210","210","0.17400000000000002"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","North East","1035","200","0.195"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","North East","1155","245","0.211"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","North East","135","85","0.637"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","North East","240","175","0.728"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","North East","320","250","0.774"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","North East","360","280","0.774"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","North East","240","175","0.735"
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","North East","160","135","0.856"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","North East","160","135","0.838"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","North East","170","160","0.9490000000000001"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","North East","185","165","0.889"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","North East","165","145","0.874"
"2019","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","North East","45","45","0.965"
"2020","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","North East","35","35","0.997"
"2021","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","North East","40","35","0.917"
"2022","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","North East","40","35","0.863"
"2023","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","North East","35","30","0.891"
"2019","(CAH19) language and area studies","(CAH19-01-06) others in English studies","North East","15","10"," "
"2020","(CAH19) language and area studies","(CAH19-01-06) others in English studies","North East","5","5"," "
"2021","(CAH19) language and area studies","(CAH19-01-06) others in English studies","North East","10","10"," "
"2023","(CAH19) language and area studies","(CAH19-01-06) others in English studies","North East","5","5"," "
