"Year","Estranged status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Is not estranged from parents","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","35","30","0.8290000000000001","0"
"2023","Is estranged from parents","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is estranged from parents","35 and over","England","Female","Main scheme applicant","Not main scheme application","140","85","0.63","0"
"2023","Is estranged from parents","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","Is estranged from parents","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","Not declared","17 and under","England","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Is not estranged from parents","17 and under","England","Male","Main scheme applicant","Not main scheme application","65","40","0.651","0"
"2023","Is not estranged from parents","17 and under","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2023","Not declared","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Male","Main scheme applicant","Not main scheme application","225","205","0.915","0"
"2023","Not declared","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is not estranged from parents","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","335","285","0.856","0"
"2023","Is not estranged from parents","18","England","Male","Main scheme applicant","Not main scheme application","17610","16340","0.928","0"
"2023","Is not estranged from parents","18","Scotland","Male","Main scheme applicant","Not main scheme application","385","335","0.868","0"
"2023","Is not estranged from parents","18","Wales","Male","Main scheme applicant","Not main scheme application","440","400","0.905","0"
"2023","Is estranged from parents","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Is estranged from parents","18","England","Male","Main scheme applicant","Not main scheme application","155","145","0.917","0"
"2023","Is estranged from parents","18","Scotland","Male","Main scheme applicant","Not main scheme application","10","10","1","0"
"2023","Is estranged from parents","18","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","19","England","Male","Main scheme applicant","Not main scheme application","75","65","0.855","0"
"2023","Is not estranged from parents","19","Northern Ireland","Male","Main scheme applicant","Not main scheme application","85","75","0.839","0"
