"Year","Domicile UK International","Domicile","Age group","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2013","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","31840","0"
"2014","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","31510","0"
"2015","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","30830","0"
"2016","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","30190","0"
"2017","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","29520","0"
"2018","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","28240","0"
"2019","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","27450","0"
"2020","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","27130","0"
"2021","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","28390","0"
"2022","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","29050","0"
"2023","UK","Scotland","All","Male","Not main scheme applicant","Main scheme application","0","29070","0"
"2006","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","20240","0"
"2007","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","20300","0"
"2008","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","20420","0"
"2009","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","20790","0"
"2010","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","19980","0"
"2011","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","19600","0"
"2012","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","19750","0"
"2013","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","19370","0"
"2014","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","19260","0"
"2015","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","19360","0"
"2016","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","18540","0"
"2017","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","18180","0"
"2018","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","17670","0"
"2019","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","17500","0"
"2020","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","16790","0"
"2021","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","17110","0"
"2022","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","17290","0"
"2023","UK","Wales","All","Male","Not main scheme applicant","Main scheme application","0","17840","0"
"2006","UK","Northern Ireland","All","Female","Main scheme applicant","Main scheme application","4470","13160","0.34"
"2007","UK","Northern Ireland","All","Female","Main scheme applicant","Main scheme application","4630","12760","0.363"
"2008","UK","Northern Ireland","All","Female","Main scheme applicant","Main scheme application","4730","12750","0.371"
"2009","UK","Northern Ireland","All","Female","Main scheme applicant","Main scheme application","4800","12680","0.378"
"2010","UK","Northern Ireland","All","Female","Main scheme applicant","Main scheme application","4550","12440","0.365"
