"Year","Achieved BTEC Extended diploma points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","6 points (DDM)","White","Main scheme applicant","Not main scheme application","115","100","0.887","0"
"2010","7 points (DDD)","White","Main scheme applicant","Not main scheme application","410","295","0.721","0"
"2011","7 points (DDD)","White","Main scheme applicant","Not main scheme application","605","435","0.723","0"
"2012","7 points (DDD)","White","Main scheme applicant","Not main scheme application","185","140","0.754","0"
"2013","7 points (DDD)","White","Main scheme applicant","Not main scheme application","145","115","0.79","0"
"2014","7 points (DDD)","White","Main scheme applicant","Not main scheme application","185","135","0.749","0"
"2015","7 points (DDD)","White","Main scheme applicant","Not main scheme application","155","115","0.75","0"
"2016","7 points (DDD)","White","Main scheme applicant","Not main scheme application","135","105","0.789","0"
"2017","7 points (DDD)","White","Main scheme applicant","Not main scheme application","105","90","0.84","0"
"2018","7 points (DDD)","White","Main scheme applicant","Not main scheme application","105","95","0.915","0"
"2019","7 points (DDD)","White","Main scheme applicant","Not main scheme application","90","85","0.913","0"
"2020","7 points (DDD)","White","Main scheme applicant","Not main scheme application","80","70","0.8290000000000001","0"
"2021","7 points (DDD)","White","Main scheme applicant","Not main scheme application","100","90","0.88","0"
"2022","7 points (DDD)","White","Main scheme applicant","Not main scheme application","135","115","0.851","0"
"2023","7 points (DDD)","White","Main scheme applicant","Not main scheme application","95","80","0.862","0"
"2012","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","95","75","0.785","0"
"2013","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","100","80","0.8160000000000001","0"
"2014","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","100","75","0.745","0"
"2015","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","120","100","0.803","0"
"2016","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","130","105","0.8230000000000001","0"
"2017","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","100","80","0.792","0"
"2018","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","105","95","0.915","0"
"2019","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","85","80","0.9530000000000001","0"
"2020","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","75","65","0.904","0"
"2021","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","120","105","0.892","0"
"2022","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","145","120","0.8320000000000001","0"
"2023","8 points (D*DD)","White","Main scheme applicant","Not main scheme application","100","90","0.898","0"
"2012","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","90","70","0.795","0"
"2013","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","120","85","0.737","0"
"2014","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","130","100","0.762","0"
"2015","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","150","115","0.777","0"
"2016","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","145","110","0.741","0"
"2017","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","95","75","0.811","0"
"2018","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","105","95","0.895","0"
"2019","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","90","75","0.843","0"
"2020","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","100","90","0.89","0"
"2021","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","140","120","0.857","0"
"2022","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","135","120","0.868","0"
"2023","9 points (D*D*D)","White","Main scheme applicant","Not main scheme application","75","70","0.934","0"
"2011","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","220","170","0.775","0"
"2013","10 points (D*D*D*)","White","Main scheme applicant","Not main scheme application","250","195","0.77","0"
