"Year","Gender","Age group","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","All","19","Not EU","45","5"," "
"2023","All","19","Not EU","20","0"," "
"2019","All","20","Not EU","20","0"," "
"2020","All","20","Not EU","5","0"," "
"2021","All","20","Not EU","10","0"," "
"2022","All","20","Not EU","20","0"," "
"2023","All","20","Not EU","35","0"," "
"2019","All","21 - 24","Not EU","60","5"," "
"2020","All","21 - 24","Not EU","30","5"," "
"2021","All","21 - 24","Not EU","100","5"," "
"2022","All","21 - 24","Not EU","75","10","0.133"
"2023","All","21 - 24","Not EU","80","10","0.15"
"2019","All","25 - 29","Not EU","55","15","0.273"
"2020","All","25 - 29","Not EU","75","10"," "
"2021","All","25 - 29","Not EU","65","5"," "
"2022","All","25 - 29","Not EU","85","10"," "
"2023","All","25 - 29","Not EU","70","15","0.2"
"2019","All","30 - 34","Not EU","15","0"," "
"2020","All","30 - 34","Not EU","20","0"," "
"2021","All","30 - 34","Not EU","40","10","0.25"
"2022","All","30 - 34","Not EU","55","0"," "
"2023","All","30 - 34","Not EU","45","5"," "
"2019","All","35 and over","Not EU","15","0"," "
"2020","All","35 and over","Not EU","15","0"," "
"2021","All","35 and over","Not EU","40","5"," "
"2022","All","35 and over","Not EU","45","10"," "
"2023","All","35 and over","Not EU","35","10","0.28600000000000003"
"2019","All","17 and under","EU (excluding UK)","55","0"," "
"2020","All","17 and under","EU (excluding UK)","40","0"," "
"2021","All","17 and under","EU (excluding UK)","25","5"," "
"2022","All","17 and under","EU (excluding UK)","20","0"," "
"2023","All","17 and under","EU (excluding UK)","25","0"," "
"2019","All","18","EU (excluding UK)","110","5"," "
"2020","All","18","EU (excluding UK)","185","25","0.13"
"2021","All","18","EU (excluding UK)","150","5"," "
"2022","All","18","EU (excluding UK)","185","10"," "
"2023","All","18","EU (excluding UK)","110","20","0.164"
"2019","All","19","EU (excluding UK)","95","5"," "
"2020","All","19","EU (excluding UK)","105","10"," "
"2021","All","19","EU (excluding UK)","135","10"," "
"2022","All","19","EU (excluding UK)","100","5"," "
"2023","All","19","EU (excluding UK)","100","10","0.12"
"2019","All","20","EU (excluding UK)","90","5"," "
"2020","All","20","EU (excluding UK)","60","5"," "
"2021","All","20","EU (excluding UK)","70","5"," "
"2022","All","20","EU (excluding UK)","70","5"," "
"2023","All","20","EU (excluding UK)","15","0"," "
"2019","All","21 - 24","EU (excluding UK)","115","15","0.148"
"2020","All","21 - 24","EU (excluding UK)","105","15","0.14300000000000002"
"2021","All","21 - 24","EU (excluding UK)","95","10","0.116"
"2022","All","21 - 24","EU (excluding UK)","95","5"," "
"2023","All","21 - 24","EU (excluding UK)","80","15","0.163"
"2019","All","25 - 29","EU (excluding UK)","20","5"," "
"2020","All","25 - 29","EU (excluding UK)","35","5"," "
"2021","All","25 - 29","EU (excluding UK)","40","5"," "
"2022","All","25 - 29","EU (excluding UK)","30","5"," "
"2023","All","25 - 29","EU (excluding UK)","15","5"," "
"2019","All","30 - 34","EU (excluding UK)","5","0"," "
"2020","All","30 - 34","EU (excluding UK)","10","0"," "
