"Year","Predicted A level points","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2015","18 point(s)","18","England","Female","635","100","50","755","690","105","50","845"
"2015","18 point(s)","18","Northern Ireland","Female","5","5","5","10","5","5","5","10"
"2015","18 point(s)","18","Wales","Female","15","0","0","20","20","0","0","20"
"2016","18 point(s)","18","England","Female","710","100","60","840","770","105","60","935"
"2016","18 point(s)","18","Northern Ireland","Female","5","0","0","10","5","0","0","10"
"2016","18 point(s)","18","Wales","Female","25","5","5","30","25","5","5","35"
"2017","18 point(s)","18","England","Female","900","70","30","975","990","75","30","1095"
"2017","18 point(s)","18","Northern Ireland","Female","5","5","5","15","5","5","5","15"
"2017","18 point(s)","18","Wales","Female","30","5","5","40","30","5","5","40"
"2018","18 point(s)","18","England","Female","1095","65","35","1160","1250","65","35","1355"
"2018","18 point(s)","18","Northern Ireland","Female","15","5","0","20","15","5","0","20"
"2018","18 point(s)","18","Wales","Female","40","5","0","45","50","5","0","50"
"2019","18 point(s)","18","England","Female","1370","55","30","1420","1630","60","30","1720"
"2019","18 point(s)","18","Northern Ireland","Female","20","0","0","20","20","0","0","20"
"2019","18 point(s)","18","Wales","Female","50","0","5","55","55","0","5","60"
"2020","18 point(s)","18","England","Female","345","305","75","680","355","325","80","760"
"2020","18 point(s)","18","Northern Ireland","Female","0","10","5","15","0","10","5","15"
"2020","18 point(s)","18","Wales","Female","10","5","5","20","10","10","5","25"
"2021","18 point(s)","18","England","Female","0","225","20","240","0","235","20","255"
