"Year","FSM status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","All","17 and under","All","All","Not main scheme applicant","Not main scheme application","510","470","0.921","35"
"2023","All","18","All","All","Not main scheme applicant","Not main scheme application","4985","4650","0.933","330"
"2023","All","19","All","All","Not main scheme applicant","Not main scheme application","9125","8440","0.925","520"
"2023","All","20","All","All","Not main scheme applicant","Not main scheme application","6415","5870","0.915","435"
"2023","All","21 - 24","All","All","Not main scheme applicant","Not main scheme application","13410","12145","0.906","865"
"2023","All","25 - 29","All","All","Not main scheme applicant","Not main scheme application","9290","8535","0.919","450"
"2023","All","30 - 34","All","All","Not main scheme applicant","Not main scheme application","8030","7365","0.917","300"
"2023","All","35 and over","All","All","Not main scheme applicant","Not main scheme application","18615","17085","0.918","1010"
"2023","All","17 and under","All","All","Main scheme applicant","Not main scheme application","210","140","0.673","0"
"2023","All","18","All","All","Main scheme applicant","Not main scheme application","43580","40020","0.918","0"
"2023","All","19","All","All","Main scheme applicant","Not main scheme application","9650","8390","0.87","0"
"2023","All","20","All","All","Main scheme applicant","Not main scheme application","3035","2490","0.8210000000000001","0"
"2023","All","21 - 24","All","All","Main scheme applicant","Not main scheme application","3620","2610","0.72","0"
"2023","All","25 - 29","All","All","Main scheme applicant","Not main scheme application","1320","895","0.679","0"
"2023","All","30 - 34","All","All","Main scheme applicant","Not main scheme application","835","515","0.621","0"
"2023","All","35 and over","All","All","Main scheme applicant","Not main scheme application","1880","1170","0.622","0"
"2023","All","17 and under","All","All","Main scheme applicant","Main scheme application","2145","1250","0.583","0"
"2023","All","18","All","All","Main scheme applicant","Main scheme application","319595","227065","0.71","0"
"2023","All","19","All","All","Main scheme applicant","Main scheme application","81770","58740","0.718","0"
"2023","All","20","All","All","Main scheme applicant","Main scheme application","28835","19175","0.665","0"
"2023","All","21 - 24","All","All","Main scheme applicant","Main scheme application","41540","24325","0.586","0"
"2023","All","25 - 29","All","All","Main scheme applicant","Main scheme application","18410","10385","0.5640000000000001","0"
"2023","All","30 - 34","All","All","Main scheme applicant","Main scheme application","11865","6805","0.5730000000000001","0"
"2023","All","35 and over","All","All","Main scheme applicant","Main scheme application","25400","14360","0.5650000000000001","0"
"2023","In receipt of free school meals","All","All","All","Not main scheme applicant","Not main scheme application","3575","3065","0.857","535"
"2023","Not in receipt of free school meals","All","All","All","Not main scheme applicant","Not main scheme application","15350","13000","0.847","3025"
"2023","Don't know","All","All","All","Not main scheme applicant","Not main scheme application","1400","1190","0.853","265"
"2023","Not declared","All","All","All","Not main scheme applicant","Not main scheme application","50045","47300","0.9450000000000001","125"
"2023","In receipt of free school meals","All","All","All","Main scheme applicant","Not main scheme application","11760","10285","0.875","0"
"2023","Not in receipt of free school meals","All","All","All","Main scheme applicant","Not main scheme application","48320","42475","0.879","0"
"2023","Don't know","All","All","All","Main scheme applicant","Not main scheme application","3165","2755","0.87","0"
"2023","Not declared","All","All","All","Main scheme applicant","Not main scheme application","875","725","0.8240000000000001","0"
"2023","In receipt of free school meals","All","All","All","Main scheme applicant","Main scheme application","73610","47060","0.639","0"
"2023","Not in receipt of free school meals","All","All","All","Main scheme applicant","Main scheme application","424185","294925","0.6950000000000001","0"
"2023","Don't know","All","All","All","Main scheme applicant","Main scheme application","22135","14035","0.634","0"
"2023","Not declared","All","All","All","Main scheme applicant","Main scheme application","9630","6080","0.631","0"
