"Year","Qualification group","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2011","IB Only","Unknown","Main scheme applicant","Main scheme application","70","45","0.681","0"
"2012","IB Only","Unknown","Main scheme applicant","Main scheme application","50","30","0.625","0"
"2013","IB Only","Unknown","Main scheme applicant","Main scheme application","45","30","0.652","0"
"2014","IB Only","Unknown","Main scheme applicant","Main scheme application","45","25","0.628","0"
"2015","IB Only","Unknown","Main scheme applicant","Main scheme application","55","40","0.741","0"
"2016","IB Only","Unknown","Main scheme applicant","Main scheme application","50","40","0.76","0"
"2017","IB Only","Unknown","Main scheme applicant","Main scheme application","55","40","0.6960000000000001","0"
"2018","IB Only","Unknown","Main scheme applicant","Main scheme application","50","30","0.58","0"
"2019","IB Only","Unknown","Main scheme applicant","Main scheme application","50","40","0.731","0"
"2020","IB Only","Unknown","Main scheme applicant","Main scheme application","40","25","0.641","0"
"2021","IB Only","Unknown","Main scheme applicant","Main scheme application","45","30","0.6960000000000001","0"
"2022","IB Only","Unknown","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2023","IB Only","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2008","A level & WB","Unknown","Main scheme applicant","Main scheme application","20","15","0.682","0"
"2009","A level & WB","Unknown","Main scheme applicant","Main scheme application","5","0"," ","0"
"2010","A level & WB","Unknown","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","A level & WB","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","A level & WB","Unknown","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","A level & WB","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","A level & WB","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","A level & WB","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","A level & WB","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","A level & WB","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","A level & WB","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","Cambridge Technicals only","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","Cambridge Technicals only","Unknown","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","Cambridge Technicals only","Unknown","Main scheme applicant","Main scheme application","5","0"," ","0"
"2009","Access to HE only","Unknown","Main scheme applicant","Main scheme application","5","0"," ","0"
"2012","Access to HE only","Unknown","Main scheme applicant","Main scheme application","15","10"," ","0"
