"Year","NPD ethnic group","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2007","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","690","9980","0.069"
"2007","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","120","1170","0.101"
"2007","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","350","5900","0.059000000000000004"
"2007","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","14330","247280","0.058"
"2008","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","160","2620","0.061"
"2008","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1980","19380","0.10200000000000001"
"2008","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","770","10760","0.07100000000000001"
"2008","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","120","1120","0.108"
"2008","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","420","6520","0.065"
"2008","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","14870","253610","0.059000000000000004"
"2009","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","210","2820","0.073"
"2009","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","2090","19610","0.107"
"2009","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","900","10960","0.082"
"2009","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","110","1060","0.105"
"2009","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","500","7300","0.069"
"2009","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","16770","256480","0.065"
"2010","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","220","3020","0.07100000000000001"
"2010","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","2210","20870","0.106"
"2010","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","990","11070","0.089"
"2010","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","120","1130","0.109"
"2010","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","580","8110","0.07200000000000001"
"2010","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","17610","256120","0.069"
"2011","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","290","3190","0.09"
"2011","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","2480","21130","0.117"
"2011","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1240","11590","0.107"
"2011","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","130","1120","0.112"
"2011","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","720","8460","0.085"
"2011","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","18780","245660","0.076"
"2012","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","290","3470","0.082"
"2012","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","2370","21940","0.108"
"2012","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1130","11970","0.095"
"2012","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","130","1060","0.124"
"2012","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","650","9180","0.07100000000000001"
"2012","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","16150","244360","0.066"
"2013","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","320","3620","0.088"
"2013","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","2720","22440","0.121"
"2013","Black","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","1450","12650","0.115"
"2013","Chinese","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","130","1100","0.121"
"2013","Mixed","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","730","9540","0.077"
"2013","White","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","16730","237680","0.07"
"2014","Any Other Ethnic Group","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","340","3600","0.094"
"2014","Asian","Lower tariff","18","England","Male","Main scheme applicant","Main scheme application","2890","23100","0.125"
