"Year","Provider country","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2021","England","30 - 34","England","Female","Main scheme applicant","Not main scheme application","30","15","0.419"
"2022","England","30 - 34","England","Female","Main scheme applicant","Not main scheme application","30","15","0.406"
"2023","England","30 - 34","England","Female","Main scheme applicant","Not main scheme application","25","15","0.654"
"2019","England","35 and over","England","Female","Main scheme applicant","Not main scheme application","30","20","0.5630000000000001"
"2020","England","35 and over","England","Female","Main scheme applicant","Not main scheme application","30","20","0.6"
"2021","England","35 and over","England","Female","Main scheme applicant","Not main scheme application","25","10"," "
"2022","England","35 and over","England","Female","Main scheme applicant","Not main scheme application","35","15","0.47200000000000003"
"2023","England","35 and over","England","Female","Main scheme applicant","Not main scheme application","50","30","0.625"
"2022","Scotland","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Scotland","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Scotland","18","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2021","Scotland","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Scotland","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Scotland","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Scotland","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Scotland","19","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Scotland","20","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Scotland","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2020","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2021","Scotland","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","10","0"," "
