2022 LEAVING CERTIFICATE STATISTICS,,,,,,,,,
HIGHER LEVEL,,,,,,,,,
BOTH SCHOOL AND E10 CANDIDATES,,,,,,,,,
Subjects ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,Grade ,
,1,2,3,4,5,6,7,8,TOTALS  
,,,,,,,,,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    RÚISIS,270,76,31,14,12,4,0,0,407
,,,,,,,,,
    RUSSIAN,66.3,18.7,7.6,3.4,2.9,1,0,0,
,,,,,,,,,
    TOTAL FEMALE,155,41,13,8,2,2,0,0,221
,,,,,,,,,
    % FEMALE ,70.1,18.6,5.9,3.6,0.9,0.9,0,0,
,,,,,,,,,
    TOTAL MALE,115,35,18,6,10,2,0,0,186
,,,,,,,,,
    % MALE ,61.8,18.8,9.7,3.2,5.4,1.1,0,0,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    RÍOMHEOLAÍOCHT,275,289,283,251,154,77,40,13,1382
,,,,,,,,,
    COMPUTER SCIENCE,19.9,20.9,20.5,18.2,11.1,5.6,2.9,0.9,
,,,,,,,,,
    TOTAL FEMALE,52,64,69,61,37,15,12,3,313
,,,,,,,,,
    % FEMALE ,16.6,20.4,22,19.5,11.8,4.8,3.8,1,
,,,,,,,,,
    TOTAL MALE,223,225,214,190,117,62,28,10,1069
,,,,,,,,,
    % MALE ,20.9,21,20,17.8,10.9,5.8,2.6,0.9,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    OIDEACHAS REILIGIÚ,73,239,268,175,95,45,18,6,919
,,,,,,,,,
    RELIGIOUS EDUCATIO,7.9,26,29.2,19,10.3,4.9,2,0.7,
,,,,,,,,,
    TOTAL FEMALE,51,143,154,92,51,26,11,2,530
,,,,,,,,,
    % FEMALE ,9.6,27,29.1,17.4,9.6,4.9,2.1,0.4,
,,,,,,,,,
    TOTAL MALE,22,96,114,83,44,19,7,4,389
,,,,,,,,,
    % MALE ,5.7,24.7,29.3,21.3,11.3,4.9,1.8,1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    CORPOIDEACHAS,266,1049,1239,944,617,247,89,40,4491
,,,,,,,,,
    PHYSICAL EDUCATION,5.9,23.4,27.6,21,13.7,5.5,2,0.9,
 ,,,,,,,,,
,,,,,,,,,
    TOTAL FEMALE,158,486,389,247,141,46,19,7,1493
,,,,,,,,,
    % FEMALE ,10.6,32.6,26.1,16.5,9.4,3.1,1.3,0.5,
,,,,,,,,,
    TOTAL MALE,108,563,850,697,476,201,70,33,2998
,,,,,,,,,
    % MALE ,3.6,18.8,28.4,23.2,15.9,6.7,2.3,1.1,
-----------------------------------------------------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
    POLAINNIS,291,284,151,35,14,6,5,3,789
,,,,,,,,,
    POLISH,36.9,36,19.1,4.4,1.8,0.8,0.6,0.4,
,,,,,,,,,
    TOTAL FEMALE,172,141,61,16,5,3,4,0,402
,,,,,,,,,
    % FEMALE ,42.8,35.1,15.2,4,1.2,0.7,1,0,
,,,,,,,,,
