"Entry year","Provider country","Age group","Domicile","Gender","Main scheme application","Accepted applicants"
"2020 - 2021","England","20","Northern Ireland","Male","Main scheme application","115"
"2020 - 2021","Northern Ireland","20","Northern Ireland","Male","Main scheme application","410"
"2020 - 2021","Scotland","20","Northern Ireland","Male","Main scheme application","20"
"2020 - 2021","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2021 - 2022","England","20","Northern Ireland","Male","Main scheme application","115"
"2021 - 2022","Northern Ireland","20","Northern Ireland","Male","Main scheme application","320"
"2021 - 2022","Scotland","20","Northern Ireland","Male","Main scheme application","15"
"2021 - 2022","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2022 - 2023","England","20","Northern Ireland","Male","Main scheme application","80"
"2022 - 2023","Northern Ireland","20","Northern Ireland","Male","Main scheme application","175"
"2022 - 2023","Scotland","20","Northern Ireland","Male","Main scheme application","10"
"2023 - 2024","England","20","Northern Ireland","Male","Main scheme application","50"
"2023 - 2024","Northern Ireland","20","Northern Ireland","Male","Main scheme application","200"
"2023 - 2024","Scotland","20","Northern Ireland","Male","Main scheme application","10"
"2023 - 2024","Wales","20","Northern Ireland","Male","Main scheme application","5"
"2006 - 2007","England","21 - 24","Northern Ireland","Male","Main scheme application","115"
"2006 - 2007","Northern Ireland","21 - 24","Northern Ireland","Male","Main scheme application","195"
"2006 - 2007","Scotland","21 - 24","Northern Ireland","Male","Main scheme application","25"
"2006 - 2007","Wales","21 - 24","Northern Ireland","Male","Main scheme application","5"
"2007 - 2008","England","21 - 24","Northern Ireland","Male","Main scheme application","155"
"2007 - 2008","Northern Ireland","21 - 24","Northern Ireland","Male","Main scheme application","220"
"2007 - 2008","Scotland","21 - 24","Northern Ireland","Male","Main scheme application","35"
"2007 - 2008","Wales","21 - 24","Northern Ireland","Male","Main scheme application","10"
"2008 - 2009","England","21 - 24","Northern Ireland","Male","Main scheme application","160"
"2008 - 2009","Northern Ireland","21 - 24","Northern Ireland","Male","Main scheme application","240"
"2008 - 2009","Scotland","21 - 24","Northern Ireland","Male","Main scheme application","25"
"2008 - 2009","Wales","21 - 24","Northern Ireland","Male","Main scheme application","5"
"2009 - 2010","England","21 - 24","Northern Ireland","Male","Main scheme application","140"
"2009 - 2010","Northern Ireland","21 - 24","Northern Ireland","Male","Main scheme application","305"
"2009 - 2010","Scotland","21 - 24","Northern Ireland","Male","Main scheme application","40"
