"Year","POLAR4 Quintile","Age group","Domicile","Gender","Applicants with conditional unconditional offer","Applicants with direct unconditional offer","Applicants with other unconditional offer","Applicants with offer with unconditional component","Conditional unconditional offers","Direct unconditional offers","Other unconditional offers","Offers with unconditional component"
"2023","All","18","England","Male","0","9685","3625","12795","0","11120","3960","15080"
"2023","All","18","Northern Ireland","Male","0","45","25","65","0","50","25","75"
"2023","All","18","Wales","Male","0","190","140","320","0","215","155","370"
"2013","Unknown","All","England","Female","0","5","0","5","0","5","0","10"
"2014","Unknown","All","England","Female","0","5","5","10","0","5","5","15"
"2015","Unknown","All","England","Female","5","10","5","20","5","10","5","25"
"2015","Unknown","All","Wales","Female","0","0","0","5","5","0","0","5"
"2016","Unknown","All","England","Female","5","15","10","25","5","20","10","35"
"2016","Unknown","All","Wales","Female","0","0","0","5","0","0","0","5"
"2017","Unknown","All","England","Female","20","10","5","35","20","15","10","40"
"2018","Unknown","All","England","Female","25","15","10","40","30","15","10","55"
"2019","Unknown","All","England","Female","25","20","5","45","25","25","5","60"
"2019","Unknown","All","Northern Ireland","Female","0","0","0","0","0","0","0","5"
"2019","Unknown","All","Wales","Female","0","5","0","5","0","5","0","5"
"2020","Unknown","All","England","Female","15","25","25","50","15","30","25","70"
"2020","Unknown","All","Wales","Female","0","0","0","0","0","0","0","5"
"2021","Unknown","All","England","Female","0","15","5","20","0","20","5","25"
"2022","Unknown","All","England","Female","0","10","5","15","0","15","5","20"
"2023","Unknown","All","England","Female","0","5","0","5","0","5","0","5"
"2013","Quintile 1","All","England","Female","0","120","45","165","0","135","45","180"
"2013","Quintile 1","All","Wales","Female","0","5","5","10","0","5","5","10"
"2014","Quintile 1","All","England","Female","340","415","160","895","360","445","170","970"
"2014","Quintile 1","All","Northern Ireland","Female","0","5","5","10","0","5","5","10"
"2014","Quintile 1","All","Wales","Female","15","10","15","40","15","15","20","50"
"2015","Quintile 1","All","England","Female","820","685","800","2135","905","745","810","2460"
"2015","Quintile 1","All","Northern Ireland","Female","5","10","5","20","5","10","5","20"
"2015","Quintile 1","All","Wales","Female","20","30","35","85","20","30","35","90"
"2016","Quintile 1","All","England","Female","1270","1515","825","3255","1435","1675","840","3950"
"2016","Quintile 1","All","Northern Ireland","Female","5","15","10","30","5","15","10","30"
"2016","Quintile 1","All","Wales","Female","25","80","30","120","30","85","35","150"
"2017","Quintile 1","All","England","Female","2310","1830","1180","4740","2790","2050","1225","6065"
"2017","Quintile 1","All","Northern Ireland","Female","25","15","20","55","25","15","25","65"
"2017","Quintile 1","All","Wales","Female","55","100","55","195","60","115","60","235"
"2018","Quintile 1","All","England","Female","3190","2330","1695","6115","4050","2705","1710","8465"
"2018","Quintile 1","All","Northern Ireland","Female","40","35","15","80","45","35","15","95"
"2018","Quintile 1","All","Wales","Female","100","115","75","255","110","130","75","320"
"2019","Quintile 1","All","England","Female","4140","2600","1570","6905","5500","3100","1630","10235"
"2019","Quintile 1","All","Northern Ireland","Female","35","30","20","65","40","30","20","90"
"2019","Quintile 1","All","Wales","Female","135","230","50","370","160","305","50","515"
"2020","Quintile 1","All","England","Female","2315","4555","3455","8300","2665","6020","4265","12950"
"2020","Quintile 1","All","Northern Ireland","Female","15","35","150","185","15","45","205","265"
"2020","Quintile 1","All","Wales","Female","40","295","290","520","45","375","370","790"
"2021","Quintile 1","All","England","Female","0","2220","480","2600","0","2630","500","3130"
"2021","Quintile 1","All","Northern Ireland","Female","0","20","0","20","0","20","0","20"
"2021","Quintile 1","All","Wales","Female","0","280","55","315","0","360","60","420"
"2022","Quintile 1","All","England","Female","615","3335","710","4325","665","4110","755","5530"
"2022","Quintile 1","All","Northern Ireland","Female","5","25","5","30","5","25","10","40"
"2022","Quintile 1","All","Wales","Female","5","115","65","180","5","135","70","215"
"2023","Quintile 1","All","England","Female","0","2355","635","2850","0","2770","670","3440"
"2023","Quintile 1","All","Northern Ireland","Female","0","15","5","20","0","20","5","30"
"2023","Quintile 1","All","Wales","Female","0","55","30","80","0","60","35","95"
"2013","Quintile 2","All","England","Female","0","145","75","215","0","170","80","250"
"2013","Quintile 2","All","Northern Ireland","Female","0","0","0","0","0","0","5","5"
"2013","Quintile 2","All","Wales","Female","0","15","10","25","0","15","10","25"
"2014","Quintile 2","All","England","Female","525","570","320","1360","565","610","330","1505"
"2014","Quintile 2","All","Northern Ireland","Female","0","10","0","10","0","10","0","10"
