"Year","Qualification group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","SQA Only","18","Scotland","Female","Not main scheme applicant","Not main scheme application","40","35","0.846","10"
"2010","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","5"
"2013","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2020","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","IB Only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2012","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2013","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2014","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2015","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2016","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2017","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2020","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","20","20","0.9470000000000001","0"
"2021","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2023","A level & WB","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2018","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","0"
"2019","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","20","20","1","0"
"2020","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","25","25","0.962","0"
"2021","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","10","10","0.917","0"
"2022","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.9410000000000001","5"
"2023","Cambridge Technicals only","18","England","Female","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Cambridge Technicals only","18","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
