"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","International","EU (excluding UK)","Ireland","25 - 29","Female","95","30","0.295"
"2023","International","EU (excluding UK)","Ireland","25 - 29","Female","50","10"," "
"2020","International","EU (excluding UK)","Italy","25 - 29","Female","5","0"," "
"2021","International","EU (excluding UK)","Italy","25 - 29","Female","5","0"," "
"2022","International","EU (excluding UK)","Luxembourg","25 - 29","Female","5","0"," "
"2020","International","EU (excluding UK)","Portugal","25 - 29","Female","5","0"," "
"2019","International","EU (excluding UK)","Spain","25 - 29","Female","5","0"," "
"2020","International","EU (excluding UK)","Spain","25 - 29","Female","10","5"," "
"2021","International","EU (excluding UK)","Spain","25 - 29","Female","15","5"," "
"2022","International","EU (excluding UK)","Spain","25 - 29","Female","10","5"," "
"2023","International","EU (excluding UK)","Spain","25 - 29","Female","10","0"," "
"2021","International","EU (excluding UK)","Latvia","25 - 29","Female","5","0"," "
"2023","International","EU (excluding UK)","Cyprus (European Union)","25 - 29","Female","5","0"," "
"2019","International","Not EU","Algeria","25 - 29","Female","5","0"," "
"2020","International","Not EU","Australia","25 - 29","Female","5","0"," "
"2019","International","Not EU","Brunei Darussalam","25 - 29","Female","5","0"," "
