"Year","Age group","Domicile","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2020","19","All","Male","5","0"," "
"2022","19","All","Male","5","0"," "
"2023","19","All","Male","5","0"," "
"2021","20","All","Male","5","0"," "
"2022","20","All","Male","5","0"," "
"2023","20","All","Male","15","0"," "
"2019","21 - 24","All","Male","1635","330","0.202"
"2020","21 - 24","All","Male","1515","345","0.227"
"2021","21 - 24","All","Male","2065","405","0.197"
"2022","21 - 24","All","Male","2060","555","0.27"
"2023","21 - 24","All","Male","1605","510","0.317"
"2019","25 - 29","All","Male","1420","310","0.219"
"2020","25 - 29","All","Male","1555","345","0.223"
"2021","25 - 29","All","Male","1905","340","0.179"
"2022","25 - 29","All","Male","1600","425","0.266"
"2023","25 - 29","All","Male","1270","370","0.291"
"2019","30 - 34","All","Male","675","150","0.222"
"2020","30 - 34","All","Male","720","165","0.232"
"2021","30 - 34","All","Male","780","170","0.218"
"2022","30 - 34","All","Male","820","240","0.294"
"2023","30 - 34","All","Male","505","145","0.28500000000000003"
"2019","35 and over","All","Male","995","220","0.222"
"2020","35 and over","All","Male","875","225","0.256"
"2021","35 and over","All","Male","1075","220","0.20700000000000002"
"2022","35 and over","All","Male","885","245","0.276"
"2023","35 and over","All","Male","665","185","0.278"
"2019","All","All","Female","12095","2785","0.23"
"2020","All","All","Female","12490","3010","0.241"
"2021","All","All","Female","15370","3175","0.20600000000000002"
"2022","All","All","Female","12845","3880","0.302"
"2023","All","All","Female","10385","3400","0.327"
"2019","All","All","Male","4735","1010","0.214"
"2020","All","All","Male","4680","1080","0.231"
"2021","All","All","Male","5835","1140","0.195"
"2022","All","All","Male","5390","1470","0.272"
"2023","All","All","Male","4085","1210","0.296"
"2019","21 - 24","Northern Ireland","All","190","30","0.147"
"2020","21 - 24","Northern Ireland","All","130","25","0.177"
"2021","21 - 24","Northern Ireland","All","230","35","0.152"
"2022","21 - 24","Northern Ireland","All","180","55","0.306"
"2023","21 - 24","Northern Ireland","All","85","15","0.2"
