"Year","UK region","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","South East","18","England","Female","Not main scheme applicant","Not main scheme application","285","265","0.937","15"
"2019","South East","18","England","Female","Not main scheme applicant","Not main scheme application","300","285","0.9430000000000001","15"
"2020","South East","18","England","Female","Not main scheme applicant","Not main scheme application","490","460","0.935","35"
"2021","South East","18","England","Female","Not main scheme applicant","Not main scheme application","265","250","0.9390000000000001","10"
"2022","South East","18","England","Female","Not main scheme applicant","Not main scheme application","260","245","0.935","10"
"2023","South East","18","England","Female","Not main scheme applicant","Not main scheme application","275","250","0.909","15"
"2006","South West","18","England","Female","Not main scheme applicant","Not main scheme application","105","100","0.99","10"
"2007","South West","18","England","Female","Not main scheme applicant","Not main scheme application","90","90","0.989","10"
"2008","South West","18","England","Female","Not main scheme applicant","Not main scheme application","100","95","0.9410000000000001","20"
"2009","South West","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.919","20"
"2010","South West","18","England","Female","Not main scheme applicant","Not main scheme application","50","50","0.98","15"
"2011","South West","18","England","Female","Not main scheme applicant","Not main scheme application","60","55","0.9","10"
"2012","South West","18","England","Female","Not main scheme applicant","Not main scheme application","90","90","0.989","5"
"2013","South West","18","England","Female","Not main scheme applicant","Not main scheme application","90","85","0.9440000000000001","10"
"2014","South West","18","England","Female","Not main scheme applicant","Not main scheme application","100","95","0.9510000000000001","10"
"2015","South West","18","England","Female","Not main scheme applicant","Not main scheme application","130","125","0.9540000000000001","15"
"2016","South West","18","England","Female","Not main scheme applicant","Not main scheme application","95","90","0.968","10"
"2017","South West","18","England","Female","Not main scheme applicant","Not main scheme application","135","125","0.927","5"
"2018","South West","18","England","Female","Not main scheme applicant","Not main scheme application","145","145","0.993","10"
"2019","South West","18","England","Female","Not main scheme applicant","Not main scheme application","190","180","0.9530000000000001","10"
"2020","South West","18","England","Female","Not main scheme applicant","Not main scheme application","260","245","0.9540000000000001","20"
"2021","South West","18","England","Female","Not main scheme applicant","Not main scheme application","150","150","0.987","10"
"2022","South West","18","England","Female","Not main scheme applicant","Not main scheme application","115","110","0.9490000000000001","10"
"2023","South West","18","England","Female","Not main scheme applicant","Not main scheme application","135","125","0.927","5"
"2006","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2007","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","0"
"2008","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2009","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","5"
"2011","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","1","0"
"2019","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","35","30","0.879","5"
"2021","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2022","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","Northern Ireland","18","Northern Ireland","Female","Not main scheme applicant","Not main scheme application","10","10","1","5"
