"Year","Parental responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","17 and under","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Does not have parental responsibility","17 and under","England","Female","Main scheme applicant","Not main scheme application","65","50","0.716","0"
"2023","Does not have parental responsibility","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","45","30","0.727","0"
"2023","Does not have parental responsibility","17 and under","Wales","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Main scheme applicant","Not main scheme application","195","175","0.912","0"
"2023","Not declared","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have parental responsibility","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","690","565","0.8200000000000001","0"
"2023","Does not have parental responsibility","18","England","Female","Main scheme applicant","Not main scheme application","22110","20335","0.92","0"
"2023","Does not have parental responsibility","18","Scotland","Female","Main scheme applicant","Not main scheme application","610","480","0.786","0"
"2023","Does not have parental responsibility","18","Wales","Female","Main scheme applicant","Not main scheme application","705","645","0.916","0"
"2023","Has parental responsibility","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Has parental responsibility","18","England","Female","Main scheme applicant","Not main scheme application","75","70","0.919","0"
"2023","Has parental responsibility","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","19","England","Female","Main scheme applicant","Not main scheme application","75","65","0.855","0"
"2023","Does not have parental responsibility","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","160","125","0.792","0"
"2023","Does not have parental responsibility","19","England","Female","Main scheme applicant","Not main scheme application","4885","4265","0.873","0"
"2023","Does not have parental responsibility","19","Scotland","Female","Main scheme applicant","Not main scheme application","205","150","0.74","0"
"2023","Does not have parental responsibility","19","Wales","Female","Main scheme applicant","Not main scheme application","185","160","0.875","0"
"2023","Has parental responsibility","19","England","Female","Main scheme applicant","Not main scheme application","35","25","0.794","0"
"2023","Not declared","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","20","England","Female","Main scheme applicant","Not main scheme application","30","25","0.857","0"
"2023","Does not have parental responsibility","20","Northern Ireland","Female","Main scheme applicant","Not main scheme application","45","35","0.783","0"
"2023","Does not have parental responsibility","20","England","Female","Main scheme applicant","Not main scheme application","1435","1195","0.8310000000000001","0"
"2023","Does not have parental responsibility","20","Scotland","Female","Main scheme applicant","Not main scheme application","105","80","0.729","0"
