"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2019","Female","25 - 29","Not EU","Not main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","Female","25 - 29","Not EU","Not main scheme applicant","Not main scheme application","25","20","0.8260000000000001","0"
"2021","Female","25 - 29","Not EU","Not main scheme applicant","Not main scheme application","15","10"," ","0"
"2022","Female","25 - 29","Not EU","Not main scheme applicant","Not main scheme application","20","10","0.524","0"
"2023","Female","25 - 29","Not EU","Not main scheme applicant","Not main scheme application","15","10","0.667","0"
"2019","Male","25 - 29","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Male","25 - 29","Not EU","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Male","25 - 29","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","30 - 34","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","30 - 34","Not EU","Not main scheme applicant","Not main scheme application","20","10","0.526","0"
"2021","Female","30 - 34","Not EU","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Female","30 - 34","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","30 - 34","Not EU","Not main scheme applicant","Not main scheme application","15","15","0.875","0"
"2020","Male","30 - 34","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Male","30 - 34","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Male","30 - 34","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","35 and over","Not EU","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Female","35 and over","Not EU","Not main scheme applicant","Not main scheme application","30","20","0.679","0"
"2021","Female","35 and over","Not EU","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Female","35 and over","Not EU","Not main scheme applicant","Not main scheme application","15","5"," ","0"
"2023","Female","35 and over","Not EU","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Male","35 and over","Not EU","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Male","35 and over","Not EU","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","18","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","18","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","19","EU (excluding UK)","Not main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Female","19","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","19","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","20","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","20","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","Female","20","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","20","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","Female","21 - 24","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Female","21 - 24","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Female","21 - 24","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","Female","30 - 34","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Female","35 and over","EU (excluding UK)","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","55","40","0.764","0"
"2020","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","80","65","0.8270000000000001","0"
"2021","Female","18","Northern Ireland","Main scheme applicant","Not main scheme application","90","70","0.747","0"
