"Year","Gender","Age group","Domicile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","10","5"," ","0"
"2023","Female","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","10","5"," ","0"
"2019","Male","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","Male","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Male","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","10","5"," ","0"
"2022","Male","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","25 - 29","Northern Ireland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","Female","30 - 34","Northern Ireland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Female","30 - 34","Northern Ireland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","Male","30 - 34","Northern Ireland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","35 and over","Northern Ireland","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","Female","18","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2022","Female","18","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2023","Male","18","England","Main scheme applicant","Main scheme application","5","0"," ","0"
"2019","Female","21 - 24","England","Main scheme applicant","Main scheme application","50","25","0.451","0"
"2020","Female","21 - 24","England","Main scheme applicant","Main scheme application","35","15","0.389","0"
"2021","Female","21 - 24","England","Main scheme applicant","Main scheme application","65","20","0.303","0"
"2022","Female","21 - 24","England","Main scheme applicant","Main scheme application","100","50","0.505","0"
"2023","Female","21 - 24","England","Main scheme applicant","Main scheme application","95","35","0.389","0"
"2019","Male","21 - 24","England","Main scheme applicant","Main scheme application","20","5"," ","0"
"2020","Male","21 - 24","England","Main scheme applicant","Main scheme application","15","5"," ","0"
"2021","Male","21 - 24","England","Main scheme applicant","Main scheme application","20","5"," ","0"
"2022","Male","21 - 24","England","Main scheme applicant","Main scheme application","45","15","0.318","0"
"2023","Male","21 - 24","England","Main scheme applicant","Main scheme application","35","20","0.486","0"
"2019","Female","25 - 29","England","Main scheme applicant","Main scheme application","20","5"," ","0"
"2020","Female","25 - 29","England","Main scheme applicant","Main scheme application","25","15","0.56","0"
"2021","Female","25 - 29","England","Main scheme applicant","Main scheme application","40","15","0.385","0"
"2022","Female","25 - 29","England","Main scheme applicant","Main scheme application","25","5"," ","0"
"2023","Female","25 - 29","England","Main scheme applicant","Main scheme application","15","10","0.588","0"
"2019","Male","25 - 29","England","Main scheme applicant","Main scheme application","10","5"," ","0"
"2020","Male","25 - 29","England","Main scheme applicant","Main scheme application","10","5"," ","0"
"2021","Male","25 - 29","England","Main scheme applicant","Main scheme application","15","5"," ","0"
"2022","Male","25 - 29","England","Main scheme applicant","Main scheme application","10","5"," ","0"
