"Year","Predicted SQA higher points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2017","11 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2018","11 point(s)","All","Main scheme applicant","All","15","5"," ","0"
"2019","11 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2020","11 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2021","11 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2022","11 point(s)","All","Main scheme applicant","All","5","0"," ","0"
"2023","11 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2010","12 point(s)","All","Main scheme applicant","All","60","30","0.492","0"
"2011","12 point(s)","All","Main scheme applicant","All","35","15","0.405","0"
"2012","12 point(s)","All","Main scheme applicant","All","40","15","0.359","0"
"2013","12 point(s)","All","Main scheme applicant","All","35","15","0.389","0"
"2014","12 point(s)","All","Main scheme applicant","All","40","10","0.28600000000000003","0"
"2015","12 point(s)","All","Main scheme applicant","All","40","15","0.359","0"
"2016","12 point(s)","All","Main scheme applicant","All","25","10"," ","0"
"2017","12 point(s)","All","Main scheme applicant","All","20","5"," ","0"
"2018","12 point(s)","All","Main scheme applicant","All","15","5"," ","0"
"2019","12 point(s)","All","Main scheme applicant","All","15","5"," ","0"
"2020","12 point(s)","All","Main scheme applicant","All","20","10","0.55","0"
"2021","12 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2022","12 point(s)","All","Main scheme applicant","All","15","10"," ","0"
"2023","12 point(s)","All","Main scheme applicant","All","25","10","0.522","0"
"2010","13 point(s)","All","Main scheme applicant","All","45","25","0.5740000000000001","0"
"2011","13 point(s)","All","Main scheme applicant","All","50","25","0.52","0"
"2012","13 point(s)","All","Main scheme applicant","All","65","30","0.46","0"
"2013","13 point(s)","All","Main scheme applicant","All","50","20","0.392","0"
"2014","13 point(s)","All","Main scheme applicant","All","55","20","0.377","0"
"2015","13 point(s)","All","Main scheme applicant","All","45","10","0.261","0"
"2016","13 point(s)","All","Main scheme applicant","All","35","20","0.514","0"
"2017","13 point(s)","All","Main scheme applicant","All","15","10"," ","0"
"2018","13 point(s)","All","Main scheme applicant","All","30","10","0.367","0"
"2019","13 point(s)","All","Main scheme applicant","All","25","10","0.423","0"
"2020","13 point(s)","All","Main scheme applicant","All","25","20","0.72","0"
"2021","13 point(s)","All","Main scheme applicant","All","30","20","0.759","0"
"2022","13 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2023","13 point(s)","All","Main scheme applicant","All","20","15","0.773","0"
"2010","14 point(s)","All","Main scheme applicant","All","50","35","0.6940000000000001","0"
"2011","14 point(s)","All","Main scheme applicant","All","50","25","0.51","0"
"2012","14 point(s)","All","Main scheme applicant","All","60","25","0.435","0"
"2013","14 point(s)","All","Main scheme applicant","All","60","25","0.424","0"
"2014","14 point(s)","All","Main scheme applicant","All","70","35","0.514","0"
"2015","14 point(s)","All","Main scheme applicant","All","80","40","0.481","0"
"2016","14 point(s)","All","Main scheme applicant","All","50","30","0.5710000000000001","0"
"2017","14 point(s)","All","Main scheme applicant","All","55","30","0.582","0"
"2018","14 point(s)","All","Main scheme applicant","All","45","30","0.617","0"
"2019","14 point(s)","All","Main scheme applicant","All","30","15","0.46900000000000003","0"
"2020","14 point(s)","All","Main scheme applicant","All","40","35","0.854","0"
"2021","14 point(s)","All","Main scheme applicant","All","35","25","0.727","0"
"2022","14 point(s)","All","Main scheme applicant","All","20","15","0.682","0"
"2023","14 point(s)","All","Main scheme applicant","All","35","20","0.618","0"
"2010","15 point(s)","All","Main scheme applicant","All","60","40","0.678","0"
"2011","15 point(s)","All","Main scheme applicant","All","55","30","0.545","0"
"2012","15 point(s)","All","Main scheme applicant","All","80","40","0.519","0"
"2013","15 point(s)","All","Main scheme applicant","All","70","45","0.623","0"
"2014","15 point(s)","All","Main scheme applicant","All","80","40","0.538","0"
"2015","15 point(s)","All","Main scheme applicant","All","90","55","0.602","0"
"2016","15 point(s)","All","Main scheme applicant","All","50","30","0.588","0"
"2017","15 point(s)","All","Main scheme applicant","All","60","30","0.552","0"
"2018","15 point(s)","All","Main scheme applicant","All","65","45","0.682","0"
"2019","15 point(s)","All","Main scheme applicant","All","55","35","0.642","0"
"2020","15 point(s)","All","Main scheme applicant","All","40","25","0.684","0"
"2021","15 point(s)","All","Main scheme applicant","All","45","30","0.744","0"
"2022","15 point(s)","All","Main scheme applicant","All","30","20","0.643","0"
"2023","15 point(s)","All","Main scheme applicant","All","45","30","0.711","0"
"2010","16 point(s)","All","Main scheme applicant","All","35","30","0.8290000000000001","0"
"2011","16 point(s)","All","Main scheme applicant","All","40","30","0.714","0"
"2012","16 point(s)","All","Main scheme applicant","All","50","35","0.708","0"
"2013","16 point(s)","All","Main scheme applicant","All","45","35","0.783","0"
"2014","16 point(s)","All","Main scheme applicant","All","60","40","0.655","0"
"2015","16 point(s)","All","Main scheme applicant","All","65","25","0.397","0"
"2016","16 point(s)","All","Main scheme applicant","All","55","35","0.579","0"
"2017","16 point(s)","All","Main scheme applicant","All","65","40","0.646","0"
"2018","16 point(s)","All","Main scheme applicant","All","55","35","0.596","0"
"2019","16 point(s)","All","Main scheme applicant","All","55","45","0.8","0"
"2020","16 point(s)","All","Main scheme applicant","All","60","50","0.8280000000000001","0"
"2021","16 point(s)","All","Main scheme applicant","All","40","30","0.683","0"
"2022","16 point(s)","All","Main scheme applicant","All","40","30","0.769","0"
"2023","16 point(s)","All","Main scheme applicant","All","45","30","0.652","0"
"2010","17 point(s)","All","Main scheme applicant","All","25","20","0.792","0"
"2011","17 point(s)","All","Main scheme applicant","All","25","20","0.769","0"
"2012","17 point(s)","All","Main scheme applicant","All","40","30","0.762","0"
"2013","17 point(s)","All","Main scheme applicant","All","35","30","0.838","0"
"2014","17 point(s)","All","Main scheme applicant","All","50","35","0.667","0"
"2015","17 point(s)","All","Main scheme applicant","All","60","35","0.627","0"
"2016","17 point(s)","All","Main scheme applicant","All","65","40","0.625","0"
"2017","17 point(s)","All","Main scheme applicant","All","45","30","0.681","0"
"2018","17 point(s)","All","Main scheme applicant","All","55","45","0.796","0"
"2019","17 point(s)","All","Main scheme applicant","All","40","25","0.595","0"
"2020","17 point(s)","All","Main scheme applicant","All","55","40","0.719","0"
"2021","17 point(s)","All","Main scheme applicant","All","60","50","0.847","0"
"2022","17 point(s)","All","Main scheme applicant","All","35","20","0.559","0"
"2023","17 point(s)","All","Main scheme applicant","All","35","25","0.75","0"
"2010","18 point(s)","All","Main scheme applicant","All","15","10","0.786","0"
"2011","18 point(s)","All","Main scheme applicant","All","25","20","0.783","0"
"2012","18 point(s)","All","Main scheme applicant","All","25","15","0.654","0"
"2013","18 point(s)","All","Main scheme applicant","All","20","15","0.682","0"
"2014","18 point(s)","All","Main scheme applicant","All","40","30","0.75","0"
"2015","18 point(s)","All","Main scheme applicant","All","45","35","0.723","0"
"2016","18 point(s)","All","Main scheme applicant","All","40","20","0.537","0"
"2017","18 point(s)","All","Main scheme applicant","All","35","25","0.722","0"
"2018","18 point(s)","All","Main scheme applicant","All","50","35","0.706","0"
"2019","18 point(s)","All","Main scheme applicant","All","45","35","0.723","0"
"2020","18 point(s)","All","Main scheme applicant","All","55","50","0.926","0"
"2021","18 point(s)","All","Main scheme applicant","All","50","40","0.8240000000000001","0"
"2022","18 point(s)","All","Main scheme applicant","All","30","20","0.645","0"
"2023","18 point(s)","All","Main scheme applicant","All","40","25","0.65","0"
"2010","19 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2011","19 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2012","19 point(s)","All","Main scheme applicant","All","35","20","0.667","0"
"2013","19 point(s)","All","Main scheme applicant","All","20","15","0.722","0"
"2014","19 point(s)","All","Main scheme applicant","All","25","25","0.92","0"
"2015","19 point(s)","All","Main scheme applicant","All","35","20","0.636","0"
"2016","19 point(s)","All","Main scheme applicant","All","40","30","0.789","0"
"2017","19 point(s)","All","Main scheme applicant","All","50","40","0.833","0"
"2018","19 point(s)","All","Main scheme applicant","All","30","25","0.781","0"
"2019","19 point(s)","All","Main scheme applicant","All","35","30","0.778","0"
"2020","19 point(s)","All","Main scheme applicant","All","35","30","0.811","0"
"2021","19 point(s)","All","Main scheme applicant","All","50","45","0.92","0"
"2022","19 point(s)","All","Main scheme applicant","All","30","20","0.733","0"
"2023","19 point(s)","All","Main scheme applicant","All","35","30","0.784","0"
"2010","20 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2011","20 point(s)","All","Main scheme applicant","All","10","5"," ","0"
"2012","20 point(s)","All","Main scheme applicant","All","20","15","0.778","0"
