"Year","Predicted A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","14 point(s)","White","Main scheme applicant","Not main scheme application","2025","1920","0.9490000000000001","0"
"2023","14 point(s)","White","Main scheme applicant","Not main scheme application","2175","2085","0.9580000000000001","0"
"2010","15 point(s)","White","Main scheme applicant","Not main scheme application","1380","1260","0.912","0"
"2011","15 point(s)","White","Main scheme applicant","Not main scheme application","1605","1455","0.908","0"
"2012","15 point(s)","White","Main scheme applicant","Not main scheme application","1565","1485","0.9480000000000001","0"
"2013","15 point(s)","White","Main scheme applicant","Not main scheme application","1560","1460","0.937","0"
"2014","15 point(s)","White","Main scheme applicant","Not main scheme application","1755","1645","0.937","0"
"2015","15 point(s)","White","Main scheme applicant","Not main scheme application","1700","1605","0.9460000000000001","0"
"2016","15 point(s)","White","Main scheme applicant","Not main scheme application","1960","1850","0.9440000000000001","0"
"2017","15 point(s)","White","Main scheme applicant","Not main scheme application","2250","2120","0.9410000000000001","0"
"2018","15 point(s)","White","Main scheme applicant","Not main scheme application","2270","2150","0.9480000000000001","0"
"2019","15 point(s)","White","Main scheme applicant","Not main scheme application","2635","2535","0.961","0"
"2020","15 point(s)","White","Main scheme applicant","Not main scheme application","2840","2725","0.9590000000000001","0"
"2021","15 point(s)","White","Main scheme applicant","Not main scheme application","1405","1305","0.929","0"
"2022","15 point(s)","White","Main scheme applicant","Not main scheme application","2260","2095","0.927","0"
"2023","15 point(s)","White","Main scheme applicant","Not main scheme application","2460","2315","0.9400000000000001","0"
"2010","16 point(s)","White","Main scheme applicant","Not main scheme application","340","300","0.88","0"
"2011","16 point(s)","White","Main scheme applicant","Not main scheme application","545","495","0.905","0"
"2012","16 point(s)","White","Main scheme applicant","Not main scheme application","650","610","0.9390000000000001","0"
"2013","16 point(s)","White","Main scheme applicant","Not main scheme application","770","725","0.9400000000000001","0"
"2014","16 point(s)","White","Main scheme applicant","Not main scheme application","885","840","0.9460000000000001","0"
"2015","16 point(s)","White","Main scheme applicant","Not main scheme application","935","870","0.928","0"
"2016","16 point(s)","White","Main scheme applicant","Not main scheme application","970","905","0.933","0"
"2017","16 point(s)","White","Main scheme applicant","Not main scheme application","1145","1095","0.9560000000000001","0"
"2018","16 point(s)","White","Main scheme applicant","Not main scheme application","1195","1140","0.9530000000000001","0"
"2019","16 point(s)","White","Main scheme applicant","Not main scheme application","1540","1465","0.9510000000000001","0"
"2020","16 point(s)","White","Main scheme applicant","Not main scheme application","1705","1650","0.967","0"
"2021","16 point(s)","White","Main scheme applicant","Not main scheme application","755","700","0.928","0"
"2022","16 point(s)","White","Main scheme applicant","Not main scheme application","1595","1480","0.929","0"
"2023","16 point(s)","White","Main scheme applicant","Not main scheme application","1805","1700","0.9400000000000001","0"
"2010","17 point(s)","White","Main scheme applicant","Not main scheme application","135","115","0.839","0"
"2011","17 point(s)","White","Main scheme applicant","Not main scheme application","190","175","0.926","0"
"2012","17 point(s)","White","Main scheme applicant","Not main scheme application","290","270","0.9380000000000001","0"
"2013","17 point(s)","White","Main scheme applicant","Not main scheme application","320","295","0.925","0"
"2014","17 point(s)","White","Main scheme applicant","Not main scheme application","385","350","0.917","0"
"2015","17 point(s)","White","Main scheme applicant","Not main scheme application","445","415","0.937","0"
"2016","17 point(s)","White","Main scheme applicant","Not main scheme application","485","450","0.928","0"
"2017","17 point(s)","White","Main scheme applicant","Not main scheme application","565","530","0.931","0"
"2018","17 point(s)","White","Main scheme applicant","Not main scheme application","580","545","0.9450000000000001","0"
"2019","17 point(s)","White","Main scheme applicant","Not main scheme application","765","710","0.929","0"
"2020","17 point(s)","White","Main scheme applicant","Not main scheme application","870","840","0.966","0"
"2021","17 point(s)","White","Main scheme applicant","Not main scheme application","365","330","0.907","0"
"2022","17 point(s)","White","Main scheme applicant","Not main scheme application","880","795","0.902","0"
"2023","17 point(s)","White","Main scheme applicant","Not main scheme application","1145","1065","0.93","0"
"2010","18 point(s)","White","Main scheme applicant","Not main scheme application","85","65","0.779","0"
"2011","18 point(s)","White","Main scheme applicant","Not main scheme application","120","105","0.898","0"
"2012","18 point(s)","White","Main scheme applicant","Not main scheme application","165","155","0.933","0"
"2013","18 point(s)","White","Main scheme applicant","Not main scheme application","175","160","0.915","0"
"2014","18 point(s)","White","Main scheme applicant","Not main scheme application","190","175","0.92","0"
"2015","18 point(s)","White","Main scheme applicant","Not main scheme application","180","165","0.917","0"
"2016","18 point(s)","White","Main scheme applicant","Not main scheme application","230","210","0.905","0"
"2017","18 point(s)","White","Main scheme applicant","Not main scheme application","220","205","0.928","0"
"2018","18 point(s)","White","Main scheme applicant","Not main scheme application","290","265","0.924","0"
"2019","18 point(s)","White","Main scheme applicant","Not main scheme application","390","370","0.9460000000000001","0"
"2020","18 point(s)","White","Main scheme applicant","Not main scheme application","475","465","0.973","0"
"2021","18 point(s)","White","Main scheme applicant","Not main scheme application","200","175","0.884","0"
"2022","18 point(s)","White","Main scheme applicant","Not main scheme application","625","555","0.883","0"
"2023","18 point(s)","White","Main scheme applicant","Not main scheme application","835","780","0.9390000000000001","0"
"2021","3 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","3 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","3 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","4 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","4 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","4 point(s)","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","4 point(s)","Black","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","4 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","5 point(s)","Black","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2011","5 point(s)","Black","Main scheme applicant","Not main scheme application","20","10","0.611","0"
"2012","5 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","5 point(s)","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","5 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","5 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","5 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","5 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","5 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","5 point(s)","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","5 point(s)","Black","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","5 point(s)","Black","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2022","5 point(s)","Black","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2023","5 point(s)","Black","Main scheme applicant","Not main scheme application","15","10","0.846","0"
"2010","6 point(s)","Black","Main scheme applicant","Not main scheme application","35","30","0.879","0"
"2011","6 point(s)","Black","Main scheme applicant","Not main scheme application","35","30","0.757","0"
"2012","6 point(s)","Black","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2013","6 point(s)","Black","Main scheme applicant","Not main scheme application","20","20","0.905","0"
"2014","6 point(s)","Black","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","6 point(s)","Black","Main scheme applicant","Not main scheme application","20","20","0.9","0"
"2016","6 point(s)","Black","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
