"Year","Subject group HECoS","Detailed subject group HECoS","UK region","Main scheme applicant","Main scheme application","Accepted applicants"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","North East","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH19) language and area studies","(CAH19-01-07) linguistics","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH19) language and area studies","(CAH19-04-06) Asian studies","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH19) language and area studies","(CAH19-04-06) Asian studies","North East","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH19) language and area studies","(CAH19-04-06) Asian studies","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North East","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North East","Not main scheme applicant","Not main scheme application","40"
"2021","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North East","Not main scheme applicant","Not main scheme application","25"
"2022","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North East","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH24) media, journalism and communications","(CAH24-01-05) media studies","North East","Not main scheme applicant","Not main scheme application","30"
"2019","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North East","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North East","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH24) media, journalism and communications","(CAH24-01-04) journalism","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH23) combined and general studies","(CAH23-01-03) humanities (non-specific)","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH23) combined and general studies","(CAH23-01-02) personal development","North East","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH23) combined and general studies","(CAH23-01-02) personal development","North East","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH23) combined and general studies","(CAH23-01-02) personal development","North East","Not main scheme applicant","Not main scheme application","15"
"2023","(CAH23) combined and general studies","(CAH23-01-02) personal development","North East","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH23) combined and general studies","(CAH23-01-01) combined, general or negotiated studies","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH17) business and management","(CAH17-01-03) marketing","North East","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH17) business and management","(CAH17-01-03) marketing","North East","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH17) business and management","(CAH17-01-03) marketing","North East","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH17) business and management","(CAH17-01-03) marketing","North East","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH17) business and management","(CAH17-01-03) marketing","North East","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North East","Not main scheme applicant","Not main scheme application","40"
"2020","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North East","Not main scheme applicant","Not main scheme application","60"
"2021","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North East","Not main scheme applicant","Not main scheme application","45"
"2022","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North East","Not main scheme applicant","Not main scheme application","95"
"2023","(CAH17) business and management","(CAH17-01-01) business and management (non-specific)","North East","Not main scheme applicant","Not main scheme application","105"
"2019","(CAH17) business and management","(CAH17-01-02) business studies","North East","Not main scheme applicant","Not main scheme application","110"
"2020","(CAH17) business and management","(CAH17-01-02) business studies","North East","Not main scheme applicant","Not main scheme application","95"
"2021","(CAH17) business and management","(CAH17-01-02) business studies","North East","Not main scheme applicant","Not main scheme application","60"
"2022","(CAH17) business and management","(CAH17-01-02) business studies","North East","Not main scheme applicant","Not main scheme application","55"
"2023","(CAH17) business and management","(CAH17-01-02) business studies","North East","Not main scheme applicant","Not main scheme application","80"
"2019","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North East","Not main scheme applicant","Not main scheme application","70"
"2020","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North East","Not main scheme applicant","Not main scheme application","55"
"2021","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North East","Not main scheme applicant","Not main scheme application","55"
"2022","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North East","Not main scheme applicant","Not main scheme application","115"
"2023","(CAH17) business and management","(CAH17-01-06) tourism, transport and travel","North East","Not main scheme applicant","Not main scheme application","70"
"2019","(CAH17) business and management","(CAH17-01-05) human resource management","North East","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH17) business and management","(CAH17-01-05) human resource management","North East","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH17) business and management","(CAH17-01-05) human resource management","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH17) business and management","(CAH17-01-05) human resource management","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH17) business and management","(CAH17-01-04) management studies","North East","Not main scheme applicant","Not main scheme application","20"
"2020","(CAH17) business and management","(CAH17-01-04) management studies","North East","Not main scheme applicant","Not main scheme application","25"
"2021","(CAH17) business and management","(CAH17-01-04) management studies","North East","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH17) business and management","(CAH17-01-04) management studies","North East","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH17) business and management","(CAH17-01-04) management studies","North East","Not main scheme applicant","Not main scheme application","20"
"2019","(CAH17) business and management","(CAH17-01-08) accounting","North East","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH17) business and management","(CAH17-01-08) accounting","North East","Not main scheme applicant","Not main scheme application","20"
"2021","(CAH17) business and management","(CAH17-01-08) accounting","North East","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH17) business and management","(CAH17-01-08) accounting","North East","Not main scheme applicant","Not main scheme application","25"
"2023","(CAH17) business and management","(CAH17-01-08) accounting","North East","Not main scheme applicant","Not main scheme application","15"
"2019","(CAH17) business and management","(CAH17-01-07) finance","North East","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH17) business and management","(CAH17-01-07) finance","North East","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH17) business and management","(CAH17-01-07) finance","North East","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH17) business and management","(CAH17-01-07) finance","North East","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH17) business and management","(CAH17-01-07) finance","North East","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH15) social sciences","(CAH15-03-01) politics","North East","Not main scheme applicant","Not main scheme application","20"
