"Year","Deferred entry","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2016","Deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","5","0"," "
"2018","Deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Deferred","35 and over","Wales","All","Main scheme applicant","Not main scheme application","5","5"," "
"2006","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","140","125","0.901"
"2007","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","150","130","0.885"
"2008","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","180","145","0.807"
"2009","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","205","150","0.718"
"2010","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","235","180","0.764"
"2011","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","295","170","0.5760000000000001"
"2012","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","355","230","0.65"
"2013","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","375","245","0.651"
"2014","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","400","260","0.647"
"2015","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","365","240","0.656"
"2016","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","400","275","0.683"
"2017","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","430","275","0.638"
"2018","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","530","360","0.678"
"2019","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","500","340","0.681"
"2020","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","545","390","0.716"
"2021","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","450","280","0.617"
"2022","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","690","355","0.514"
"2023","Not deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","690","360","0.517"
"2006","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","15","10"," "
"2007","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","5","5"," "
"2008","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","5","5"," "
"2009","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","15","10"," "
"2010","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","10","5"," "
"2011","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","5","5"," "
"2012","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","10","10","1"
"2013","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","15","15","1"
"2014","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","10","5"," "
"2015","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","10","10"," "
"2016","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","25","10","0.444"
"2017","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","20","10","0.526"
"2018","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","25","10","0.417"
"2019","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","20","5"," "
"2020","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","55","40","0.719"
"2021","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","25","10","0.522"
"2022","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","35","15","0.41200000000000003"
"2023","Deferred","17 and under","Not EU","All","Main scheme applicant","Not main scheme application","25","10","0.4"
"2006","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","675","625","0.924"
"2007","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","735","650","0.884"
"2008","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","810","720","0.887"
"2009","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1035","835","0.806"
"2010","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1185","935","0.789"
"2011","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1260","945","0.753"
"2012","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1470","1100","0.749"
"2013","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1605","1200","0.748"
"2014","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1835","1360","0.743"
"2015","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1880","1420","0.756"
"2016","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1830","1405","0.768"
"2017","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1940","1450","0.749"
"2018","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","2210","1700","0.77"
"2019","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","2495","1985","0.796"
"2020","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","2650","2125","0.802"
"2021","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","1860","1310","0.7030000000000001"
"2022","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","2640","1655","0.628"
"2023","Not deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","2845","1835","0.645"
"2006","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","25","15","0.708"
"2007","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","20","15","0.833"
"2008","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","30","20","0.724"
"2009","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","45","30","0.727"
"2010","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","30","30","1"
"2011","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","25","25","1"
"2012","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","30","30","1"
"2013","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","35","35","0.972"
"2014","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","65","45","0.682"
"2015","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","35","30","0.9390000000000001"
"2016","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","105","50","0.457"
"2017","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","75","40","0.521"
"2018","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","65","30","0.46"
"2019","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","85","40","0.488"
"2020","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","225","195","0.862"
"2021","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","75","50","0.636"
"2022","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","90","40","0.444"
"2023","Deferred","18","Not EU","All","Main scheme applicant","Not main scheme application","60","35","0.581"
"2006","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","645","590","0.913"
"2007","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","725","655","0.903"
"2008","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","955","845","0.881"
"2009","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1070","870","0.8130000000000001"
"2010","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1125","845","0.75"
"2011","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1220","905","0.743"
"2012","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1320","975","0.736"
"2013","Not deferred","19","Not EU","All","Main scheme applicant","Not main scheme application","1335","1000","0.749"
