"Year","Difference between predicted and achieved A level points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2014","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2015","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2018","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10"," ","0"
"2020","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","40","35","0.786","0"
"2022","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.8","0"
"2023","3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2013","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2016","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2017","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2018","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2020","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","5","0"," ","0"
"2021","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","15","10","0.625","0"
"2022","More than 3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","10","10"," ","0"
"2010","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","245","200","0.811","0"
"2011","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","255","200","0.781","0"
"2012","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","215","170","0.787","0"
"2013","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","165","135","0.8280000000000001","0"
"2014","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","160","120","0.755","0"
"2015","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","250","220","0.872","0"
"2016","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","205","165","0.809","0"
"2017","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","220","180","0.811","0"
"2018","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","225","180","0.792","0"
"2019","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","195","150","0.768","0"
"2020","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","290","215","0.744","0"
"2021","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","280","215","0.765","0"
"2022","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","260","200","0.771","0"
"2023","-1 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","220","185","0.839","0"
"2010","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","210","155","0.729","0"
"2011","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","200","135","0.663","0"
"2012","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","195","150","0.764","0"
"2013","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","175","130","0.763","0"
"2014","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","175","120","0.682","0"
"2015","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","195","135","0.6990000000000001","0"
"2016","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","260","190","0.731","0"
"2017","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","210","170","0.805","0"
"2018","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","215","170","0.774","0"
"2019","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","225","170","0.751","0"
"2020","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","190","125","0.665","0"
"2021","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","135","95","0.6930000000000001","0"
"2022","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","220","155","0.711","0"
"2023","-2 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","275","210","0.756","0"
"2010","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","130","85","0.652","0"
"2011","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","120","70","0.5750000000000001","0"
"2012","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","125","80","0.667","0"
"2013","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","70","0.598","0"
"2014","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","110","65","0.586","0"
"2015","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","155","110","0.71","0"
"2016","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","190","125","0.654","0"
"2017","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","160","105","0.654","0"
"2018","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","170","115","0.665","0"
"2019","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","175","110","0.629","0"
"2020","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","60","0.534","0"
"2021","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","95","60","0.617","0"
"2022","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","155","95","0.622","0"
"2023","-3 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","200","130","0.657","0"
"2010","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","60","20","0.305","0"
"2011","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","60","25","0.417","0"
"2012","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","60","25","0.424","0"
"2013","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","55","25","0.444","0"
"2014","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","30","0.588","0"
"2015","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","90","55","0.607","0"
"2016","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","115","70","0.591","0"
"2017","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","110","65","0.5710000000000001","0"
"2018","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","135","75","0.541","0"
"2019","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","125","80","0.635","0"
"2020","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","50","30","0.558","0"
"2021","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","55","30","0.509","0"
"2022","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","100","50","0.47100000000000003","0"
"2023","-4 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","160","95","0.599","0"
"2010","-5 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","35","15","0.35100000000000003","0"
"2011","-5 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","15","0.464","0"
"2012","-5 points","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","10","0.41400000000000003","0"
