"Year","MEM quintile","Tariff group of provider","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants","Population estimate","Entry rate"
"2018","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","78400","0.001"
"2019","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","35990","0"
"2019","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","41220","0"
"2019","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","48110","0"
"2019","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","74760","0"
"2019","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","60","77610","0.001"
"2020","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","34970","0"
"2020","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","40040","0"
"2020","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","47330","0"
"2020","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","30","74620","0"
"2020","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","80","78010","0.001"
"2021","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","37060","0"
"2021","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","40780","0"
"2021","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","48670","0"
"2021","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","76990","0"
"2021","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","81310","0"
"2022","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","40190","0"
"2022","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","41760","0"
"2022","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","49710","0"
"2022","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","78620","0"
"2022","Quintile 5","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","20","83390","0"
"2023","Quintile 1","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","44850","0"
"2023","Quintile 2","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","42390","0"
"2023","Quintile 3","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","0","51160","0"
"2023","Quintile 4","Higher tariff","18","England","Female","Not main scheme applicant","Not main scheme application","10","80310","0"
