"Year","Achieved SQA higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2018","15 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","15 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","15 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","15 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","15 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","15 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","16 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","16 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","16 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","16 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","16 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","16 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","16 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","16 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","16 point(s)","Asian","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2020","16 point(s)","Asian","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2021","16 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","16 point(s)","Asian","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","16 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","17 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","17 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","17 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","17 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","17 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","17 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","17 point(s)","Asian","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","17 point(s)","Asian","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","17 point(s)","Asian","Main scheme applicant","Not main scheme application","15","10","0.923","0"
