"Year","Achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","8 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","8 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","8 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","9 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","9 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","9 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","9 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","9 point(s)","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2016","9 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","9 point(s)","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2018","9 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","9 point(s)","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2020","9 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","9 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","9 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","9 point(s)","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2011","10 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","10 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","10 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","10 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","10 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","10 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","10 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","10 point(s)","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","10 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","10 point(s)","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","10 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","10 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","10 point(s)","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
