"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2021","International","Not EU","Nigeria","25 - 29","Female","25","0","0"
"2022","International","Not EU","Nigeria","25 - 29","Female","25","0","0"
"2023","International","Not EU","Nigeria","25 - 29","Female","15","0","0"
"2022","International","Not EU","Pakistan","25 - 29","Female","5","0","0"
"2023","International","Not EU","Saudi Arabia","25 - 29","Female","5","0","0"
"2022","International","Not EU","United States of America","25 - 29","Female","5","0","0"
"2023","International","Not EU","United States of America","25 - 29","Female","5","0","0"
"2020","UK","England","England","30 - 34","Female","310","105","80"
"2021","UK","England","England","30 - 34","Female","190","60","40"
"2022","UK","England","England","30 - 34","Female","165","50","35"
