"Year","Difference between predicted and achieved SQA higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2013","-2 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.5","0"
"2014","-2 points","18","All","Female","Main scheme applicant","Main scheme application","30","20","0.5630000000000001","0"
"2015","-2 points","18","All","Female","Main scheme applicant","Main scheme application","35","25","0.657","0"
"2016","-2 points","18","All","Female","Main scheme applicant","Main scheme application","25","15","0.538","0"
"2017","-2 points","18","All","Female","Main scheme applicant","Main scheme application","30","20","0.6900000000000001","0"
"2018","-2 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.667","0"
"2019","-2 points","18","All","Female","Main scheme applicant","Main scheme application","20","10","0.545","0"
"2020","-2 points","18","All","Female","Main scheme applicant","Main scheme application","20","10","0.611","0"
"2021","-2 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.667","0"
"2022","-2 points","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.85","0"
"2023","-2 points","18","All","Female","Main scheme applicant","Main scheme application","20","15","0.722","0"
"2010","-3 points","18","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2011","-3 points","18","All","Female","Main scheme applicant","Main scheme application","15","10"," ","0"
"2012","-3 points","18","All","Female","Main scheme applicant","Main scheme application","20","10"," ","0"
"2013","-3 points","18","All","Female","Main scheme applicant","Main scheme application","20","10","0.556","0"
"2014","-3 points","18","All","Female","Main scheme applicant","Main scheme application","40","15","0.385","0"
"2015","-3 points","18","All","Female","Main scheme applicant","Main scheme application","25","10"," ","0"
"2016","-3 points","18","All","Female","Main scheme applicant","Main scheme application","25","10","0.47800000000000004","0"
"2017","-3 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.588","0"
"2018","-3 points","18","All","Female","Main scheme applicant","Main scheme application","30","15","0.586","0"
"2019","-3 points","18","All","Female","Main scheme applicant","Main scheme application","20","10","0.524","0"
"2020","-3 points","18","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2021","-3 points","18","All","Female","Main scheme applicant","Main scheme application","10","10"," ","0"
"2022","-3 points","18","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2023","-3 points","18","All","Female","Main scheme applicant","Main scheme application","15","15","0.929","0"
"2010","-4 points","18","All","Female","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","-4 points","18","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2012","-4 points","18","All","Female","Main scheme applicant","Main scheme application","25","10","0.417","0"
"2013","-4 points","18","All","Female","Main scheme applicant","Main scheme application","15","5"," ","0"
"2014","-4 points","18","All","Female","Main scheme applicant","Main scheme application","30","10","0.357","0"
"2015","-4 points","18","All","Female","Main scheme applicant","Main scheme application","20","5"," ","0"
"2016","-4 points","18","All","Female","Main scheme applicant","Main scheme application","25","10"," ","0"
"2017","-4 points","18","All","Female","Main scheme applicant","Main scheme application","15","10","0.588","0"
