"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2019","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","60","30","0.483"
"2020","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","55","10"," "
"2021","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","80","25","0.317"
"2022","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","50","30","0.583"
"2023","White","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","35","20","0.606"
"2022","White","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","10","10","0.833"
"2023","White","21 - 24","Wales","Female","Main scheme applicant","Not main scheme application","15","10","0.8"
"2019","Asian","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2022","Asian","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","40","20","0.5"
"2020","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","40","15","0.405"
"2021","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","50","15","0.3"
"2022","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.5650000000000001"
"2023","White","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","20","15","0.75"
"2023","White","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2020","Asian","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2022","Asian","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2020","White","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2021","White","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","15","5"," "
"2022","White","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2023","White","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2019","Asian","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Asian","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2019","White","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","30","20","0.621"
"2020","White","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.5"
"2021","White","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","10","10"," "
"2022","White","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","25","15","0.5650000000000001"
"2023","White","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","10","5"," "
"2019","Asian","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2021","Asian","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Asian","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2023","Asian","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2019","White","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","10","0"," "
"2020","White","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","25","10","0.435"
"2021","White","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","20","5"," "
"2022","White","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","15","10"," "
"2023","White","21 - 24","Scotland","Male","Main scheme applicant","Not main scheme application","15","5"," "
"2022","White","21 - 24","Wales","Male","Main scheme applicant","Not main scheme application","5","5"," "
"2019","White","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
"2020","White","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","15","5"," "
"2021","White","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","20","5"," "
"2022","White","25 - 29","Scotland","Male","Main scheme applicant","Not main scheme application","10","5"," "
