"Year","Subject group HECoS","Detailed subject group HECoS","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Domicile","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Unknown","England","5","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-02-01) pharmacology","Unknown","England","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Unknown","England","15","10"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Unknown","England","15","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Unknown","England","20","15","0.667"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","Unknown","England","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","Northern Ireland","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","England","35","10","0.28600000000000003"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","England","15","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","England","30","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","England","5","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","Unknown","Wales","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Unknown","England","10","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Unknown","England","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Unknown","England","5","5"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","Unknown","England","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","England","60","50","0.853"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","England","55","35","0.679"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","England","40","30","0.746"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","England","15","15","0.867"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","England","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","Scotland","5","0"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","Scotland","5","5"," "
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","Scotland","5","0"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","Wales","5","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","Unknown","Wales","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Northern Ireland","10","0"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Northern Ireland","5","0"," "
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Northern Ireland","5","5"," "
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","England","65","25","0.377"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","England","95","35","0.389"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","England","110","45","0.427"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","England","40","15","0.35000000000000003"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","England","25","15","0.64"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Scotland","20","5"," "
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Scotland","20","5"," "
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","Unknown","Scotland","10","5"," "
